Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Ronald Acuña Jr.","ATL",157,679,579,180,105,34,2,40,135,106,82,4,109,11,4,3,,53,12,0.311286,0.120854,0.16052,0.752887,0.403757,0.583844,0.416191,0.987602,0.272558,6.75836,0.323242,1.62908,3.92088,137.892,55.16,162.729,5.54996,0.710667,58.316566944122314,-6.764332950115204,7.4475,1.0299999713897705,,,,"18401"
"Aaron Judge","NYY",152,658,547,148,78,23,0,46,107,116,101,11,177,4,5,1,,7,2,0.270587,0.152987,0.268542,0.569694,0.384941,0.568837,0.39744,0.953777,0.298249,3.13086,0.308973,0.0523595,-0.800311,123.38,43.2068,158.583,-0.747952,2.64826,45.440078377723694,-0.8017370700836182,6.67977,12.520000457763672,,,,"15640"
"Juan Soto","NYY",157,679,537,150,86,26,1,36,111,105,133,11,110,4,4,2,,11,4,0.279642,0.196092,0.162551,1.20634,0.423404,0.53628,0.406675,0.959684,0.256638,3.83951,0.28871,-0.855306,-1.18365,132.526,49.7938,164.984,-2.03896,-1.36748,50.831215143203735,-10.642479181289673,6.30719,10.180000305175781,,,,"20123"
"Mookie Betts","LAD",157,679,578,162,92,35,2,33,116,97,85,3,106,9,5,3,,13,3,0.280097,0.124656,0.156374,0.797162,0.377466,0.517953,0.381768,0.895418,0.237856,5.02066,0.290705,0.940845,-0.220035,118.48,35.7483,143.443,0.72081,-2.78386,37.26425528526306,0.19113492965698242,6.0418,5.010000228881836,,,,"13611"
"Fernando Tatis Jr.","SDP",156,672,596,163,89,34,2,37,107,103,64,1,148,5,5,3,,27,6,0.272816,0.095027,0.220038,0.431865,0.345623,0.524338,0.368326,0.869961,0.251522,5.80854,0.301564,1.13625,1.63451,109.757,27.8776,137.271,2.77076,7.72299,33.79910492897034,0.5229945182800293,5.70557,8.380000114440918,,,,"19709"
"Yordan Alvarez","HOU",141,609,516,154,82,32,2,38,101,111,77,7,120,10,5,1,,1,1,0.298655,0.126178,0.197752,0.638065,0.396131,0.591783,0.412543,0.987915,0.293128,3.15007,0.319619,-0.28057,-1.35462,121.831,47.6281,167.843,-1.63519,-0.00822414,47.87025058269501,-12.533223756588995,5.58631,15.899999618530273,,,,"19556"
"Julio Rodríguez","SEA",156,672,607,169,102,33,2,33,101,99,50,5,155,10,3,2,,33,10,0.278449,0.0737612,0.230105,0.320554,0.340894,0.500651,0.356627,0.841545,0.222202,5.89341,0.322442,1.1871,1.14388,103.228,21.3486,132.515,2.33099,1.70459,28.511574745178223,3.9045910835266113,5.50843,3.0999999046325684,,,,"23697"
"Adley Rutschman","BAL",146,586,500,134,83,32,1,18,80,68,75,3,90,5,4,2,,3,1,0.268882,0.128234,0.154423,0.830405,0.367163,0.447491,0.353139,0.814654,0.178609,3.04304,0.293679,0.622864,-1.21619,88.2594,16.9075,128.115,-0.593326,2.31553,19.134234309196472,8.765530347824097,5.30178,54.560001373291016,,,,"26288"
"Gunnar Henderson","BAL",154,665,584,152,89,29,7,28,98,95,69,1,161,6,5,1,,12,4,0.260865,0.104175,0.242375,0.429809,0.342413,0.47602,0.350479,0.818434,0.215156,5.95594,0.311351,0.982018,-0.714377,98.757,17.7306,126.271,0.267641,3.5981,21.200685441493988,9.373101234436035,5.301,33.060001373291016,,,,"26289"
"José Ramírez","CLE",152,658,577,161,93,37,4,27,92,96,70,17,79,5,6,1,,23,6,0.279576,0.107138,0.120502,0.889098,0.359575,0.49811,0.358061,0.857685,0.218534,5.68408,0.282198,1.05225,0.879573,101.861,21.6872,131.334,1.93183,2.20825,26.636364340782166,2.758248805999756,5.15971,15.770000457763672,,,,"13510"
"Kyle Tucker","HOU",157,679,596,167,94,37,4,32,99,112,74,7,102,3,6,1,,26,6,0.280128,0.109263,0.150954,0.723817,0.359455,0.517732,0.369949,0.877187,0.237604,5.84745,0.288349,0.797293,1.44182,111.816,29.0835,138.32,2.23911,0.50645,33.41576147079468,-6.868550479412079,4.9469,6.53000020980835,,,,"18345"
"Corbin Carroll","ARI",157,679,594,162,99,30,9,24,104,88,64,2,142,13,4,5,,42,8,0.272247,0.0945198,0.20968,0.45078,0.35367,0.472806,0.355146,0.826476,0.200559,7.98499,0.319862,1.53475,3.43924,103.468,20.7357,122.991,4.97399,7.95641,24.313520908355713,1.5814085006713867,4.88902,6.090000152587891,,,,"25878"
"Francisco Lindor","NYM",156,672,591,150,92,28,3,26,94,89,64,2,129,9,6,2,,21,5,0.253307,0.0946636,0.191407,0.494567,0.332571,0.444334,0.334927,0.776906,0.191028,5.64471,0.279144,0.245722,0.624069,91.1169,9.23762,114.22,0.86979,4.4712,12.708446621894836,11.671199798583984,4.71414,23.25,,,,"12916"
"Alex Bregman","HOU",157,679,577,154,95,33,2,24,94,92,87,2,85,9,5,1,,3,1,0.266692,0.128335,0.125733,1.02069,0.368189,0.454616,0.357112,0.822805,0.187924,3.21986,0.275097,-0.871716,-1.44101,104.577,21.8444,129.422,-2.31272,-0.145376,21.624831676483154,2.0796239227056503,4.66342,96.12999725341797,,,,"17678"
"Corey Seager","TEX",130,560,494,145,86,31,1,27,84,84,54,7,90,5,5,2,,2,1,0.294164,0.0970112,0.160145,0.60577,0.367171,0.525402,0.376152,0.892573,0.231238,3.10538,0.309785,-0.316312,-1.04275,95.104,26.8713,139.349,-1.35907,-1.83921,25.044127106666565,2.1607857942581177,4.60944,31.450000762939453,,,,"13624"
"Bobby Witt Jr.","KCR",156,672,616,170,101,34,7,28,99,95,42,1,122,6,6,3,,39,12,0.27665,0.062247,0.181091,0.343733,0.325937,0.492403,0.346845,0.81834,0.215752,7.24216,0.301322,1.33374,1.4214,97.7684,15.8891,117.27,2.75514,-0.8636,16.660656929016113,6.336400032043457,4.56918,2.5199999809265137,,,,"25764"
"Trea Turner","PHI",157,679,621,176,114,35,4,24,98,86,46,1,134,5,4,2,,27,4,0.28412,0.0684512,0.196776,0.347864,0.337002,0.467319,0.344531,0.804321,0.183199,6.42771,0.326532,1.20796,2.43432,97.4818,14.7496,115.574,3.64228,-1.53459,16.74240732192993,5.740407705307007,4.54877,12.079999923706055,,,,"16252"
"Freddie Freeman","LAD",157,679,589,176,110,39,2,26,107,97,75,11,112,9,5,1,,14,3,0.29985,0.11102,0.165585,0.670469,0.385351,0.504964,0.37783,0.890315,0.205114,4.94791,0.330934,0.316204,0.192163,116.26,33.5274,140.803,0.508367,-0.824468,34.83093398809433,-12.949468195438385,4.4888,8.9399995803833,,,,"5361"
"Austin Riley","ATL",157,679,604,168,98,32,2,36,99,109,58,3,163,11,6,0,,2,1,0.278475,0.0849347,0.240192,0.353612,0.34909,0.517543,0.366941,0.866633,0.239069,3.25047,0.321862,-0.108971,-1.2649,110.119,27.3869,129.713,-1.37387,-4.5662,23.61966609954834,-2.341203451156616,4.42868,18.8799991607666,,,,"18360"
"Marcus Semien","TEX",157,679,606,161,98,34,3,26,102,84,62,1,109,4,4,3,,13,3,0.265179,0.0917779,0.160566,0.571591,0.3357,0.460368,0.342272,0.796068,0.195189,5.31054,0.283568,0.947814,-0.0147437,96.208,13.4758,115.866,0.933071,4.93191,13.841308116912842,7.356907606124878,4.41351,31.15999984741211,,,,"12533"
"Mike Trout","LAA",146,630,537,138,74,27,2,35,93,98,79,7,177,9,4,1,,3,1,0.257811,0.124954,0.280325,0.445747,0.360077,0.510761,0.368638,0.870839,0.25295,3.3854,0.314156,0.320034,-1.16669,103.061,26.2987,134.639,-0.84666,-2.4108,25.30113685131073,-3.1608004570007324,4.3415,68.94999694824219,,,,"10155"
"Andrés Giménez","CLE",151,651,584,157,104,30,4,18,81,78,38,3,121,21,4,4,,27,7,0.268493,0.0583551,0.186572,0.312775,0.333911,0.426756,0.329083,0.760667,0.158263,6.25709,0.30955,0.205949,1.34772,85.1101,5.78954,111.249,1.55367,8.63004,10.328401565551758,11.05504322052002,4.33715,101.75,,,,"19950"
"Rafael Devers","BOS",154,665,590,167,93,38,1,34,100,105,61,9,127,8,4,2,,4,2,0.282755,0.0915248,0.191599,0.47769,0.355629,0.525448,0.37025,0.881076,0.242692,3.42499,0.306519,0.252607,-1.19448,109.676,28.6498,131.491,-0.941873,-4.30631,24.15025007724762,-3.3313125371932983,4.32827,23.600000381469727,,,,"17350"
"Michael Harris II","ATL",146,630,583,166,103,36,3,23,88,88,35,1,126,7,4,2,,23,6,0.284595,0.0549015,0.199439,0.27528,0.329919,0.477814,0.34454,0.807733,0.19322,5.9131,0.32564,0.728,1.11127,90.452,13.6901,114.696,1.83927,5.71897,13.308762073516846,7.968965530395508,4.26213,28.610000610351562,,,,"25931"
"Matt Olson","ATL",157,679,578,153,81,30,1,40,102,118,90,7,152,6,5,1,,1,1,0.264416,0.131953,0.223754,0.589724,0.365775,0.52948,0.377351,0.895254,0.265064,2.48444,0.2883,0.133274,-1.41236,115.99,33.2575,136.692,-1.27908,2.00913,29.58507776260376,-10.11586856842041,4.24826,16.8799991607666,,,,"14344"
"Manny Machado","SDP",156,672,602,162,99,30,1,31,89,103,61,5,126,3,6,1,,6,2,0.269501,0.0910053,0.187285,0.48592,0.336793,0.479169,0.34667,0.815962,0.209667,3.53473,0.290744,-0.307962,-0.933256,97.6711,15.7918,122.754,-1.24122,1.98495,17.7013521194458,0.7849541902542114,4.12647,62.939998626708984,,,,"11493"
"Bryce Harper","PHI",146,630,529,149,83,35,1,30,95,94,90,11,136,5,5,0,,13,4,0.282332,0.143056,0.215381,0.664202,0.388586,0.522297,0.384247,0.910883,0.239965,4.21019,0.324419,-1.24342,-0.419961,111.227,34.4654,142.199,-1.66338,0.0111333,31.271609663963318,-11.538866855204105,4.10807,17.350000381469727,,,,"11579"
"Will Smith","LAD",130,514,440,114,69,22,2,21,69,74,56,2,89,12,6,0,,2,1,0.258434,0.108455,0.172366,0.629215,0.353065,0.457567,0.349092,0.810632,0.199133,3.2232,0.276611,-0.797641,-1.02322,75.7995,13.1228,121.538,-1.82086,1.93908,11.904356718063354,10.739084839820862,4.09458,85.44999694824219,,,,"19197"
"Bo Bichette","TOR",149,644,598,174,115,34,2,24,89,88,37,0,125,3,4,2,,11,4,0.291482,0.0568083,0.193569,0.293478,0.333895,0.474304,0.346031,0.808199,0.182822,4.58874,0.332114,0.30194,-0.647614,93.2593,14.7916,122.284,-0.345674,-4.75786,16.849955022335052,2.1421399116516113,4.07498,36.86000061035156,,,,"19612"
"Luis Robert Jr.","CHW",151,651,600,160,92,34,1,33,88,102,37,4,164,10,4,1,,20,6,0.266782,0.0563743,0.252327,0.223417,0.318237,0.492086,0.34272,0.810323,0.225304,5.04014,0.312677,0.449072,0.475351,92.4832,13.1626,117.593,0.924424,1.53721,14.647626340389252,3.6622053384780884,4.03065,32.959999084472656,,,,"20043"
"Royce Lewis","MIN",138,595,537,144,86,30,2,26,83,92,48,0,138,6,3,1,,13,5,0.267874,0.0814244,0.231991,0.350981,0.333371,0.47782,0.347421,0.811191,0.209947,5.08943,0.312802,0.0463554,-0.334301,86.8503,14.353,123.145,-0.287945,1.87206,16.212682396173477,3.5970553159713745,3.99056,53.75,,,,"20437"
"Shohei Ohtani","LAD",151,651,554,148,75,28,5,39,103,116,87,18,159,5,4,2,,18,7,0.266458,0.132991,0.244691,0.543504,0.368003,0.547832,0.378784,0.915835,0.281374,5.85951,0.301656,0.19447,-0.476306,111.981,32.6607,141.443,-0.281836,0,33.141183882951744,-16.274999618530273,3.89357,11.390000343322754,,,,"19755"
"William Contreras","MIL",149,603,532,144,91,29,1,22,80,76,60,2,135,5,3,2,,4,1,0.270004,0.0997824,0.223502,0.446449,0.347638,0.453683,0.345767,0.801321,0.183679,3.30824,0.321171,-0.691595,-1.03585,87.1322,13.7089,116.703,-1.72745,-2.00159,10.741775631904602,2.598414659500122,3.87797,78.98999786376953,,,,"20503"
