Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Spencer Strider","ATL",15,7,,3.23115,31,31,0,0,180,733,135,70,65,21,58,,9,256,12.7771,2.8747,4.44468,1.04494,0.349169,0.0785588,0.2706097960472107,0.203245,1.07091,0.29393,0.751598,,,3.03016,4.95984,4.87999,6.300000190734863,,,,"27498"
"Zack Wheeler","PHI",13,9,,3.58083,32,32,0,0,196,810,177,85,78,21,51,,9,197,9.03654,2.33419,3.87137,0.967121,0.243061,0.0627841,0.18027671426534653,0.236533,1.16467,0.293771,0.721941,,,3.55422,4.95795,4.46877,24.579999923706055,,,,"10310"
"Aaron Nola","PHI",13,10,,3.82584,32,32,0,0,196,806,182,90,83,25,42,,7,203,9.31643,1.92088,4.85009,1.13943,0.25216,0.0519907,0.20016903057694435,0.239767,1.13837,0.29613,0.707336,,,3.57307,4.81672,3.93895,53.02000045776367,,,,"16149"
"Kevin Gausman","TOR",13,9,,3.45118,32,32,0,0,192,794,173,80,74,24,48,,4,215,10.0588,2.26978,4.4316,1.13821,0.27064,0.0610705,0.20956939831376076,0.233184,1.15118,0.295854,0.756268,,,3.487,4.37354,4.21044,30.75,,,,"14107"
"Logan Webb","SFG",13,10,,3.41176,32,32,0,0,202,838,196,84,77,17,44,,8,178,7.92795,1.95602,4.0531,0.765624,0.212682,0.0524739,0.16020813584327698,0.249895,1.18845,0.303426,0.722514,,,3.36623,4.18941,4.34638,52.02000045776367,,,,"17995"
"Pablo López","MIN",12,9,,3.59392,32,32,0,0,192,792,169,83,77,22,51,,9,210,9.88052,2.40964,4.10041,1.03511,0.265788,0.0648198,0.20096774399280548,0.231127,1.14929,0.294676,0.724169,,,3.50365,4.06109,3.91891,34.70000076293945,,,,"17085"
"Yoshinobu Yamamoto","LAD",14,8,,3.7952,29,29,0,0,188,754,158,86,79,26,45,,6,194,9.30035,2.16816,4.28951,1.22439,0.257624,0.060059,0.19756460562348366,0.224887,1.08141,0.274319,0.702734,,,3.77802,3.83159,3.43524,38.04999923706055,,,,"sa3023345"
"Luis Castillo","SEA",13,10,,3.45922,32,32,0,0,194,801,168,81,75,22,58,,7,205,9.49779,2.68676,3.53504,1.02227,0.255579,0.0722987,0.18327992409467697,0.227941,1.16341,0.286162,0.743951,,,3.62543,3.7708,3.93708,30.469999313354492,,,,"15689"
"Corbin Burnes","BAL",12,9,,3.61943,32,32,0,0,197,815,170,86,79,21,61,,9,209,9.54628,2.77625,3.43855,0.960931,0.255929,0.0744293,0.18149982392787933,0.228021,1.17274,0.288809,0.718885,,,3.58429,3.76593,3.8012,19.950000762939453,,,,"19361"
"Framber Valdez","HOU",14,8,,3.36614,31,31,0,0,196,818,176,81,73,17,65,,11,188,8.61831,2.96982,2.90197,0.774227,0.229865,0.0792102,0.15065530687570572,0.2368,1.22532,0.295652,0.737578,,,3.61275,3.72258,4.51816,57.189998626708984,,,,"17295"
