Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,7,,2.93023,28,28,,,,172,688,145,60,56,15,34,0,5,188,9.83721,1.77907,5.52941,0.784884,0.273256,0.0494186,0.2238372191786766,0.223421,1.0407,0.29148,0.753165,,,2.79439,4.9236,4.80026,999,,,,,,,970.3,5.6412790697674415,924,5.372093023255814,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",9,6,,3.21429,32,32,,,,168,671,136,64,60,18,41,0,4,187,10.0179,2.19643,4.56098,0.964286,0.278689,0.0611028,0.21758569031953812,0.217252,1.05357,0.280285,0.744401,,,3.13672,4.12969,4.44202,999,,,,,,,907.1999999999999,5.3999999999999995,845,5.029761904761905,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",12,6,,3.14326,29,29,,,,140.3,585,124,52,49,12,41,2,3,166,10.6486,2.63008,4.04878,0.769779,0.283761,0.0700855,0.21367522329092026,0.229205,1.17605,0.30854,0.762483,,,2.85287,3.89296,3.91879,999,,,,,,,768.220022583008,5.475552429600485,745.5000152587891,5.3136136781391805,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Roki Sasaki","LAD",14,8,,3.49798,30,30,,,,164.667,675,136,68,64,20,40,1,11,191,10.4393,2.18623,4.775,1.09312,0.282963,0.0592593,0.22370368987321854,0.217949,1.06883,0.280872,0.72973,,,3.35474,3.65773,3.44666,999,,,,,,,847.9333709716797,5.149392782067896,792.3333587646484,4.811740896503251,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Yoshinobu Yamamoto","LAD",12,7,,3.45531,26,26,,,,166.7,649,133,68,64,19,33,0,4,167,9.0162,1.78164,5.06061,1.02579,0.257319,0.0508475,0.2064714878797531,0.21732,0.995801,0.267606,0.703013,,,3.31045,3.55198,3.6764,999,,,,,,,877.0799774169923,5.261427675306511,809.4999847412109,4.856028791605487,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Logan Webb","SFG",12,8,,3.36819,30,30,,,,181.7,750,175,73,68,14,40,1,5,149,7.3803,1.98129,3.725,0.693451,0.198667,0.0533333,0.14533332735300064,0.248227,1.18327,0.297048,0.726714,,,3.27105,3.54497,4.01602,999,,,,,,,880.3799774169922,4.845239362704949,889.4999847412109,4.895432029063753,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Hunter Greene","CIN",8,7,,3.66312,27,27,,,,159.7,644,120,70,65,18,48,0,19,172,9.69318,2.70507,3.58333,1.0144,0.267081,0.0745342,0.19254659116268158,0.207972,1.05197,0.263566,0.686275,,,3.7363,3.44409,3.51232,999,,,,,,,791.3799774169922,4.95541635904648,707.4999847412109,4.430181579593314,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"George Kirby","SEA",12,9,,3.41566,28,28,,,,166,674,156,67,63,19,24,0,6,151,8.18675,1.3012,6.29167,1.03012,0.224036,0.0356083,0.18842729553580284,0.242236,1.08434,0.28903,0.736636,,,3.37732,3.3842,3.15956,999,,,,,,,801.1,4.825903614457832,795,4.789156626506024,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Corbin Burnes","ARI",12,6,,3.18293,27,27,,,,164,672,144,62,58,15,46,0,6,153,8.39634,2.52439,3.32609,0.823171,0.227679,0.0684524,0.1592261865735054,0.232258,1.15854,0.285398,0.757396,,,3.44087,3.18236,4.34196,999,,,,,,,804.7000000000002,4.906707317073172,775,4.725609756097561,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Spencer Strider","ATL",10,6,,3.48028,24,22,,,,129.3,527,104,53,50,15,36,1,6,165,11.4849,2.5058,4.58333,1.04408,0.313093,0.0683112,0.24478178471326828,0.214433,1.08275,0.291803,0.731092,,,3.09687,3.08783,2.90278,999,,,,,,,705.9200225830078,5.459551476579883,655.5000152587891,5.069605566802634,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Dylan Cease","SDP",11,9,,3.6612,30,30,,,,164.7,684,138,72,67,19,58,1,5,183,10,3.1694,3.15517,1.03825,0.267544,0.0847953,0.18274853378534317,0.222222,1.19004,0.28401,0.731995,,,3.5915,2.95961,2.83857,999,,,,,,,803.2799774169923,4.877231282945482,753.4999847412109,4.574984813011272,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Cole Ragans","KCR",9,8,,3.651,30,27,,,,155.3,653,138,67,63,16,55,1,5,165,9.56214,3.18738,3,0.927238,0.25268,0.0842266,0.16845329850912094,0.232715,1.24276,0.296117,0.73857,,,3.53995,2.95653,3.20875,999,,,,,,,743.620022583008,4.788280798263584,718.5000152587891,4.626529305471617,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Spencer Schwellenbach","ATL",11,6,,3.54379,27,27,,,,147.3,600,134,62,58,17,29,1,7,138,8.43177,1.77189,4.75862,1.0387,0.23,0.0483333,0.18166667222976685,0.237589,1.10659,0.286064,0.725575,,,3.52629,2.70373,3.15592,999,,,,,,,700.520022583008,4.755736646772923,683.5000152587891,4.640190095709794,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Logan Gilbert","SEA",10,8,,3.4676,28,28,,,,171.3,693,152,71,66,22,38,1,4,164,8.61646,1.9965,4.31579,1.15587,0.236652,0.0548341,0.1818181835114956,0.233487,1.10917,0.27957,0.747487,,,3.65685,2.68908,3.04422,999,,,,,,,803.8200225830076,4.69246940024943,772.5000152587891,4.509632232904166,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
