BillikenTeam,Slot,Player,Team,Position,Acq
Erie Lakers,C,Gabriel Moreno,Ari,C,Draft
Erie Lakers,C,Jose Trevino,Cin,C,Free Agency
Erie Lakers,1B,Freddie Freeman,LAD,1B,Draft
Erie Lakers,2B,Bryson Stott,Phi,2B,Draft
Erie Lakers,3B,Santiago Espinal,Cin,"3B, 2B",Free Agency
Erie Lakers,SS,Xander Bogaerts,SD,"2B, SS",Draft
Erie Lakers,2B/SS,Ezequiel Tovar,Col,SS,Draft
Erie Lakers,1B/3B,Enrique Hernandez,LAD,"3B, 1B, 2B, OF",Free Agency
Erie Lakers,OF,Mookie Betts,LAD,"SS, OF",Draft
Erie Lakers,OF,Sal Frelick,Mil,OF,Draft
Erie Lakers,OF,James Wood,Wsh,"OF, DH",Draft
Erie Lakers,OF,Lourdes Gurriel Jr.,Ari,OF,Draft
Erie Lakers,OF,Juan Soto,NYM,OF,Draft
Erie Lakers,DH,Christian Yelich,Mil,"OF, DH",Draft
Erie Lakers,UTIL,Tyrone Taylor,NYM,OF,Free Agency
Erie Lakers,P,Ranger Suarez,Phi,SP,Draft
Erie Lakers,P,Trevor Megill,Mil,RP,Draft
Erie Lakers,P,Sonny Gray,StL,SP,Draft
Erie Lakers,P,Justin Martinez,Ari,RP,Draft
Erie Lakers,P,Camilo Doval,SF,RP,Draft
Erie Lakers,P,Andrew Heaney,Pit,SP,Draft
Erie Lakers,P,Andre Pallante,StL,"SP, RP",Free Agency
Erie Lakers,P,Griffin Canning,NYM,SP,Free Agency
Erie Lakers,P,Bailey Falter,Pit,SP,Free Agency
Erie Lakers,IL,Justin Steele,ChC,SP,Draft
Louisville Sluggers,C,Willson Contreras,StL,"C, 1B, DH",Draft
Louisville Sluggers,C,Hunter Goodman,Col,"OF, C, DH",Draft
Louisville Sluggers,1B,Rhys Hoskins,Mil,"1B, DH",Draft
Louisville Sluggers,2B,Luis Garcia Jr.,Wsh,2B,Draft
Louisville Sluggers,3B,Jose Tena,Wsh,3B,Free Agency
Louisville Sluggers,SS,Javier Sanoja,Mia,"OF, 2B, SS",Free Agency
Louisville Sluggers,2B/SS,Kyle Farmer,Col,"2B, 3B, SS",Free Agency
Louisville Sluggers,1B/3B,Jake Bauers,Mil,"1B, OF",Free Agency
Louisville Sluggers,OF,Brenton Doyle,Col,OF,Draft
Louisville Sluggers,OF,Jackson Merrill,SD,OF,Draft
Louisville Sluggers,OF,Jackson Chourio,Mil,OF,Draft
Louisville Sluggers,OF,Victor Scott II,StL,OF,Draft
Louisville Sluggers,OF,Will Benson,Cin,OF,Free Agency
Louisville Sluggers,DH,Shohei Ohtani,LAD,"DH, SP",Draft
Louisville Sluggers,UTIL,Henry Davis,Pit,C,Free Agency
Louisville Sluggers,P,Cristopher Sanchez,Phi,SP,Draft
Louisville Sluggers,P,Dylan Cease,SD,SP,Draft
Louisville Sluggers,P,Edwin Diaz,NYM,RP,Draft
Louisville Sluggers,P,David Peterson,NYM,SP,Draft
Louisville Sluggers,P,Jesus Luzardo,Phi,SP,Draft
Louisville Sluggers,P,Dustin May,LAD,SP,Draft
Louisville Sluggers,P,Emilio Pagan,Cin,RP,Free Agency
Louisville Sluggers,P,Dennis Santana,Pit,RP,Free Agency
Louisville Sluggers,P,Tanner Banks,Phi,RP,Free Agency
Louisville Sluggers,Bench,Xavier Edwards,Mia,SS,Draft
Louisville Sluggers,Bench,Jose Alvarado,Phi,RP,Draft
Louisville Sluggers,Bench,Jarlin Susana,Wsh,SP,Draft
Louisville Sluggers,Bench,Alex Freeland,LAD,SS,Draft
Louisville Sluggers,IL,Christian Encarnacion-Strand,Cin,1B,Draft
Louisville Sluggers,IL,Nick Gonzales,Pit,2B,Draft
Louisville Sluggers,IL,Austin Hays,Cin,"OF, DH",Draft
Louisville Sluggers,IL,Enmanuel Valdez,Pit,"2B, 1B",Free Agency
National Pastime,C,Ivan Herrera,StL,"C, DH",Draft
National Pastime,C,Tyler Stephenson,Cin,C,Draft
National Pastime,1B,Michael Toglia,Col,1B,Draft
National Pastime,2B,Brice Turang,Mil,2B,Draft
National Pastime,3B,Mark Vientos,NYM,"3B, DH",Draft
National Pastime,SS,Francisco Lindor,NYM,SS,Draft
National Pastime,2B/SS,Willy Adames,SF,SS,Draft
National Pastime,1B/3B,Austin Riley,Atl,3B,Draft
National Pastime,OF,Nick Castellanos,Phi,OF,Draft
National Pastime,OF,Michael Harris II,Atl,OF,Draft
National Pastime,OF,Alec Burleson,StL,"OF, 1B, DH",Draft
National Pastime,OF,Brendan Donovan,StL,"OF, 2B",Draft
National Pastime,OF,Max Kepler,Phi,OF,Draft
National Pastime,DH,Justin Turner,ChC,"1B, DH",Free Agency
National Pastime,UTIL,Tyler Fitzgerald,SF,"SS, 2B",Draft
National Pastime,P,Spencer Schwellenbach,Atl,SP,Draft
National Pastime,P,Kyle Finnegan,Wsh,RP,Draft
National Pastime,P,Freddy Peralta,Mil,SP,Draft
National Pastime,P,Raisel Iglesias,Atl,RP,Draft
National Pastime,P,Nick Pivetta,SD,SP,Draft
National Pastime,P,Erick Fedde,StL,SP,Draft
National Pastime,P,Matthew Boyd,ChC,SP,Draft
National Pastime,P,Tylor Megill,NYM,SP,Free Agency
National Pastime,P,Matthew Liberatore,StL,"RP, SP",Free Agency
National Pastime,IL,Nestor Cortes,Mil,SP,Draft
National Pastime,IL,Kris Bryant,Col,"OF, 1B, DH",Draft
Melonheads,C,Luis Campusano,SD,C,Draft
Melonheads,C,Elias Diaz,SD,C,Free Agency
Melonheads,1B,Nathaniel Lowe,Wsh,1B,Draft
Melonheads,2B,Adam Frazier,Pit,"2B, OF",Free Agency
