Category,Type,Unit Stat,Replacement,Championship,Marginal Diff,Unit Value
R,counting,R,790.64,1081.51,290.87,0.003437992137909186
HR,counting,HR,206.47,289.64,83.17,0.012023650448508122
RBI,counting,RBI,805.82,983.44,177.61,0.005630237244802759
SB,counting,SB,81.56,202.77,121.2,0.008250538586013113
AVG,rate,H,0.2421,0.2624,135.13,0.007400212070891743
W,counting,W,56.16,96.93,40.77,0.024529911465984766
SV,counting,SV,19.27,90.94,71.67,0.013952871371194638
SO,counting,SO,1007.25,1369.62,362.37,0.002759587515645075
ERA,rate,ER prevented,4.97,3.04,248.93,0.004017174039949918
WHIP,rate,WH prevented,1.4,1.07,390.69,0.0025595884236095066
