Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Shohei Ohtani,LAD,two-way,47.53599069708005,679,575,162,48,129,118,26,0.282062,116,8,0,138,3.51178,1.13265,0.44350098579028424,0.5771352215283898,0.6643679948867245,0.21451400323634084,0.17021208811821645,2.0697302935599557,0.19623929172787807,0,0.38082307715901964,0.0755712894477788,0.0806159511196175,0.733249609454294,2.8029799030142497,0,0,0,0,0,0,0,0,1,1,0
Juan Soto,NYM,hitter,39.77140531993857,686,548,149,38,114,102,23,0.27214699999999997,NA,NA,NA,NA,NA,NA,0.3919311037216465,0.45689871704330853,0.5742841989698805,0.18976238747830151,0.122011060232006,1.7348874674451429,0,0,0,0,0,0,1.7348874674451429,0,0,0,0,0,1,0,0,1,0,0
Ronald Acuna Jr.,ATL,hitter,38.46320617646671,651,548,157,31,115,84,26,0.285737,NA,NA,NA,NA,NA,NA,0.3953690958595557,0.3727331639037517,0.472939928563431,0.21451400323634084,0.17712280759179966,1.632678999154879,0,0,0,0,0,0,1.632678999154879,0,0,0,0,0,1,0,0,1,0,0
Kyle Tucker,LAD,hitter,34.8058300064371,651,555,149,33,101,99,22,0.268344,NA,NA,NA,NA,NA,NA,0.3472372059288272,0.39678046480076795,0.5573934872354722,0.1815118488922884,0.10795022706231731,1.5908732339196732,0,0,0,0,0,0,1.5908732339196732,0,0,0,0,0,1,0,0,1,0,0
Elly De La Cruz,CIN,hitter,30.888678623519848,672,598,157,24,96,89,41,0.262187,NA,NA,NA,NA,NA,NA,0.3300472452392813,0.2885676107641949,0.5010911147874447,0.33827208202653747,0.08906720112737918,1.5470452539448376,0,0,0,0,0,0,1.5470452539448376,0,0,0,0,1,0,0,1,1,0,0
Fernando Tatis Jr.,SDP,hitter,33.83731096170961,672,586,158,30,102,90,25,0.269872,NA,NA,NA,NA,NA,NA,0.35067519806673636,0.3607095134552436,0.5067213520322474,0.20626346465032774,0.12060608847468993,1.5449756166792452,0,0,0,0,0,0,1.5449756166792452,0,0,0,0,0,1,0,0,1,0,0
Corbin Carroll,ARI,hitter,32.8478962944545,637,554,143,27,101,89,34,0.25848,NA,NA,NA,NA,NA,NA,0.3472372059288272,0.32463856210971925,0.5010911147874447,0.2805183119244457,0.06731610885422037,1.5208013036046573,0,0,0,0,0,0,1.5208013036046573,0,0,0,0,0,1,0,0,1,0,0
Kyle Schwarber,PHI,hitter,23.81745458464415,686,573,130,44,103,105,7,0.22683,NA,NA,NA,NA,NA,NA,0.35411319020464554,0.5290406197343572,0.5911749107042887,0.05775377010209177,-0.06458139193342127,1.4675010988119621,0,0,0,0,0,0,1.4675010988119621,0,0,0,0,0,0,0,0,1,0,0
Pete Crow-Armstrong,CHC,hitter,30.23325147067329,644,591,150,26,88,92,34,0.253513,NA,NA,NA,NA,NA,NA,0.3025433081360078,0.31261491166121114,0.517981826521853,0.2805183119244457,0.05008864972581915,1.4637470079693367,0,0,0,0,0,0,1.4637470079693367,0,0,0,0,0,1,0,0,1,0,0
Jackson Chourio,MIL,hitter,30.48361029499641,651,601,163,25,92,88,24,0.2715,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.300591261212703,0.495460877542642,0.19801292606431464,0.13093384973584027,1.4412941912431445,0,0,0,0,0,0,1.4412941912431445,0,0,0,0,0,1,0,0,1,0,0
Bryce Harper,PHI,hitter,28.21944958277994,665,574,157,29,90,95,11,0.27347,NA,NA,NA,NA,NA,NA,0.3094192924118262,0.3486858630067355,0.5348725382562612,0.0907559244461442,0.13341964200248177,1.4171532601234489,0,0,0,0,0,0,1.4171532601234489,0,1,0,0,0,0,1,0,1,0,0
Trea Turner,PHI,hitter,26.353884175321635,644,591,167,19,92,73,28,0.282526,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.1769777402381734,1.36374477472644,0,0,0,0,0,0,1.36374477472644,0,0,0,0,1,0,0,1,1,0,0
Freddie Freeman,LAD,hitter,26.775744710370404,651,568,161,24,89,91,8,0.283671,NA,NA,NA,NA,NA,NA,0.305981300273917,0.2885676107641949,0.5123515892770503,0.06600430868810488,0.17490308357264936,1.3478078925759163,0,0,0,0,0,0,1.3478078925759163,0,1,0,0,0,0,1,0,1,0,0
Francisco Lindor,NYM,hitter,23.634490627997064,630,558,146,26,94,78,22,0.261147,NA,NA,NA,NA,NA,NA,0.32317126096346294,0.31261491166121114,0.4391585050946145,0.1815118488922884,0.07881503774218668,1.3352715643537638,0,0,0,0,0,0,1.3352715643537638,0,0,0,0,1,0,0,1,1,0,0
Mookie Betts,LAD,hitter,23.34218570738865,651,567,155,24,95,90,9,0.273924,NA,NA,NA,NA,NA,NA,0.3266092531013721,0.2885676107641949,0.5067213520322474,0.07425484727411799,0.13369752098843832,1.329850584160371,0,0,0,0,0,0,1.329850584160371,0,0,0,0,1,0,0,1,1,0,0
James Wood,WSN,hitter,25.634677238147475,644,558,146,27,89,84,16,0.261183,NA,NA,NA,NA,NA,NA,0.305981300273917,0.32463856210971925,0.472939928563431,0.13200861737620975,0.07896369320226668,1.3145321015255438,0,0,0,0,0,0,1.3145321015255438,0,0,0,0,0,1,0,0,1,0,0
Ketel Marte,ARI,hitter,24.51637568914773,637,554,152,27,94,86,6,0.273494,NA,NA,NA,NA,NA,NA,0.32317126096346294,0.32463856210971925,0.48420040305303647,0.04950323151607866,0.1288692672081527,1.3103827248504498,0,0,0,0,0,0,1.3103827248504498,0,0,1,0,0,0,0,1,1,0,0
Matt Olson,ATL,hitter,22.757672941184147,686,595,151,32,91,97,1,0.253214,NA,NA,NA,NA,NA,NA,0.3128572845497354,0.38475681435225983,0.5461330127458668,0.00825053858601311,0.049111124470956787,1.301108774704832,0,0,0,0,0,0,1.301108774704832,0,1,0,0,0,0,1,0,1,0,0
Austin Riley,ATL,hitter,21.410701128117527,672,608,159,30,88,92,3,0.261176,NA,NA,NA,NA,NA,NA,0.3025433081360078,0.3607095134552436,0.517981826521853,0.02475161575803933,0.0860077976490001,1.291994061520144,0,0,0,0,0,0,1.291994061520144,0,0,0,1,0,0,1,0,1,0,0
Rafael Devers,SFG,hitter,22.38071281559601,686,589,149,31,94,93,2,0.252531,NA,NA,NA,NA,NA,NA,0.32317126096346294,0.3727331639037517,0.5236120637666557,0.01650107717202622,0.04563887712763478,1.2816564429335313,0,0,0,0,0,0,1.2816564429335313,0,1,0,0,0,0,1,0,1,0,0
Paul Skenes,PIT,pitcher,38.47071410044911,NA,NA,NA,NA,NA,NA,NA,NA,189,13,0,223,2.84127,1.06719,0,0,0,0,0,0,0.31888884905780185,0,0.6153880159888506,0.17969374634528887,0.16301547751889905,1.2769860889108402,1.2769860889108402,0,0,0,0,0,0,0,0,0,1,0
Bo Bichette,NYM,hitter,22.096505092923326,658,608,177,19,81,86,6,0.290702,NA,NA,NA,NA,NA,NA,0.2784773631706436,0.22844935852165427,0.48420040305303647,0.04950323151607866,0.218854983904931,1.259485340166344,0,0,0,0,0,0,1.259485340166344,0,0,0,0,1,0,0,1,1,0,0
Manny Machado,SDP,hitter,20.512741681267045,644,583,153,26,80,90,9,0.262983,NA,NA,NA,NA,NA,NA,0.2750393710327344,0.31261491166121114,0.5067213520322474,0.07425484727411799,0.09026727562411409,1.258897757624425,0,0,0,0,0,0,1.258897757624425,0,0,0,1,0,0,1,0,1,0,0
Teoscar Hernandez,LAD,hitter,22.178695457315857,595,546,142,29,75,92,6,0.260762,NA,NA,NA,NA,NA,NA,0.25784941034318853,0.3486858630067355,0.517981826521853,0.04950323151607866,0.07556449211454537,1.249584823502401,0,0,0,0,0,0,1.249584823502401,0,0,0,0,0,1,0,0,1,0,0
Eugenio Suarez,CIN,hitter,17.313019694768954,616,546,128,35,79,97,3,0.234918,NA,NA,NA,NA,NA,NA,0.2716013788948252,0.4208277656977842,0.5461330127458668,0.02475161575803933,-0.02885859798048353,1.234455175116032,0,0,0,0,0,0,1.234455175116032,0,0,0,1,0,0,1,0,1,0,0
CJ Abrams,WSN,hitter,20.285527003585184,630,573,146,20,86,70,30,0.254305,NA,NA,NA,NA,NA,NA,0.2956673238601895,0.24047300897016238,0.3941166071361925,0.24751615758039328,0.051921441735739794,1.2296945392826775,0,0,0,0,0,0,1.2296945392826775,0,0,0,0,1,0,0,1,1,0,0
Michael Harris II,ATL,hitter,23.2275830512518,574,539,148,22,71,77,18,0.275134,NA,NA,NA,NA,NA,NA,0.2440974417915518,0.2645203098671786,0.43352826784981174,0.14850969454823598,0.13192151858347473,1.222577232640253,0,0,0,0,0,0,1.222577232640253,0,0,0,0,0,1,0,0,1,0,0
Jackson Merrill,SDP,hitter,22.422964132171387,630,576,155,24,82,84,7,0.269556,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.2885676107641949,0.472939928563431,0.05775377010209177,0.11720100709769338,1.218377671835964,0,0,0,0,0,0,1.218377671835964,0,0,0,0,0,1,0,0,1,0,0
Geraldo Perdomo,ARI,hitter,20.29598419584181,686,581,154,15,96,72,23,0.26595800000000003,NA,NA,NA,NA,NA,NA,0.3300472452392813,0.1803547567276218,0.405377081625798,0.18976238747830151,0.10274869242992123,1.2082901635009238,0,0,0,0,0,0,1.2082901635009238,0,0,0,0,1,0,0,1,1,0,0
Adolis Garcia,PHI,hitter,19.674280061004993,609,556,134,28,75,88,13,0.241109,NA,NA,NA,NA,NA,NA,0.25784941034318853,0.33666221255822737,0.495460877542642,0.10725700161817042,-0.003914163341466565,1.1933153387207618,0,0,0,0,0,0,1.1933153387207618,0,0,0,0,0,1,0,0,1,0,0
Andy Pages,LAD,hitter,20.679382870577975,602,549,141,26,75,85,10,0.256537,NA,NA,NA,NA,NA,NA,0.25784941034318853,0.31261491166121114,0.47857016580823375,0.08250538586013109,0.05881470472792317,1.1903545784006877,0,0,0,0,0,0,1.1903545784006877,0,0,0,0,0,1,0,0,1,0,0
Hunter Goodman,COL,hitter,26.441747548298444,583,538,139,29,74,89,2,0.258685,NA,NA,NA,NA,NA,NA,0.25441141820527935,0.3486858630067355,0.5010911147874447,0.01650107717202622,0.06618813069538274,1.1868776038668685,0,0,0,0,0,0,1.1868776038668685,1,0,0,0,0,0,0,0,1,0,0
Willy Adames,SFG,hitter,15.948140887649082,679,596,141,27,85,87,12,0.236342,NA,NA,NA,NA,NA,NA,0.29222933172228033,0.32463856210971925,0.48983064029783924,0.09900646303215732,-0.025220737147860925,1.180484260014135,0,0,0,0,0,0,1.180484260014135,0,0,0,0,1,0,0,1,1,0,0
Seiya Suzuki,CHC,hitter,20.323673023229965,616,540,139,26,77,86,7,0.25638,NA,NA,NA,NA,NA,NA,0.26472539461900685,0.31261491166121114,0.48420040305303647,0.05775377010209177,0.05722313926120989,1.1765176186965562,0,0,0,0,0,0,1.1765176186965562,0,0,0,0,0,1,0,0,1,0,0
Matt Chapman,SFG,hitter,17.089551808451567,672,583,141,27,89,84,9,0.241457,NA,NA,NA,NA,NA,NA,0.305981300273917,0.32463856210971925,0.472939928563431,0.07425484727411799,-0.0026028549930490774,1.1752117832281364,0,0,0,0,0,0,1.1752117832281364,0,0,0,1,0,0,1,0,1,0,0
Christian Yelich,MIL,hitter,17.2154830803266,630,553,141,20,81,80,17,0.25589,NA,NA,NA,NA,NA,NA,0.2784773631706436,0.24047300897016238,0.45041897958422,0.14025915596222285,0.05659549788968582,1.1662240055769346,0,0,0,0,0,0,1.1662240055769346,0,0,0,0,0,0,0,0,1,0,0
Michael Busch,CHC,hitter,18.860909892375812,602,526,133,28,84,82,4,0.252728,NA,NA,NA,NA,NA,NA,0.28879133958437114,0.33666221255822737,0.4616794540738255,0.03300215434405244,0.041524124213471236,1.1616592847739475,0,0,0,0,0,0,1.1616592847739475,0,1,0,0,0,0,1,0,1,0,0
Logan Webb,SFG,pitcher,28.253715246952083,NA,NA,NA,NA,NA,NA,NA,NA,202,14,0,191,3.18558,1.16831,0,0,0,0,0,0,0.3434187605237866,0,0.5270812154882084,0.16100952864599744,0.12194541487991706,1.1534549195379096,1.1534549195379096,0,0,0,0,0,0,0,0,0,1,0
Nico Hoerner,CHC,hitter,21.20494365798371,665,607,171,9,79,65,27,0.281115,NA,NA,NA,NA,NA,NA,0.2716013788948252,0.10821285403657308,0.36596542091217876,0.22276454182235395,0.1754309043437752,1.1439751000097063,0,0,0,0,0,0,1.1439751000097063,0,0,1,0,0,0,0,1,1,0,0
Brice Turang,MIL,hitter,19.528194412480108,651,582,151,14,83,68,28,0.258773,NA,NA,NA,NA,NA,NA,0.28535334744646196,0.16833110627911368,0.38285613264658697,0.23101508040836707,0.07198029562705978,1.1395359624075896,0,0,0,0,0,0,1.1395359624075896,0,0,1,0,0,0,0,1,1,0,0
Alec Burleson,STL,hitter,20.111557678406964,602,551,152,22,70,79,6,0.275762,NA,NA,NA,NA,NA,NA,0.2406594496536426,0.2645203098671786,0.44478874233941723,0.04950323151607866,0.13741922740898713,1.1368909607853042,0,0,0,0,0,0,1.1368909607853042,0,1,0,0,0,1,1,0,1,0,0
Ezequiel Tovar,COL,hitter,16.72313081021123,651,605,161,21,82,74,9,0.266026,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.2524966594186705,0.4166375561154035,0.07425484727411799,0.1072974893375091,1.132601907454254,0,0,0,0,0,0,1.132601907454254,0,0,0,0,1,0,0,1,1,0,0
Luis Robert Jr.,NYM,hitter,18.511724635971255,567,515,121,21,69,76,29,0.235239,NA,NA,NA,NA,NA,NA,0.23722145751573342,0.2524966594186705,0.42789803060500897,0.23926561899438017,-0.025996740095253254,1.13088502643854,0,0,0,0,0,0,1.13088502643854,0,0,0,0,0,1,0,0,1,0,0
Dansby Swanson,CHC,hitter,14.68158887264464,686,619,149,22,82,80,16,0.240941,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.2645203098671786,0.45041897958422,0.13200861737620975,-0.005127237509013957,1.1237360246271473,0,0,0,0,0,0,1.1237360246271473,0,0,0,0,1,0,0,1,1,0,0
Ivan Herrera,STL,hitter,16.545696557008952,601,520,142,19,77,74,10,0.273423,NA,NA,NA,NA,NA,NA,0.26472539461900685,0.22844935852165427,0.4166375561154035,0.08250538586013109,0.12068710718160516,1.113004802297801,0,0,0,0,0,0,1.113004802297801,0,0,0,0,0,0,0,0,1,0,0
Cristopher Sanchez,PHI,pitcher,26.97489309843711,NA,NA,NA,NA,NA,NA,NA,NA,200,12,0,193,3.21334,1.16077,0,0,0,0,0,0,0.2943589375918171,0,0.5326003905194985,0.15693722486704917,0.12459789387737441,1.1084944468557392,1.1084944468557392,0,0,0,0,0,0,0,0,0,1,0
William Contreras,MIL,hitter,25.619869049428814,610,531,143,20,80,77,6,0.270014,NA,NA,NA,NA,NA,NA,0.2750393710327344,0.24047300897016238,0.43352826784981174,0.04950323151607866,0.10984439519340264,1.1083882745621898,0,0,0,0,0,0,1.1083882745621898,1,0,0,0,0,0,0,0,1,0,0
Chris Sale,ATL,pitcher,28.625351945321345,NA,NA,NA,NA,NA,NA,NA,NA,165,12,0,200,3.1503,1.10333,0,0,0,0,0,0,0.2943589375918171,0,0.551917503129014,0.13411599245908698,0.12705201769243535,1.1074444508723533,1.1074444508723533,0,0,0,0,0,0,0,0,0,1,0
Oneil Cruz,PIT,hitter,18.21066117242828,539,473,112,22,72,65,29,0.237369,NA,NA,NA,NA,NA,NA,0.24753543392946098,0.2645203098671786,0.36596542091217876,0.23926561899438017,-0.01642097794274544,1.1008658057604532,0,0,0,0,0,0,1.1008658057604532,0,0,0,0,0,1,0,0,1,0,0
Alex Bregman,CHC,hitter,14.973935357624718,672,584,146,23,87,82,3,0.250012,NA,NA,NA,NA,NA,NA,0.2991053159980987,0.27654396031568673,0.4616794540738255,0.02475161575803933,0.03436502795025032,1.0964453740959006,0,0,0,0,0,0,1.0964453740959006,0,0,0,1,0,0,1,0,1,0,0
Heliot Ramos,SFG,hitter,17.597503968494937,637,573,147,22,77,78,7,0.257289,NA,NA,NA,NA,NA,NA,0.26472539461900685,0.2645203098671786,0.4391585050946145,0.05775377010209177,0.06457456114133671,1.0907325408242283,0,0,0,0,0,0,1.0907325408242283,0,0,0,0,0,1,0,0,1,0,0
Hunter Greene,CIN,pitcher,22.942269990548148,NA,NA,NA,NA,NA,NA,NA,NA,180,11,0,212,3.7334,1.11404,0,0,0,0,0,0,0.26982902612583237,0,0.5850325533167549,0.09946007175601725,0.133667826555986,1.0879894777545904,1.0879894777545904,0,0,0,0,0,0,0,0,0,1,0
Kyle Stowers,MIA,hitter,16.028629081364194,609,537,130,27,73,84,4,0.242913,NA,NA,NA,NA,NA,NA,0.25097342606737016,0.32463856210971925,0.472939928563431,0.03300215434405244,0.003388534682159524,1.0849426057667324,0,0,0,0,0,0,1.0849426057667324,0,0,0,0,0,1,0,0,1,0,0
Ian Happ,CHC,hitter,16.64795937563341,658,565,137,23,84,79,8,0.242746,NA,NA,NA,NA,NA,NA,0.28879133958437114,0.27654396031568673,0.44478874233941723,0.06600430868810488,0.0028669710448370996,1.0789953219724169,0,0,0,0,0,0,1.0789953219724169,0,0,0,0,0,1,0,0,1,0,0
Bryson Stott,PHI,hitter,17.051717323304917,623,556,144,14,73,68,25,0.258301,NA,NA,NA,NA,NA,NA,0.25097342606737016,0.16833110627911368,0.38285613264658697,0.20626346465032774,0.06682262859159405,1.0752467582349925,0,0,0,0,0,0,1.0752467582349925,0,0,1,0,0,0,0,1,1,0,0
Dylan Crews,WSN,hitter,17.301956020884173,595,539,131,18,72,69,26,0.243564,NA,NA,NA,NA,NA,NA,0.24753543392946098,0.21642570807314615,0.38848636989138974,0.21451400323634084,0.005997807936404604,1.0729593230667425,0,0,0,0,0,0,1.0729593230667425,0,0,0,0,0,1,0,0,1,0,0
Brenton Doyle,COL,hitter,16.70886058022132,595,549,136,19,69,70,21,0.247602,NA,NA,NA,NA,NA,NA,0.23722145751573342,0.22844935852165427,0.3941166071361925,0.1732613103062753,0.022514333453396748,1.0555630669332523,0,0,0,0,0,0,1.0555630669332523,0,0,0,0,0,1,0,0,1,0,0
Ozzie Albies,ATL,hitter,14.93270043853439,630,571,145,19,75,75,11,0.253885,NA,NA,NA,NA,NA,NA,0.25784941034318853,0.22844935852165427,0.42226779336020626,0.0907559244461442,0.049965496204173544,1.0492879828753667,0,0,0,0,0,0,1.0492879828753667,0,0,1,0,0,0,0,1,1,0,0
Alec Bohm,PHI,hitter,15.105254473434396,609,556,155,16,70,78,3,0.278395,NA,NA,NA,NA,NA,NA,0.2406594496536426,0.19237840717612992,0.4391585050946145,0.02475161575803933,0.1494997515035833,1.0464477291860097,0,0,0,0,0,0,1.0464477291860097,0,0,0,1,0,0,1,0,1,0,0
Jurickson Profar,ATL,hitter,16.714006351155955,644,556,141,19,82,74,9,0.252949,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.22844935852165427,0.4166375561154035,0.07425484727411799,0.04480172872969655,1.0460588459494249,0,0,0,0,0,0,1.0460588459494249,0,0,0,0,0,1,0,0,1,0,0
Jesus Luzardo,PHI,pitcher,18.452620350474422,NA,NA,NA,NA,NA,NA,NA,NA,179,12,0,197,3.77514,1.19247,0,0,0,0,0,0,0.2943589375918171,0,0.5436387405820788,0.09557260967375891,0.09699124242816279,1.0305615302758175,1.0305615302758175,0,0,0,0,0,0,0,0,0,1,0
Marcus Semien,NYM,hitter,13.51443706551968,644,576,140,20,82,75,9,0.242363,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.24047300897016238,0.42226779336020626,0.07425484727411799,0.001290242195688047,1.0202012471087274,0,0,0,0,0,0,1.0202012471087274,0,0,1,0,0,0,0,1,1,0,0
Luis Arraez,SFG,hitter,18.603410407809548,623,578,178,6,73,58,9,0.308087,NA,NA,NA,NA,NA,NA,0.25097342606737016,0.07214190269104873,0.3265537601985595,0.07425484727411799,0.2824174712524449,1.006341407483541,0,0,0,0,0,0,1.006341407483541,0,1,0,0,0,0,1,0,1,0,0
Mickey Moniak,COL,hitter,15.729380199058442,483,451,120,21,64,67,9,0.26628,NA,NA,NA,NA,NA,NA,0.22003149682618753,0.2524966594186705,0.37722589540178425,0.07425484727411799,0.08083312503607583,1.004842023956836,0,0,0,0,0,0,1.004842023956836,0,0,0,0,0,1,0,0,1,0,0
Luis Garcia Jr.,WSN,hitter,14.643872349732574,525,489,133,16,63,67,13,0.272014,NA,NA,NA,NA,NA,NA,0.21659350468827834,0.19237840717612992,0.37722589540178425,0.10725700161817042,0.10839354535179897,1.001848354236162,0,0,0,0,0,0,1.001848354236162,0,0,1,0,0,0,0,1,1,0,0
Masyn Winn,STL,hitter,12.308319174286218,644,587,150,15,79,68,13,0.255355,NA,NA,NA,NA,NA,NA,0.2716013788948252,0.1803547567276218,0.38285613264658697,0.10725700161817042,0.057751149154709566,0.999820419041914,0,0,0,0,0,0,0.999820419041914,0,0,0,0,1,0,0,1,1,0,0
Jorge Polanco,NYM,hitter,12.847725876217329,539,477,120,23,65,76,5,0.250623,NA,NA,NA,NA,NA,NA,0.2234694889640967,0.27654396031568673,0.42789803060500897,0.041252692930065546,0.030225465381859,0.9993896381967169,0,0,0,0,0,0,0.9993896381967169,0,0,1,0,0,0,0,1,1,0,0
Edwin Diaz,LAD,pitcher,19.54154251841065,NA,NA,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98043,1.06953,0,0,0,0,0,0,0.1226495573299238,0.5023033693630067,0.25664163895499154,0.05865064424752094,0.056530736932362186,0.9967759468278052,0.9967759468278052,0,0,0,0,0,0,0,0,0,0,1
Matt McLain,CIN,hitter,12.83723927747157,616,543,128,19,78,67,18,0.235338,NA,NA,NA,NA,NA,NA,0.26816338675691603,0.22844935852165427,0.37722589540178425,0.14850969454823598,-0.027012341890428455,0.995335993338162,0,0,0,0,0,0,0.995335993338162,0,0,1,0,0,0,0,1,1,0,0
Bryan Reynolds,PIT,hitter,14.478082298200944,644,576,146,19,73,76,5,0.252652,NA,NA,NA,NA,NA,NA,0.25097342606737016,0.22844935852165427,0.42789803060500897,0.041252692930065546,0.04514733262619336,0.9937208407502922,0,0,0,0,0,0,0.9937208407502922,0,0,0,0,0,1,0,0,1,0,0
Mason Miller,SDP,pitcher,22.439031154748065,NA,NA,NA,NA,NA,NA,NA,NA,66,4,32,106,2.433,0.962726,0,0,0,0,0,0,0.09811964586393904,0.44649188387822814,0.29251627665837743,0.07477753586857933,0.07457343954404469,0.9864787818131686,0.9864787818131686,0,0,0,0,0,0,0,0,0,0,1
Jordan Beck,COL,hitter,14.600147415212003,581,528,133,17,66,66,17,0.252134,NA,NA,NA,NA,NA,NA,0.2269074811020059,0.20440205762463803,0.3715956581569815,0.14025915596222285,0.039361067305106884,0.9825254201509551,0,0,0,0,0,0,0.9825254201509551,0,0,0,0,0,1,0,0,1,0,0
Jakob Marsee,MIA,hitter,14.849209050559631,581,498,115,13,73,58,35,0.230961,NA,NA,NA,NA,NA,NA,0.25097342606737016,0.15630745583060557,0.3265537601985595,0.2887688505104588,-0.040904332681733886,0.9816991599252601,0,0,0,0,0,0,0.9816991599252601,0,0,0,0,0,1,0,0,1,0,0
Drake Baldwin,ATL,hitter,20.73949599172767,528,471,125,21,66,72,1,0.266365,NA,NA,NA,NA,NA,NA,0.2269074811020059,0.2524966594186705,0.405377081625798,0.00825053858601311,0.08471401004456351,0.9777457707770509,0,0,0,0,0,0,0.9777457707770509,1,0,0,0,0,0,0,0,1,0,0
