billikenTeam,Position,Player,Contract,Salary
BIG RED MACHINE,C,NA,NA,NA
BIG RED MACHINE,C,NA,NA,NA
BIG RED MACHINE,1B,Michael Busch,2027,11
BIG RED MACHINE,2B,Ketel Marte,2,29
BIG RED MACHINE,3B,Austin Riley,NA,20
BIG RED MACHINE,SS,Dansby Swanson,2,19
BIG RED MACHINE,OF,Kyle Stowers,2,3
BIG RED MACHINE,OF,Fernando Tatis Jr.,2026,31
BIG RED MACHINE,OF,NA,NA,NA
BIG RED MACHINE,OF,NA,NA,NA
BIG RED MACHINE,OF,NA,NA,NA
BIG RED MACHINE,MI,Otto Lopez,2,1
BIG RED MACHINE,CI,Bryce Harper,NA,27
BIG RED MACHINE,Util,Marcell Ozuna,2026,22
BIG RED MACHINE,P,Michael King,2028,12
BIG RED MACHINE,P,Robert Suarez,2026,9
BIG RED MACHINE,P,Bubba Chandler,2,4
BIG RED MACHINE,P,Braxton Ashcraft,2,1
BIG RED MACHINE,P,Cade Horton,2,1
BIG RED MACHINE,P,Ryan Walker,2,1
BIG RED MACHINE,P,Tyler Glasnow,NA,16
BIG RED MACHINE,P,NA,NA,NA
BIG RED MACHINE,P,NA,NA,NA
BLUE SOCKS,C,J.T. Realmuto,2,13
BLUE SOCKS,C,NA,NA,NA
BLUE SOCKS,1B,Freddie Freeman,NA,26
BLUE SOCKS,2B,Marcus Semien,1,24
BLUE SOCKS,3B,Connor Norby,2026,1
BLUE SOCKS,SS,Trea Turner,2,30
BLUE SOCKS,OF,Dylan Crews,2030,21
BLUE SOCKS,OF,Luis Robert Jr.,1,21
BLUE SOCKS,OF,Mickey Moniak,2,1
BLUE SOCKS,OF,Harrison Bader,2,2
BLUE SOCKS,OF,Adolis Garcia,NA,15
BLUE SOCKS,MI,Bo Bichette,NA,19
BLUE SOCKS,CI,NA,NA,NA
BLUE SOCKS,Util,Bryce Eldridge,2,1
BLUE SOCKS,P,Jhoan Duran,2,17
BLUE SOCKS,P,Aaron Nola,2,20
BLUE SOCKS,P,Eury Perez,2026,1
BLUE SOCKS,P,Emmet Sheehan,2,1
BLUE SOCKS,P,Zack Wheeler,2027,33
BLUE SOCKS,P,Jeremiah Estrada,2,4
BLUE SOCKS,P,NA,NA,NA
BLUE SOCKS,P,NA,NA,NA
BLUE SOCKS,P,NA,NA,NA
ERIE LAKERS,C,NA,NA,NA
ERIE LAKERS,C,NA,NA,NA
ERIE LAKERS,1B,NA,NA,NA
ERIE LAKERS,2B,NA,NA,NA
ERIE LAKERS,3B,Alex Bregman,NA,18
ERIE LAKERS,SS,Ezequiel Tovar,2027,11
ERIE LAKERS,OF,James Wood,2029,17
ERIE LAKERS,OF,Juan Soto,2,37
ERIE LAKERS,OF,Brandon Marsh,2,8
ERIE LAKERS,OF,Daylen Lile,2,1
ERIE LAKERS,OF,NA,NA,NA
ERIE LAKERS,MI,Mookie Betts,2026,35
ERIE LAKERS,CI,NA,NA,NA
ERIE LAKERS,Util,NA,NA,NA
ERIE LAKERS,P,Brady Singer,2,2
ERIE LAKERS,P,Justin Steele,2027,16
ERIE LAKERS,P,Ryne Nelson,2,2
ERIE LAKERS,P,Trevor Megill,2028,11
ERIE LAKERS,P,NA,NA,NA
ERIE LAKERS,P,NA,NA,NA
ERIE LAKERS,P,NA,NA,NA
ERIE LAKERS,P,NA,NA,NA
ERIE LAKERS,P,NA,NA,NA
FREE AT LAST,C,Patrick Bailey,2,6
FREE AT LAST,C,Luis Torrens,2,1
FREE AT LAST,1B,NA,NA,NA
FREE AT LAST,2B,Hyeseong Kim,2,7
FREE AT LAST,3B,Matt Chapman,2027,23
FREE AT LAST,SS,Gerardo Perdomo,2,6
FREE AT LAST,OF,Victor Scott II,2,5
FREE AT LAST,OF,Gavin Sheets,2,1
FREE AT LAST,OF,Ian Happ,2027,23
FREE AT LAST,OF,NA,NA,NA
FREE AT LAST,OF,NA,NA,NA
FREE AT LAST,MI,NA,NA,NA
FREE AT LAST,CI,NA,NA,NA
FREE AT LAST,Util,Kyle Schwarber,2,24
FREE AT LAST,P,Yoshinobu Yamamoto,2027,31
FREE AT LAST,P,Roki Sasaki,2,14
FREE AT LAST,P,Ben Brown,2,1
FREE AT LAST,P,Miles Mikolas,2,1
FREE AT LAST,P,Colin Rea,2,1
FREE AT LAST,P,Andrew Painter,2027,6
FREE AT LAST,P,Devin Williams,NA,20
FREE AT LAST,P,Pete Fairbanks,NA,13
FREE AT LAST,P,Nick Lodolo,NA,16
FREE BIRDS,C,Drake Baldwin,2,1
FREE BIRDS,C,NA,NA,NA
FREE BIRDS,1B,Matt Olson,2027,38
FREE BIRDS,2B,Nico Hoerner,2026,23
FREE BIRDS,3B,Max Muncy,2026,19
FREE BIRDS,SS,Xander Bogaerts,NA,15
FREE BIRDS,OF,Teoscar Hernandez,2027,25
FREE BIRDS,OF,Bryan Reynolds,2026,22
FREE BIRDS,OF,TJ Friedl,2026,11
FREE BIRDS,OF,NA,NA,NA
FREE BIRDS,OF,NA,NA,NA
FREE BIRDS,MI,Bryson Stott,NA,17
FREE BIRDS,CI,NA,NA,NA
FREE BIRDS,Util,Christian Yelich,NA,16
FREE BIRDS,P,Andrew Abbott,2,2
FREE BIRDS,P,Reynaldo Lopez,2027,9
FREE BIRDS,P,Robbie Ray,2027,10
FREE BIRDS,P,Spencer Strider,2,17
FREE BIRDS,P,Jason Adam,2,5
FREE BIRDS,P,Mitch Keller,2,6
FREE BIRDS,P,Hurston Waldrep,2,1
FREE BIRDS,P,NA,NA,NA
FREE BIRDS,P,NA,NA,NA
HOOSIERS,C,Agustin Ramirez,2,2
HOOSIERS,C,NA,NA,NA
HOOSIERS,1B,Rafael Devers,2,30
HOOSIERS,2B,Matt McLain,2028,16
HOOSIERS,3B,Manny Machado,2026,25
HOOSIERS,SS,Elly De La Cruz,2030,30
HOOSIERS,OF,Corbin Carroll,2029,26
HOOSIERS,OF,Jakob Marsee,2,1
HOOSIERS,OF,Jordan Beck,NA,13
HOOSIERS,OF,NA,NA,NA
HOOSIERS,OF,NA,NA,NA
HOOSIERS,MI,JJ Wetherholt,2,1
HOOSIERS,CI,NA,NA,NA
HOOSIERS,Util,Moise Ballesteros,NA,7
HOOSIERS,P,Logan Webb,2026,16
HOOSIERS,P,Nolan McLean,2,1
HOOSIERS,P,Daniel Palencia,2,1
HOOSIERS,P,Brandon Woodruff,2,12
HOOSIERS,P,Zac Gallen,NA,10
HOOSIERS,P,NA,NA,NA
HOOSIERS,P,NA,NA,NA
HOOSIERS,P,NA,NA,NA
HOOSIERS,P,NA,NA,NA
LOUISVILLE SLUGGERS,C,Hunter Goodman,2,7
LOUISVILLE SLUGGERS,C,NA,NA,NA
LOUISVILLE SLUGGERS,1B,NA,NA,NA
LOUISVILLE SLUGGERS,2B,Ozzie Albies,NA,14
LOUISVILLE SLUGGERS,3B,Brett Baty,2,2
LOUISVILLE SLUGGERS,SS,Xavier Edwards,2026,1
LOUISVILLE SLUGGERS,OF,Jackson Chourio,2029,30
LOUISVILLE SLUGGERS,OF,Jackson Merrill,2028,17
LOUISVILLE SLUGGERS,OF,Jung Hoo Lee,NA,10
LOUISVILLE SLUGGERS,OF,NA,NA,NA
LOUISVILLE SLUGGERS,OF,NA,NA,NA
LOUISVILLE SLUGGERS,MI,Brandon Lowe,1,15
LOUISVILLE SLUGGERS,CI,NA,NA,NA
LOUISVILLE SLUGGERS,Util,NA,NA,NA
LOUISVILLE SLUGGERS,P,NA,NA,NA
LOUISVILLE SLUGGERS,P,NA,NA,NA
LOUISVILLE SLUGGERS,P,Emilio Pagan,2,1
LOUISVILLE SLUGGERS,P,Cristopher Sanchez,2026,6
LOUISVILLE SLUGGERS,P,Edward Cabrera,NA,11
LOUISVILLE SLUGGERS,P,NA,NA,NA
LOUISVILLE SLUGGERS,P,Shohei Ohtani,2028,44
LOUISVILLE SLUGGERS,P,Edwin Diaz,2027,33
LOUISVILLE SLUGGERS,P,Jesus Luzardo,2027,19
MELONHEADS,C,William Contreras,2026,11
MELONHEADS,C,NA,NA,NA
MELONHEADS,1B,Carlos Santana,2,9
MELONHEADS,2B,Willi Castro,2,17
MELONHEADS,3B,Noelvi Marte,2028,26
MELONHEADS,SS,CJ Abrams,2027,16
MELONHEADS,OF,Ramon Laureano,2,1
MELONHEADS,OF,Seiya Suzuki,2,21
MELONHEADS,OF,Pete Crow-Armstrong,2027,11
MELONHEADS,OF,Kyle Tucker,2,40
MELONHEADS,OF,NA,NA,NA
