Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,keepingTeam,pick
Bryce Harper,PHI,NA,NA,NA,8.8,3.3,5.500000000000001,21.3,NA,665,29,90,95,11,0.273,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,1
Freddie Freeman,LAD,NA,NA,NA,8.4,3.3,5.1000000000000005,20.2,NA,651,24,89,91,8,0.284,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,2
James Wood,WSN,NA,NA,NA,8.1,3.3,4.8,19.3,NA,644,27,90,84,16,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,3
Bo Bichette,NYM,NA,NA,NA,7.9,3.3,4.6000000000000005,18.7,NA,658,19,81,86,6,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Christian Yelich,MIL,NA,NA,NA,7,3.3,3.7,16,NA,630,20,81,80,17,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,5
Eugenio Suarez,CIN,NA,NA,NA,6.9,3.3,3.6000000000000005,15.7,NA,616,35,79,97,3,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Devin Williams,NYM,NA,NA,NA,5.2,1.6,3.6,15.7,NA,NA,NA,NA,NA,NA,NA,64,5,32,85,3.13,1.14,0,0,0,0,0,0,0,0,NA,7
Adolis Garcia,PHI,NA,NA,NA,6.8,3.3,3.5,15.4,NA,609,27,75,88,13,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,8
Luis Arraez,SFG,NA,NA,NA,6.7,3.3,3.4000000000000004,15.1,NA,623,6,73,58,9,0.308,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,NA,9
Bryson Stott,PHI,NA,NA,NA,6.6,3.3,3.3,14.8,NA,623,14,73,67,25,0.258,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,10
Alex Bregman,CHC,NA,NA,NA,6.3,3.3,3,13.9,NA,672,23,87,82,3,0.25,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,11
