Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value
Edwin Diaz,LAD,pitcher,19.824451122445257,NA,NA,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98116,1.06968,0,0,0,0,0,0,0.1226495573299238,0.5023033693630067,0.25664163895499154,0.05862913897582707,0.05650539700696847,0.9967291016307176,0.9967291016307176,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.019623929172787796,0.46602590379790065,0.015729648839176907,0.03951407264020612,0.04643045613022144,0,0.5480761522347174,0.5480761522347174,0.5480761522347174,0,0,0,0,0,-1.1308900523560208,52.43023255813961,0.44816540477577177,2.825741432719803,3.436021480734619,58.009270824013775,58.009270824013775
Mason Miller,SDP,pitcher,22.776815935300824,NA,NA,NA,NA,NA,NA,NA,NA,66,4,32,106,2.43333,0.962768,0,0,0,0,0,0,0.09811964586393904,0.44649188387822814,0.29251627665837743,0.07476781430740263,0.07456634436493444,0.9864619650728818,0.9864619650728818,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.04415384063877256,0.4102144183131221,0.0516042865425628,0.055652747971781685,0.06449140348818741,0,0.5378090156768813,0.5378090156768813,0.5378090156768813,0,0,0,0,0,-2.544502617801048,46.15116279069773,1.4702970297029694,3.9798549043654377,4.772596829258817,53.829408936223906,53.829408936223906
Jhoan Duran,PHI,pitcher,19.90731662265917,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67248,1.0988,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.07182703010205739,0.05471250147985671,0.9346875329226376,0.9346875329226376,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.029435893759181708,0.36835580419953823,-0.009106638801628736,0.05271196376643644,0.04463756060310968,0,0.4860345835266373,0.4860345835266373,0.4860345835266373,0,0,0,0,0,1.696335078534032,41.441860465116335,-0.2594641817122889,3.769552720396767,3.303340735006187,49.951624817341035,49.951624817341035
Devin Williams,NYM,pitcher,16.0206417216514,NA,NA,NA,NA,NA,NA,NA,NA,64,5,32,85,3.12382,1.13526,0,0,0,0,0,0,0.1226495573299238,0.44649188387822814,0.23456493882983095,0.05277719138896732,0.04405021248468165,0.9005337839116319,0.9005337839116319,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.019623929172787796,0.4102144183131221,-0.006347051285983674,0.03366212505334637,0.03397527160793462,0,0.45188083451563166,0.45188083451563166,0.45188083451563166,0,0,0,0,0,-1.1308900523560208,46.15116279069773,-0.18083867210250465,2.407255317434674,2.5142928325158285,49.76098221618971,49.76098221618971
Shohei Ohtani,LAD,two-way,47.107675091588234,679,575,162,48,129,119,26,0.2821,116,8,0,138,3.51338,1.13306,0.44350098579028424,0.5771352215283898,0.6699982321315272,0.21451400323634084,0.1703737827519656,2.0755222254385077,0.19623929172787807,0,0.3808230771590197,0.0754884463920216,0.08049421709419063,0.7330450323731099,2.8085672578116174,0,0,0,0,0,0,0,0,1,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0.44350098579028424,0.5771352215283898,0.6699982321315272,0.21451400323634084,0.1703737827519656,0.053965805225166474,-0.03627746556510604,0.13991108704320507,0.05637338005640065,0.07041927621744361,2.0755222254385077,0.2843920829771097,2.3599143084156173,2.3599143084156173,6.840947480064424,6.62747524752475,9.776704888352448,7.307932542161152,5.578376193263469,3.1099476439790594,-4.081395348837215,3.9863133372160733,4.031388947889543,5.211280825290629,48.38897175690434,48.38897175690434
Daniel Palencia,CHC,pitcher,10.894557610090803,NA,NA,NA,NA,NA,NA,NA,NA,67,5,30,75,3.67882,1.23486,0,0,0,0,0,0,0.1226495573299238,0.41858614113583886,0.20696906367338025,0.03865349816026545,0.02903442072647016,0.8158926810258785,0.8158926810258785,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.019623929172787796,0.38230867557073284,-0.03394292644243438,0.019538431824644497,0.01895947984972313,0,0.3672397316298783,0.3672397316298783,0.3672397316298783,0,0,0,0,0,-1.1308900523560208,43.0116279069768,-0.9670937682003495,1.3972378104374799,1.4030699988062587,43.71395189566417,43.71395189566417
Paul Skenes,PIT,pitcher,38.798298968974656,NA,NA,NA,NA,NA,NA,NA,NA,189,13,0,223,2.83934,1.06665,0,0,0,0,0,0,0.31888884905780185,0,0.6153880159888506,0.17985656240912806,0.16327670911341266,1.277410136569193,1.277410136569193,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.17661536255509025,-0.03627746556510604,0.37447602587303597,0.1607414960735071,0.15320176823666562,0,0.8287571871731929,0.8287571871731929,0.8287571871731929,0,0,0,0,0,10.178010471204193,-4.081395348837215,10.669481654047752,11.49499089977649,11.337484281251216,39.59857195744244,39.59857195744244
Raisel Iglesias,ATL,pitcher,11.570217040782412,NA,NA,NA,NA,NA,NA,NA,NA,66,5,26,71,3.61192,1.15066,0,0,0,0,0,0,0.1226495573299238,0.3627746556510604,0.19593071361079997,0.04004740586127584,0.04282521595107124,0.7642275484041312,0.7642275484041312,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.019623929172787796,0.32649719008595435,-0.044981276505014656,0.020932339525654885,0.03275027507432421,0,0.315574599008131,0.315574599008131,0.315574599008131,0,0,0,0,0,-1.1308900523560208,36.73255813953493,-1.2815958066394872,1.4969193284626419,2.4236386638058396,38.2406302728079,38.2406302728079
Pete Fairbanks,MIA,pitcher,9.980122686865416,NA,NA,NA,NA,NA,NA,NA,NA,62,4,27,65,3.37942,1.20394,0,0,0,0,0,0,0.09811964586393904,0.376727527022255,0.17937318851692954,0.04405446410851828,0.03177450630265831,0.7300493318143002,0.7300493318143002,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.04415384063877256,0.34045006145714896,-0.061538801598885084,0.024939397772897328,0.02169956542591128,0,0.2813963824182999,0.2813963824182999,0.2813963824182999,0,0,0,0,0,-2.544502617801048,38.3023255813954,-1.7533488642981945,1.7834732004376948,1.6058462298307346,37.39379352956458,37.39379352956458
Emilio Pagan,CIN,pitcher,6.905014551271769,NA,NA,NA,NA,NA,NA,NA,NA,66,3,27,71,4.04458,1.19264,0,0,0,0,0,0,0.07358973439795427,0.376727527022255,0.19593071361079997,0.02730155538036116,0.03573341549754488,0.7092829459089152,0.7092829459089152,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.06868375210475733,0.34045006145714896,-0.044981276505014656,0.00818648904474021,0.025658474620797848,0,0.2606299965129151,0.2606299965129151,0.2606299965129151,0,0,0,0,0,-3.9581151832460755,38.3023255813954,-1.2815958066394872,0.5854344980550327,1.8988198115624453,35.54686890112732,35.54686890112732
