Name,Team,billikenTeam,contract,salary,point_value,repl,par,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,ev,surplus
Shohei Ohtani,LAD,Louisville Sluggers,Opt,34,13.4,3.3,10.100000000000001,679,48,129,119,26,0.282,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,35,1
Juan Soto,NYM,Erie Lakers,2,37,11.1,3.3,7.8,686,38,114,102,23,0.272,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,28.2,-8.8
Ronald Acuna Jr.,ATL,Westside Marauders,2026,46,10.8,3.3,7.500000000000001,651,31,115,84,26,0.286,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,27.3,-18.7
Kyle Tucker,LAD,Melonheads,2,40,10,3.3,6.7,651,33,98,102,22,0.268,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,24.9,-15.1
Elly De La Cruz,CIN,Hoosiers,2030,30,10,3.3,6.7,672,25,97,89,41,0.262,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,24.9,-5.1
Fernando Tatis Jr.,SDP,Big Red Machine,2026,31,9.9,3.3,6.6000000000000005,672,30,106,84,26,0.27,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,24.6,-6.4
Corbin Carroll,ARI,Hoosiers,2029,26,9.6,3.3,6.3,637,27,101,89,34,0.259,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,23.7,-2.3
Pete Crow-Armstrong,CHC,Melonheads,2027,11,9.1,3.3,5.8,644,26,88,92,34,0.254,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,22.2,11.2
Jackson Chourio,MIL,Louisville Sluggers,Opt,15,9.1,3.3,5.8,651,25,92,88,24,0.271,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,22.2,7.2
Trea Turner,PHI,Blue Socks,2,30,8.9,3.3,5.6000000000000005,644,19,92,73,28,0.282,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,21.6,-8.4
Bryce Harper,PHI,NA,NA,NA,8.8,3.3,5.500000000000001,665,29,90,95,11,0.273,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,21.3,NA
Paul Skenes,PIT,Melonheads,Opt,7,6.8,1.6,5.199999999999999,NA,NA,NA,NA,NA,NA,189,13,0,223,2.84,1.07,0,0,0,0,0,0,0,0,20.5,13.5
Francisco Lindor,NYM,National Pastime,2,33,8.4,3.3,5.1000000000000005,630,26,94,78,22,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,20.2,-12.8
Freddie Freeman,LAD,NA,NA,NA,8.4,3.3,5.1000000000000005,651,24,89,91,8,0.284,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,20.2,NA
Kyle Schwarber,PHI,Free At Last,2,24,8.4,3.3,5.1000000000000005,686,44,103,105,7,0.227,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,20.2,-3.8
Hunter Goodman,COL,Louisville Sluggers,2,7,7,1.9,5.1,583,29,74,89,2,0.259,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,20.2,13.2
Ivan Herrera,STL,National Pastime,Opt,2,6.8,1.9,4.9,593,19,76,73,10,0.273,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,19.6,17.6
William Contreras,MIL,Melonheads,2026,11,6.7,1.9,4.800000000000001,610,20,79,77,6,0.27,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,19.3,8.3
Mookie Betts,LAD,Erie Lakers,Opt,35,8.1,3.3,4.8,651,24,97,87,9,0.274,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,19.3,-15.7
Ketel Marte,ARI,Big Red Machine,2,29,8.1,3.3,4.8,637,27,94,86,6,0.274,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,19.3,-9.7
James Wood,WSN,NA,NA,NA,8.1,3.3,4.8,644,27,90,84,16,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,19.3,NA
Bo Bichette,NYM,NA,NA,NA,7.9,3.3,4.6000000000000005,658,19,81,86,6,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,NA
Mason Miller,SDP,Westside Marauders,2,21,6.2,1.6,4.6,NA,NA,NA,NA,NA,NA,66,4,32,106,2.43,0.96,0,0,0,0,0,0,0,0,18.7,-2.3
Manny Machado,SDP,Hoosiers,Opt,25,7.8,3.3,4.5,651,27,81,91,10,0.263,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,18.4,-6.6
Austin Riley,ATL,Erie Lakers,Opt,35,7.7,3.3,4.4,672,30,88,92,3,0.261,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,18.1,-16.9
Michael Harris II,ATL,National Pastime,2028,21,7.7,3.3,4.4,574,22,71,77,18,0.275,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,18.1,-2.9
CJ Abrams,WSN,Melonheads,2027,16,7.7,3.3,4.4,630,20,86,70,30,0.254,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,18.1,2.1
Edwin Diaz,LAD,Louisville Sluggers,2027,33,6,1.6,4.4,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98,1.07,0,0,0,0,0,0,0,0,18.1,-14.9
Edwin Diaz,LAD,Louisville Sluggers,2027,33,6,1.6,4.4,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98,1.07,0,1,0,0,0,0,1,0,18.1,-14.9
Geraldo Perdomo,ARI,Free At Last,2,6,7.6,3.3,4.3,686,15,96,72,23,0.266,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,17.8,11.8
Matt Olson,ATL,Free Birds,2027,38,7.6,3.3,4.3,686,32,94,95,1,0.253,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,17.8,-20.2
Rafael Devers,SFG,Hoosiers,2,30,7.5,3.3,4.2,686,31,94,93,2,0.253,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,17.5,-12.5
Jackson Merrill,SDP,Louisville Sluggers,Opt,7,7.4,3.3,4.1000000000000005,630,24,82,85,7,0.27,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,17.2,10.2
Nico Hoerner,CHC,Free Birds,2026,23,7.4,3.3,4.1000000000000005,665,9,79,65,27,0.281,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,17.2,-5.8
