Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary
Edwin Diaz,LAD,pitcher,19.180191869253964,NA,NA,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98043,1.06953,0,0,0,0,0,0,0.1226495573299238,0.5023033693630067,0.25664163895499154,0.05865064424752094,0.05653073693236218,0.9967759468278052,0.9967759468278052,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.01717093802618932,0.46602590379790065,0.02373245263454762,0.0353171599406332,0.04489917764280308,0,0.5528037559896952,0.5528037559896952,0.5528037559896952,0,0,0,0,0,-0.8902496467263311,51.12244897959188,0.5924073885090321,2.767967784062418,3.3333044771238125,56.92587898256081,56.92587898256081,Louisville Sluggers,P,2027,33
Shohei Ohtani,LAD,two-way,47.38380727378751,679,575,162,48,129,118,26,0.282067,116,8,0,138,3.51178,1.13265,0.44350098579028424,0.5771352215283898,0.6643679948867245,0.21451400323634084,0.17023336372792042,2.06975156916966,0.19623929172787807,0,0.3808230771590197,0.0755712894477788,0.0806159511196175,0.733249609454294,2.803001178623954,0,0,0,0,0,0,0,0,1,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0.44350098579028424,0.5771352215283898,0.6643679948867245,0.21451400323634084,0.17023336372792042,0.05641879637176494,-0.03627746556510604,0.14791389083857578,0.05223780514089106,0.0689843918300584,2.06975156916966,0.2892774186161841,2.359028987785844,2.359028987785844,7.1381727261548535,6.558254425689584,8.490566037735848,13.63636363636364,7.225598514104404,2.925105982100803,-3.9795918367346976,3.6922134911725695,4.094116344099333,5.121385161397388,54.902184482083726,54.902184482083726,Louisville Sluggers,Bench,Opt,34
Mason Miller,SDP,pitcher,22.02036140420595,NA,NA,NA,NA,NA,NA,NA,NA,66,4,32,106,2.43299,0.962726,0,0,0,0,0,0,0.09811964586393904,0.44649188387822814,0.29251627665837743,0.07477783046134225,0.07457343954404469,0.9864790764059316,0.9864790764059316,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.04170084949217409,0.4102144183131221,0.05960709033793351,0.05144434615445451,0.06294188025448559,0,0.5425068855678216,0.5425068855678216,0.5425068855678216,0,0,0,0,0,-2.162034856335376,45.000000000000036,1.487906929278498,4.0319293246412835,4.672790511219918,53.030591908804354,53.030591908804354,Westside Marauders,P,2,21
Jhoan Duran,PHI,pitcher,19.311354972170744,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67149,1.09864,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.071857962342165,0.05474116887020112,0.9347471325530896,0.9347471325530896,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.03188888490578018,0.36835580419953823,-0.00110383500625801,0.04852447803527726,0.04310960958064202,0,0.4907749417149797,0.4907749417149797,0.4907749417149797,0,0,0,0,0,1.6533207724917578,40.40816326530616,-0.02755383202367567,3.803085870037934,3.20044736153975,49.03746343735192,49.03746343735192,Blue Socks,P,2,17
Devin Williams,NYM,pitcher,15.499442933611151,NA,NA,NA,NA,NA,NA,NA,NA,64,5,32,85,3.124,1.13531,0,0,0,0,0,0,0.1226495573299238,0.44649188387822814,0.23456493882983095,0.05277204940619617,0.04404202180172608,0.9005204512459052,0.9005204512459052,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.01717093802618932,0.4102144183131221,0.00165575250938704,0.02943856509930843,0.03241046251216698,0,0.4565482604077953,0.4565482604077953,0.4565482604077953,0,0,0,0,0,-0.8902496467263311,45.000000000000036,0.04133074803551385,2.307235347940864,2.4061451783577716,48.86446162760785,48.86446162760785,NA,NA,NA,NA
Daniel Palencia,CHC,pitcher,10.52134154442992,NA,NA,NA,NA,NA,NA,NA,NA,67,5,30,75,3.67885,1.23487,0,0,0,0,0,0,0.1226495573299238,0.41858614113583886,0.20696906367338025,0.03865260099139651,0.02903270580222637,0.8158900689327659,0.8158900689327659,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.01717093802618932,0.3823086755707328,-0.02594012264706366,0.01531911668450877,0.01740114651266727,0,0.3719178780946558,0.3719178780946558,0.3719178780946558,0,0,0,0,0,-0.8902496467263311,41.93877551020412,-0.6475150525563834,1.2006294258737362,1.2918570589245215,42.893497295719655,42.893497295719655,Hoosiers,IL,2,1
Ryan Walker,SFG,pitcher,11.337172694124025,NA,NA,NA,NA,NA,NA,NA,NA,63,5,27,68,3.27066,1.18208,0,0,0,0,0,0,0.1226495573299238,0.376727527022255,0.18765195106386476,0.04782337492133099,0.03581201232502449,0.7706644226623991,0.7706644226623991,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.01717093802618932,0.34045006145714896,-0.04525723525657915,0.02448989061444325,0.02418045303546539,0,0.32669223182428914,0.32669223182428914,0.32669223182428914,0,0,0,0,0,-0.8902496467263311,37.34693877551023,-1.1297071129707117,1.9193850346386645,1.7951511941537404,39.04151824460559,39.04151824460559,Big Red Machine,P,2,1
Paul Skenes,PIT,pitcher,37.7384806374022,NA,NA,NA,NA,NA,NA,NA,NA,189,13,0,223,2.84106,1.06715,0,0,0,0,0,0,0.31888884905780185,0,0.6153880159888506,0.17971146208280506,0.1630348280073816,1.2770231551368392,1.2770231551368392,0,0,0,0,0,0,0,0,0,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.17906835370168872,-0.03627746556510604,0.38247882966840674,0.15637797777591733,0.15140326871782248,0,0.8330509642987293,0.8330509642987293,0.8330509642987293,0,0,0,0,0,9.284032030146026,-3.9795918367346976,9.547402796203697,12.256059245652,11.240143360380491,38.34804559564751,38.34804559564751,Melonheads,P,Opt,7
Raisel Iglesias,ATL,pitcher,10.629270057822524,NA,NA,NA,NA,NA,NA,NA,NA,66,5,26,71,3.61422,1.1511,0,0,0,0,0,0,0.1226495573299238,0.3627746556510604,0.19593071361079997,0.03997964952580201,0.04275088550324962,0.7640854616208357,0.7640854616208357,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.01717093802618932,0.32649719008595435,-0.03697847270964394,0.01664616521891427,0.03111932621369052,0,0.3201132707827259,0.3201132707827259,0.3201132707827259,0,0,0,0,0,-0.8902496467263311,35.81632653061228,-0.9230533727931424,1.3046363051725314,2.3102915206688204,37.617951336934155,37.617951336934155,National Pastime,P,2,24
Pete Fairbanks,MIA,pitcher,9.61182808078896,NA,NA,NA,NA,NA,NA,NA,NA,62,4,27,65,3.37955,1.20399,0,0,0,0,0,0,0.09811964586393904,0.376727527022255,0.17937318851692954,0.04405086650598917,0.03176657157854513,0.7300377994876579,0.7300377994876579,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,-0.04170084949217409,0.34045006145714896,-0.05353599780351437,0.02071738219910143,0.02013501228898603,0,0.2860656086495479,0.2860656086495479,0.2860656086495479,0,0,0,0,0,-2.162034856335376,37.34693877551023,-1.336360853148281,1.623716249936739,1.4948186165850237,36.96707793254834,36.96707793254834,NA,NA,NA,NA
