Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary,sgpar_random_delta,sgpar_randomized
Trea Turner,PHI,hitter,28.140965770229364,644,591,167,19,92,73,28,0.282596,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.1772838870115463,1.3640509214998129,0,0,0,0,0,0,1.3640509214998129,0,0,0,0,1,0,0,1,1,0,0,SS,0.24912776719314625,0.24912776719314625,0.06738464590301993,0.04328514161462923,0.10021822295748894,0.0379524774956603,2.872792223478263e-4,0,0,0,0,0,0.24891063078462464,0.18516421690702503,0.31078909591311177,0.19306260291270677,0.17699660778919846,0,0,0,0,0,1.1149231543066669,0,1.1149231543066669,1.1149231543066669,3.8214020408961185,3.0603696098562625,3.1202161188653763,6.549865229110513,5.784796081828349,0,0,0,0,0,22.33664908055662,22.33664908055662,Blue Socks,IL,2,30,0,1.1149231543066669
Marcus Semien,NYM,hitter,13.4323245410387,644,576,140,20,82,75,9,0.242427,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.2404730089701624,0.42226779336020626,0.07425484727411799,0.00156304361346943,1.020474048526509,0,0,0,0,0,0,1.020474048526509,0,0,1,0,0,0,0,1,1,0,0,2B,0.3590039845822357,0.3590039845822357,0.09007539401322052,0.07695136287045197,0.14526012091591095,0.04125269293006554,0.00546441385258677,0,0,0,0,0,0.19183996129533223,0.16352164609971043,0.2770076724442953,0.03300215434405245,-0.00390137023911734,0,0,0,0,0,0.6614700639442731,0,0.6614700639442731,0.6614700639442731,2.94522422488955,2.7277207392197127,2.75551553354345,1.1196350818992336,-0.1275088350839287,0,0,0,0,0,9.420586744468016,9.420586744468016,Blue Socks,2B/SS,1,24,0,0.6614700639442731
Luis Robert Jr.,NYM,hitter,18.35821594069192,567,515,121,21,69,76,29,0.235309,NA,NA,NA,NA,NA,NA,0.23722145751573345,0.2524966594186705,0.42789803060500897,0.23926561899438015,-0.02572996245009766,1.1311518040836954,0,0,0,0,0,0,1.1311518040836954,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.09832657514420257,0.10580812394687142,0.19593225611913567,0.19966303378151723,0.00792188569019585,0,0,0,0,0,0.6076518746819227,0,0.6076518746819227,0.6076518746819227,1.5095593697462568,1.9293634496919916,1.7829806393516432,6.773792245490359,0.25891170386675444,0,0,0,0,0,12.254607408147006,12.254607408147006,Blue Socks,Bench,1,21,0,0.6076518746819227
Dylan Crews,WSN,hitter,17.012043876963208,595,539,131,18,72,68,26,0.243673,NA,NA,NA,NA,NA,NA,0.24753543392946095,0.21642570807314615,0.38285613264658697,0.21451400323634084,0.00643257779578155,1.0677638556813167,0,0,0,0,0,0,1.0677638556813167,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.10864055155793008,0.06973717260134707,0.15089035816071367,0.17491141802347793,0.04008442593607506,0,0,0,0,0,0.5442639262795439,0,0.5442639262795439,0.5442639262795439,1.6679047581811783,1.485831622176591,1.1751463304817649,5.934065934065935,1.310082904941959,0,0,0,0,0,11.57303154984743,11.57303154984743,Blue Socks,Util,2030,21,0,0.5442639262795439
Nolan Arenado,ARI,hitter,10.28306139261282,609,556,141,18,65,77,4,0.253586,NA,NA,NA,NA,NA,NA,0.2234694889640967,0.21642570807314615,0.43352826784981174,0.03300215434405244,0.04742267663926842,0.9538482958703756,0,0,0,0,0,0,0.9538482958703756,0,0,0,1,0,0,1,0,1,0,0,3B,0.4172493965587398,0.4172493965587398,0.10864055155793008,0.09137974340866171,0.1756634020378458,0.03960258521286293,0.0019631143414393,0,0,0,0,0,0.11482893740616663,0.12504596466448442,0.25786486581196594,-0.00660043086881049,0.04545956229782912,0,0,0,0,0,0.5365988993116356,0,0.5365988993116356,0.5365988993116356,1.7629119912421325,2.5392197125256675,2.1071589374155786,-0.2239270163798468,1.4857589710155004,0,0,0,0,0,7.671122595819033,7.671122595819033,Blue Socks,3B,1,10,0,0.5365988993116356
Zack Wheeler,PHI,pitcher,23.224096998816226,NA,NA,NA,NA,NA,NA,NA,NA,157,11,0,171,3.31477,1.1074600000000001,0,0,0,0,0,0,0.26982902612583237,0,0.471889465175307,0.11608777394608662,0.11923225713517065,0.9770385223823966,0.9770385223823966,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.12755553962312077,-0.03627746556510604,0.23097747505949237,0.09697270761046568,0.10915731625842362,0,0.5283855729863964,0.5283855729863964,0.5283855729863964,0,0,0,0,0,6.909448818897644,-4.025229357798171,6.299021657329206,6.832375706708889,7.850657804514532,23.8662746296521,23.8662746296521,Blue Socks,IL,2027,33,0,0.5283855729863964
J.T. Realmuto,PHI,hitter,14.04006608827354,500,454,114,15,56,58,7,0.251445,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.3265537601985595,0.05775377010209177,0.03152972334726786,0.7887195700984551,0,0,0,0,0,0,0.7887195700984551,1,0,0,0,0,0,0,0,1,0,0,C,0.3011983569402915,0.3011983569402915,0.08182421288223848,0.06011825224254059,0.13850383622214765,0.01650107717202622,0.00425097842133855,0,0,0,0,0,0.1107033468406756,0.12023650448508122,0.18804992397641185,0.04125269293006554,0.02727874492592931,0,0,0,0,0,0.4875212131581635,0,0.4875212131581635,0.4875212131581635,1.6995738358681631,1.8517453798767964,2.0261143628995955,1.399543852374041,0.8915536785464936,0,0,0,0,0,7.86853110956509,7.86853110956509,Blue Socks,C,2,13,0,0.4875212131581635
Jhoan Duran,PHI,pitcher,19.455551097872817,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67226,1.0988,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.0718339039331924,0.05471250147985671,0.9346944067537728,0.9346944067537728,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.0294358937591817,0.36835580419953823,-0.00910663880162873,0.05271883759757145,0.04463756060310968,0,0.4860414573577723,0.4860414573577723,0.4860414573577723,0,0,0,0,0,1.594488188976379,40.87155963302758,-0.24834852412409067,3.7143946391026086,3.210359374296641,49.14245331127912,49.14245331127912,Blue Socks,P,2,17,0,0.4860414573577723
Mickey Moniak,COL,hitter,15.602023278244316,483,451,120,21,62,69,9,0.266341,NA,NA,NA,NA,NA,NA,0.21315551255036916,0.2524966594186705,0.38848636989138974,0.07425484727411799,0.08103671227035805,1.0094301014049054,0,0,0,0,0,0,1.0094301014049054,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.07426063017883827,0.10580812394687142,0.15652059540551644,0.03465226206125507,0.11468856041065156,0,0,0,0,0,0.4859301720031327,0,0.4859301720031327,0.4859301720031327,1.1400867967314383,1.5412731006160163,1.7829806393516432,1.1756168359941952,3.748376554675187,0,0,0,0,0,9.38833392736848,9.38833392736848,Blue Socks,OF,2,1,0,0.4859301720031327
Tommy Edman,LAD,hitter,10.11301732302063,497,454,114,15,62,59,10,0.250391,NA,NA,NA,NA,NA,NA,0.21315551255036916,0.1803547567276218,0.33218399744336224,0.08250538586013109,0.02798860346795302,0.8361882560494374,0,0,0,0,0,0,0.8361882560494374,0,0,1,0,0,1,0,1,1,0,0,2B,0.3590039845822357,0.3590039845822357,0.09007539401322052,0.07695136287045197,0.14526012091591095,0.04125269293006554,0.00546441385258677,0,0,0,0,0,0.12308011853714863,0.10340339385716985,0.1869238765274513,0.04125269293006555,0.02252418961536625,0,0,0,0,0,0.4771842714672015,0,0.4771842714672015,0.4771842714672015,1.8895883019900697,1.8406570841889116,1.742458352093652,1.3995438523740416,0.7361601188906014,0,0,0,0,0,7.608407709537276,7.608407709537276,Blue Socks,SS,1,5,0,0.4771842714672015
