season,team_name,abbrev,final_standing,points_for,R,R_pts,R_frac,HR,HR_pts,HR_frac,RBI,RBI_pts,RBI_frac,SB,SB_pts,SB_frac,AVG,AVG_pts,AVG_frac,W,W_pts,W_frac,SV,SV_pts,SV_frac,SO,SO_pts,SO_frac,ERA,ERA_pts,ERA_frac,WHIP,WHIP_pts,WHIP_frac
2021,Westside Marauders,WM,1,99,1045,1,1,298,1,1,914,0.9,0.992399565689468,124,1,1,0.2539659,0.7,0.9636585907810872,81,0.95,1,60,0.75,0.9523809523809523,1353,1,1,3.78838808,0.9,0.9789004536198415,1.21161192,0.7,0.9537688602469346
2021,Melonheads,MELO,2,81,847,0.5,0.8105263157894737,257,0.8,0.8624161073825504,921,1,1,89,0.6,0.717741935483871,0.25683513,0.8,0.9745457143611694,70,0.4,0.8641975308641975,62,0.9,0.9841269841269841,1067,0.3,0.7886178861788617,3.79981025,0.8,0.9759578942132703,1.15559772,1,1
2021,Erie Lakers,ERIE,3,74,827,0.3,0.7913875598086124,249,0.7,0.8355704697986577,859,0.7,0.9326818675352877,93,0.75,0.75,0.25704838,0.9,0.9753548788768941,72,0.55,0.8888888888888888,63,1,1,1163,0.5,0.8595713229859572,3.81802376,0.6,0.9713021822577658,1.21790785,0.4,0.9488383870750156
2021,National Pastime,PAST,4,73.5,857,0.6,0.8200956937799043,246,0.6,0.825503355704698,837,0.5,0.9087947882736156,93,0.75,0.75,0.26354344,1,1,81,0.95,1,31,0.15,0.49206349206349204,1280,0.9,0.9460458240946046,3.88730116,0.4,0.9539921548038743,1.21488272,0.5,0.9512010509129638
2021,Hoosiers,HOOS,5,73,922,0.8,0.8822966507177034,270,0.9,0.9060402684563759,856,0.6,0.9294245385450597,71,0.2,0.5725806451612904,0.25358099,0.6,0.9621980725454596,78,0.8,0.9629629629629629,32,0.3,0.5079365079365079,1268,0.8,0.9371766444937176,3.84396355,0.5,0.9647476521987313,1.2035877,0.8,0.9601275586315813
2021,Big Red Machine,BIGR,6,58.5,753,0.1,0.7205741626794259,206,0.2,0.6912751677852349,702,0.1,0.762214983713355,106,0.9,0.8548387096774194,0.25189538,0.3,0.9558021250690208,72,0.55,0.8888888888888888,35,0.5,0.5555555555555556,1165,0.6,0.861049519586105,3.81300586,0.7,0.9725804119272977,1.19062238,0.9,0.9705828979965924
2021,Bula Black Sox,BULA,7,53.5,838,0.4,0.8019138755980861,221,0.4,0.7416107382550335,806,0.3,0.8751357220412594,81,0.4,0.6532258064516129,0.2528183,0.5,0.9593040904376143,64,0.2,0.7901234567901234,31,0.15,0.49206349206349204,1090,0.4,0.8056171470805618,3.70845481,1,1,1.21379981,0.6,0.9520496794277797
2021,Louisville Sluggers,LVSL,8,49.5,936,0.9,0.8956937799043062,240,0.5,0.8053691275167785,879,0.8,0.9543973941368078,78,0.3,0.6290322580645161,0.24894451,0.2,0.9446052233362363,51,0.1,0.6296296296296297,60,0.75,0.9523809523809523,1057,0.2,0.7812269031781227,4.44800264,0,0.8337348491321939,1.35292176,0,0.854149703379743
2021,Free Birds,FREE,9,49,858,0.7,0.8210526315789474,197,0.1,0.6610738255033557,768,0.2,0.8338762214983714,84,0.5,0.6774193548387096,0.24185757,0,0.9177142485504476,73,0.7,0.9012345679012346,59,0.6,0.9365079365079365,1254,0.7,0.926829268292683,4.33060556,0.1,0.8563363156999225,1.28477905,0.2,0.8994524934073295
2021,Pokey Reese Experience,PRE,10,31,766,0.2,0.7330143540669857,220,0.3,0.738255033557047,814,0.4,0.8838219326818675,62,0.1,0.5,0.24694334,0.1,0.9370119020985687,65,0.3,0.8024691358024691,23,0,0.36507936507936506,1043,0.1,0.770879526977088,4.14016173,0.2,0.8957270396294398,1.22551662,0.3,0.9429474077634296
2021,Florida Funk,FUNK,11,18,533,0,0.5100478468899522,147,0,0.49328859060402686,568,0,0.6167209554831705,53,0,0.4274193548387097,0.25233415,0.4,0.9574670118899562,39,0,0.48148148148148145,34,0.4,0.5396825396825397,871,0,0.6437546193643755,4.12016632,0.3,0.9000740557483127,1.2997921,0.1,0.8890635048481985
