playerid,xMLBAMID,Team,PlayerName,auction_type,fg_auction_dollars
19755,660271,LAD,Shohei Ohtani,bat,47.736566976856594
20123,665742,NYM,Juan Soto,bat,39.28784449577553
33677,694973,PIT,Paul Skenes,pit,38.034262285935114
18401,660670,ATL,Ronald Acuna Jr.,bat,37.94156987027011
18345,663656,LAD,Kyle Tucker,bat,34.38905391745959
19709,665487,SDP,Fernando Tatis Jr.,bat,33.419128812328836
26668,682829,CIN,Elly De La Cruz,bat,33.115607141249065
25878,682998,ARI,Corbin Carroll,bat,32.040574277744305
28806,694192,MIL,Jackson Chourio,bat,30.09646393349794
27769,691718,CHC,Pete Crow-Armstrong,bat,29.865241902217075
17995,657277,SFG,Logan Webb,pit,28.83101615079319
10603,519242,ATL,Chris Sale,pit,28.296783247383686
16252,607208,PHI,Trea Turner,bat,28.140965770229364
11579,547180,PHI,Bryce Harper,bat,27.054367149962772
20778,650911,PHI,Cristopher Sanchez,pit,26.63057308972391
29715,696100,COL,Hunter Goodman,bat,25.731159651809445
29518,695578,WSN,James Wood,bat,25.679059771083875
5361,518692,LAD,Freddie Freeman,bat,25.61125238117317
12916,596019,NYM,Francisco Lindor,bat,25.561568623273224
13611,605141,LAD,Mookie Betts,bat,25.291262734135532
20503,661388,MIL,William Contreras,bat,24.885481143142712
16478,656941,PHI,Kyle Schwarber,bat,24.438170349048534
13613,606466,ARI,Ketel Marte,bat,24.195854464580034
19612,666182,NYM,Bo Bichette,bat,23.982982104427865
33825,808967,LAD,Yoshinobu Yamamoto,pit,23.23211005559589
10310,554430,PHI,Zack Wheeler,pit,23.224096998816222
25931,671739,ATL,Michael Harris II,bat,23.147356415253682
31539,686948,ATL,Drake Baldwin,bat,22.81671467946948
22799,672695,ARI,Geraldo Perdomo,bat,22.26660076148332
25768,682928,WSN,CJ Abrams,bat,22.25140003247086
31757,695243,SDP,Mason Miller,pit,22.247695336459255
29490,701538,SDP,Jackson Merrill,bat,22.21386300673932
