Player,...2,...3,Contract,Salary,billikenTeam
CJ Abrams,NA,NA,2027,16,MELONHEADS
Aidan Miller,NA,NA,2,1,MELONHEADS
Ramon Laureano,NA,NA,2,1,MELONHEADS
Seiya Suzuki,NA,NA,2,21,MELONHEADS
Carlos Santana,NA,NA,2,9,MELONHEADS
Shota Imanaga,NA,NA,2027,18,MELONHEADS
Pete Crow-Armstrong,NA,NA,2027,11,MELONHEADS
Zack Littell,NA,NA,2,2,MELONHEADS
Jacob Misiorowski,NA,NA,2,1,MELONHEADS
Willi Castro,NA,NA,2,17,MELONHEADS
William Contreras,NA,NA,2026,11,MELONHEADS
Kyle Tucker,NA,NA,2,40,MELONHEADS
Noelvi Marte,NA,NA,2028,26,MELONHEADS
Paul Skenes,NA,NA,2028,17,MELONHEADS
Tanner Scott,NA,NA,2026,6,MELONHEADS
Francisco Lindor,NA,NA,2,33,NATIONAL PASTIME
Ivan Herrera,NA,NA,2028,12,NATIONAL PASTIME
Matthew Boyd,NA,NA,2,7,NATIONAL PASTIME
Michael Harris II,NA,NA,2028,21,NATIONAL PASTIME
Nick Pivetta,NA,NA,2,13,NATIONAL PASTIME
Mark Vientos,NA,NA,2026,1,NATIONAL PASTIME
Willy Adames,NA,NA,2026,27,NATIONAL PASTIME
Alec Burleson,NA,NA,2028,11,NATIONAL PASTIME
Freddy Peralta,NA,NA,2026,24,NATIONAL PASTIME
Matthew Liberatore,NA,NA,2,1,NATIONAL PASTIME
Nolan Gorman,NA,NA,2,6,NATIONAL PASTIME
Dennis Santana,NA,NA,2,3,NATIONAL PASTIME
Brice Turang,NA,NA,2029,22,NATIONAL PASTIME
Spencer Schwellenbach,NA,NA,2028,11,NATIONAL PASTIME
Tyler Stephenson,NA,NA,2,12,NATIONAL PASTIME
Francisco Alvarez,NA,NA,2027,11,WESTSIDE MARAUDERS
Will Smith,NA,NA,2,15,WESTSIDE MARAUDERS
Jordan Lawlar,NA,NA,2,2,WESTSIDE MARAUDERS
Masyn Winn,NA,NA,2026,11,WESTSIDE MARAUDERS
Sal Stewart,NA,NA,2,1,WESTSIDE MARAUDERS
Ronald Acuna Jr.,NA,NA,2026,46,WESTSIDE MARAUDERS
Oneil Cruz,NA,NA,2026,22,WESTSIDE MARAUDERS
Brenton Doyle,NA,NA,2,10,WESTSIDE MARAUDERS
Andy Pages,NA,NA,2,3,WESTSIDE MARAUDERS
Chase Burns,NA,NA,2,1,WESTSIDE MARAUDERS
Hunter Greene,NA,NA,2028,24,WESTSIDE MARAUDERS
Mason Miller,NA,NA,2,21,WESTSIDE MARAUDERS
Chris Sale,NA,NA,2027,18,WESTSIDE MARAUDERS
Abner Uribe,NA,NA,2,1,WESTSIDE MARAUDERS
Brady House,NA,NA,2,1,WESTSIDE MARAUDERS
Teoscar Hernandez,NA,NA,2027,25,FREE BIRDS
Nico Hoerner,NA,NA,2026,23,FREE BIRDS
Andrew Abbott,NA,NA,2,2,FREE BIRDS
Bryan Reynolds,NA,NA,2026,22,FREE BIRDS
Reynaldo Lopez,NA,NA,2027,9,FREE BIRDS
Drake Baldwin,NA,NA,2,1,FREE BIRDS
Robbie Ray,NA,NA,2027,10,FREE BIRDS
Spencer Strider,NA,NA,2,17,FREE BIRDS
Jason Adam,NA,NA,2,5,FREE BIRDS
TJ Friedl,NA,NA,2026,11,FREE BIRDS
Max Muncy,NA,NA,2026,19,FREE BIRDS
Mitch Keller,NA,NA,2,6,FREE BIRDS
Hurston Waldrep,NA,NA,2,1,FREE BIRDS
Matt Olson,NA,NA,2027,38,FREE BIRDS
Ezequiel Tovar,NA,NA,2027,11,ERIE LAKERS
James Wood,NA,NA,2029,17,ERIE LAKERS
Juan Soto,NA,NA,2,37,ERIE LAKERS
Brandon Marsh,NA,NA,2,8,ERIE LAKERS
Daylen Lile,NA,NA,2,1,ERIE LAKERS
Mookie Betts,NA,NA,2026,35,ERIE LAKERS
Brady Singer,NA,NA,2,2,ERIE LAKERS
Justin Steele,NA,NA,2027,16,ERIE LAKERS
Ryne Nelson,NA,NA,2,2,ERIE LAKERS
Trevor Megill,NA,NA,2028,11,ERIE LAKERS
Hunter Goodman,NA,NA,2,7,LOUISVILLE SLUGGERS
Xavier Edwards,NA,NA,2026,1,LOUISVILLE SLUGGERS
Jackson Chourio,NA,NA,2029,30,LOUISVILLE SLUGGERS
Jackson Merrill,NA,NA,2028,17,LOUISVILLE SLUGGERS
Brandon Lowe,NA,NA,1,15,LOUISVILLE SLUGGERS
Brett Baty,NA,NA,2,2,LOUISVILLE SLUGGERS
Shohei Ohtani,NA,NA,2028,44,LOUISVILLE SLUGGERS
Edwin Diaz,NA,NA,2027,33,LOUISVILLE SLUGGERS
Jesus Luzardo,NA,NA,2027,19,LOUISVILLE SLUGGERS
Emilio Pagan,NA,NA,2,1,LOUISVILLE SLUGGERS
Cristopher Sanchez,NA,NA,2026,6,LOUISVILLE SLUGGERS
Patrick Bailey,NA,NA,2,6,FREE AT LAST
Luis Torrens,NA,NA,2,1,FREE AT LAST
Hyeseong Kim,NA,NA,2,7,FREE AT LAST
Matt Chapman,NA,NA,2027,23,FREE AT LAST
Gerardo Perdomo,NA,NA,2,6,FREE AT LAST
Victor Scott II,NA,NA,2,5,FREE AT LAST
Gavin Sheets,NA,NA,2,1,FREE AT LAST
Ian Happ,NA,NA,2027,23,FREE AT LAST
Kyle Schwarber,NA,NA,2,24,FREE AT LAST
Yoshinobu Yamamoto,NA,NA,2027,31,FREE AT LAST
Roki Sasaki,NA,NA,2,14,FREE AT LAST
Ben Brown,NA,NA,2,1,FREE AT LAST
Miles Mikolas,NA,NA,2,1,FREE AT LAST
Colin Rea,NA,NA,2,1,FREE AT LAST
Andrew Painter,NA,NA,2027,6,FREE AT LAST
Agustin Ramirez,NA,NA,2,2,HOOSIERS
Matt McLain,NA,NA,2028,16,HOOSIERS
Logan Webb,NA,NA,2026,16,HOOSIERS
Nolan McLean,NA,NA,2,1,HOOSIERS
Rafael Devers,NA,NA,2,30,HOOSIERS
Daniel Palencia,NA,NA,2,1,HOOSIERS
Corbin Carroll,NA,NA,2029,26,HOOSIERS
Elly De La Cruz,NA,NA,2030,30,HOOSIERS
Jakob Marsee,NA,NA,2,1,HOOSIERS
Manny Machado,NA,NA,2026,25,HOOSIERS
JJ Wetherholt,NA,NA,2,1,HOOSIERS
Brandon Woodruff,NA,NA,2,12,HOOSIERS
Michael Busch,NA,NA,2027,11,BIG RED MACHINE
Ketel Marte,NA,NA,2,29,BIG RED MACHINE
Dansby Swanson,NA,NA,2,19,BIG RED MACHINE
Kyle Stowers,NA,NA,2,3,BIG RED MACHINE
Fernando Tatis Jr.,NA,NA,2026,31,BIG RED MACHINE
Marcell Ozuna,NA,NA,2026,22,BIG RED MACHINE
Michael King,NA,NA,2028,12,BIG RED MACHINE
Robert Suarez,NA,NA,2026,9,BIG RED MACHINE
Bubba Chandler,NA,NA,2,4,BIG RED MACHINE
Otto Lopez,NA,NA,2,1,BIG RED MACHINE
Braxton Ashcraft,NA,NA,2,1,BIG RED MACHINE
Cade Horton,NA,NA,2,1,BIG RED MACHINE
Ryan Walker,NA,NA,2,1,BIG RED MACHINE
J.T. Realmuto,NA,NA,2,13,BLUE SOCKS
Bryce Eldridge,NA,NA,2,1,BLUE SOCKS
Marcus Semien,NA,NA,1,24,BLUE SOCKS
Connor Norby,NA,NA,2026,1,BLUE SOCKS
Trea Turner,NA,NA,2,30,BLUE SOCKS
Dylan Crews,NA,NA,2030,21,BLUE SOCKS
Luis Robert Jr.,NA,NA,1,21,BLUE SOCKS
Mickey Moniak,NA,NA,2,1,BLUE SOCKS
Harrison Bader,NA,NA,2,2,BLUE SOCKS
Jhoan Duran,NA,NA,2,17,BLUE SOCKS
Aaron Nola,NA,NA,2,20,BLUE SOCKS
Eury Perez,NA,NA,2026,1,BLUE SOCKS
Emmet Sheehan,NA,NA,2,1,BLUE SOCKS
Zack Wheeler,NA,NA,2027,33,BLUE SOCKS
Jeremiah Estrada,NA,NA,2,4,BLUE SOCKS
