Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
DET,Tigers,14,7,32,32,0,0,NA,200,790,156,65,60,19,245,40,NA,7,2.67136,0.981371,10.9987,1.81358,6.06462,0.84838,0.30999,0.0511144,0.25887521356344223,NA,0.210393,0.28682,0.775166,2.62332,1189.6999999999998,5.948499999999999,1102,5.51,6.33802,6.18384,22,6.809999942779541,6,AL,Tarik Skubal,669373,22267,22267,NA
BOS,Red Sox,15,8,32,32,0,0,NA,197,796,162,69,64,20,245,52,NA,5,2.90058,1.08318,11.1845,2.36141,4.73636,0.894352,0.307722,0.0649701,0.2427518516778946,NA,0.218898,0.299647,0.774844,2.80783,1109.6000000000001,5.632487309644671,1044,5.299492385786802,5.79881,5.89967,21,11.739999771118164,3,AL,Garrett Crochet,676979,27463,27463,NA
PIT,Pirates,13,8,32,32,0,0,NA,189,761,152,65,60,17,223,49,NA,6,2.84106,1.06715,10.6206,2.35198,4.51561,0.808429,0.293285,0.0649491,0.22833550721406937,NA,0.216053,0.291074,0.769054,2.82445,1075.3000000000002,5.689417989417991,1005,5.317460317460317,5.41287,5.83945,21,10.350000381469727,27,NL,Paul Skenes,694973,33677,33677,37.7384806374022
PHI,Phillies,12,8,32,32,0,0,NA,200,820,183,78,71,18,193,49,NA,7,3.21333,1.16077,8.68886,2.2094,3.93267,0.802798,0.23531,0.0598347,0.17547546327114105,NA,0.239374,0.29833,0.743061,3.20137,1000.8,5.004,984,4.92,4.78544,5.15763,20,25.93000030517578,26,NL,Cristopher Sánchez,650911,20778,20778,26.465844420186038
SFG,Giants,14,9,32,32,0,0,NA,202,836,191,79,72,16,191,45,NA,6,3.18557,1.16831,8.49747,2.00797,4.23187,0.711908,0.228464,0.0539865,0.1744772121310234,NA,0.24349,0.302978,0.736234,3.02738,1030.4,5.100990099009901,1031,5.103960396039604,4.53361,4.54127,20,61.599998474121094,30,NL,Logan Webb,657277,17995,17995,27.72133080179324
KCR,Royals,11,8,29,29,0,0,NA,163,674,132,67,62,17,202,58,NA,5,3.4033,1.16456,11.1472,3.19666,3.48712,0.955779,0.299183,0.0857966,0.2133866772055626,NA,0.215525,0.291703,0.741961,3.192,868.9000000000001,5.330674846625768,809,4.96319018404908,4.06372,3.70939,17,45.09000015258789,7,AL,Cole Ragans,666142,21846,21846,NA
ATL,Braves,12,6,28,28,0,0,NA,165,677,138,62,58,18,200,44,NA,10,3.1503,1.10333,10.9064,2.40903,4.52728,0.953919,0.296232,0.0654326,0.23079929500818253,NA,0.221918,0.29809,0.759995,3.06487,878.8,5.326060606060606,829,5.024242424242424,3.98766,4.38289,18,39.439998626708984,16,NL,Chris Sale,519242,10603,10603,28.086041015437743
NYY,Yankees,14,9,31,31,0,0,NA,189,779,169,76,70,17,176,54,NA,7,3.32434,1.17982,8.37269,2.57818,3.24752,0.812211,0.22524,0.0693575,0.15588264167308807,NA,0.234682,0.288254,0.73671,3.4185,919.1000000000003,4.862962962962964,893,4.724867724867725,3.90626,3.96213,19,53.2599983215332,9,AL,Max Fried,608331,13743,13743,NA
TOR,Blue Jays,12,9,32,32,0,0,NA,183,765,152,78,72,21,214,69,NA,5,3.5718,1.20985,10.5316,3.38952,3.1071,1.05402,0.279228,0.0898678,0.1893600970506668,NA,0.220084,0.286597,0.747314,3.53149,906.7,4.954644808743169,848,4.633879781420765,3.87369,3.38907,18,79.470001220703125,14,AL,Dylan Cease,656302,18525,18525,NA
CIN,Reds,11,9,31,31,0,0,NA,180,735,142,80,75,24,212,58,NA,13,3.73339,1.11403,10.6201,2.92088,3.63591,1.21977,0.288411,0.0793231,0.20908833295106888,NA,0.213811,0.275127,0.725174,3.73376,878.5999999999999,4.88111111111111,799,4.438888888888889,3.85147,3.76468,17,42.4900016784668,18,NL,Hunter Greene,668881,22182,22182,22.5126268782777
HOU,Astros,13,8,31,31,0,0,NA,183,759,157,74,68,19,197,60,NA,7,3.34566,1.18879,9.6664,2.96635,3.25869,0.939784,0.259132,0.0795203,0.17961140722036362,NA,0.227433,0.290372,0.75169299999999994,3.44542,905.3,4.946994535519125,861,4.704918032786885,3.78016,3.98734,19,38,21,AL,Hunter Brown,686613,25880,25880,NA
BOS,Red Sox,12,10,31,31,0,0,NA,178,746,169,80,74,21,186,47,NA,5,3.71586,1.21446,9.38232,2.3865,3.93142,1.0792,0.249291,0.06341,0.18588104099035263,NA,0.244162,0.304296,0.733286,3.49042,835.5000000000001,4.693820224719102,833,4.679775280898877,3.71255,3.37465,17,132.19000244140625,3,AL,Sonny Gray,543243,12768,12768,NA
TEX,Rangers,11,8,29,29,0,0,NA,169,679,143,71,66,23,188,40,NA,4,3.5016,1.08274,10.0246,2.11108,4.74855,1.22894,0.276553,0.0582394,0.21831314638257027,NA,0.224947,0.282374,0.741874,3.45377,839.9000000000003,4.969822485207103,790,4.674556213017752,3.6765,3.30797,17,47.90999984741211,13,AL,Jacob deGrom,594798,10954,10954,NA
