billikenTeam,slot,player,contract,salary
NA,NA,NA,NA,NA
NA,Melonheads,NA,NA,NA
Melonheads,SLOT,PLAYER,CONTRACT,NA
Melonheads,C,William Contreras,2026,11
Melonheads,C,Danny Jansen,2,6
Melonheads,1B,Carlos Santana,2,9
Melonheads,2B,Enrique Hernandez,2,1
Melonheads,3B,Noelvi Marte,Opt,16
Melonheads,SS,C.J. Abrams,2027,16
Melonheads,2B/SS,NA,NA,NA
Melonheads,1B/3B,Eric Wagaman,2,1
Melonheads,OF,Willi Castro,2,17
Melonheads,OF,Griffin Conine,2,1
Melonheads,OF,Pete Crow-Armstrong,2027,11
Melonheads,OF,Brandon Nimmo,2,13
Melonheads,OF,Seiya Suzuki,2,21
Melonheads,Util,Ramon Laureano,2,1
Melonheads,Bench,Kyle Tucker,2,40
Melonheads,Bench,Aidan Miller,2,1
Melonheads,IL,Jesse Winker,2,3
Melonheads,NA,NA,NA,NA
Melonheads,P,Ronny Henriquez,2,1
Melonheads,P,Shota Imanaga,Opt,13
Melonheads,P,Zack Littell,2,2
Melonheads,P,Jacob Misiorowski,2,1
Melonheads,P,Tanner Scott,2026,6
Melonheads,P,Paul Skenes,Opt,7
Melonheads,P,NA,NA,NA
Melonheads,NA,NA,NA,NA
Melonheads,P,NA,NA,NA
Melonheads,IL,Anthony Bender,2,1
Melonheads,IL,Michael Kopech,Opt,2
Melonheads,IL,Shelby Miller,2,1
Melonheads,NA,NA,NA,NA
Melonheads,Free Birds,NA,NA,NA
Free Birds,SLOT,PLAYER,NA,NA
Free Birds,C,Drake Baldwin,2,1
Free Birds,C,Liam Hicks,2,1
Free Birds,1B,Matt Olson,2027,38
Free Birds,2B,Nico Hoerner,2026,23
Free Birds,3B,Max Muncy,Opt,19
Free Birds,SS,Ha-Seong Kim,2,10
Free Birds,2B/SS,Matt Shaw,2,12
Free Birds,1B/3B,Miguel Andujar,2,1
Free Birds,OF,T.J. Friedl,2026,11
Free Birds,OF,Teoscar Hernandez,Opt,20
Free Birds,OF,NA,NA,NA
Free Birds,OF,Bryan Reynolds,Opt,22
Free Birds,OF,Alek Thomas,2,1
Free Birds,Util,Tommy Pham,2,6
Free Birds,Bench,Andrew McCutchen,2,1
