billikenTeam,slot,player,team,2021eligibility,contract,salary
NA,NA,NA,NA,NA,,
NA,Melonheads,NA,NA,NA,,
Melonheads,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Melonheads,C,William Contreras,NA,C,,
Melonheads,C,Danny Jansen,NA,C,,
Melonheads,1B,Carlos Santana,LAD,1B,,
Melonheads,2B,Enrique Hernandez,NA,"SS, 2B, 3B",,
Melonheads,3B,Noelvi Marte,NA,NA,,
Melonheads,SS,C.J. Abrams,SDG,SS,,
Melonheads,2B/SS,NA,NA,SS,,
Melonheads,1B/3B,Eric Wagaman,NA,NA,,
Melonheads,OF,Willi Castro,NA,OF,,
Melonheads,OF,Griffin Conine,NA,"OF, 1B",,
Melonheads,OF,Pete Crow-Armstrong,CIN,OF,,
Melonheads,OF,Brandon Nimmo,NA,OF,,
Melonheads,OF,Seiya Suzuki,NA,OF,,
Melonheads,Util,Ramon Laureano,NA,SS,,
Melonheads,Bench,Kyle Tucker,NA,OF,,
Melonheads,Bench,NA,NA,NA,,
Melonheads,IL,Jesse Winker,NA,NA,,
Melonheads,NA,NA,NA,NA,,
Melonheads,P,Ronny Henriquez,NA,NA,,
Melonheads,P,Shota Imanaga,ATL,SP,,
Melonheads,P,Zack Littell,LAD,SP,,
Melonheads,P,Jacob Misiorowski,NA,RP,,
Melonheads,P,Tanner Scott,PHI,"RP, SP",,
Melonheads,P,Paul Skenes,ARZ,RP,,
Melonheads,P,NA,NA,SP,,
Melonheads,P,Yoshinobu Yamamoto,STL,SP,,
Melonheads,P,NA,NA,RP,,
Melonheads,IL,Anthony Bender,NA,NA,,
Melonheads,IL,Michael Kopech,NA,NA,,
Melonheads,IL,Shelby Miller,NA,NA,,
Melonheads,IL,Zach Wheeler,NA,NA,,
Melonheads,NA,NA,NA,NA,,
Melonheads,Free Birds,NA,NA,NA,,
Free Birds,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Free Birds,C,Drake Baldwin,NA,NA,,
Free Birds,C,Liam Hicks,NA,NA,,
Free Birds,1B,Matt Olson,NA,NA,,
Free Birds,2B,Nico Hoerner,NA,NA,,
Free Birds,3B,Max Muncy,NA,NA,,
Free Birds,SS,Ha-Seong Kim,NA,NA,,
