Player,Salary,Billiken Team
Shohei Ohtani,45,LOUISVILLE SLUGGERS
Ronald Acuna Jr.,40,WESTSIDE MARAUDERS
Juan Soto,39,ERIE LAKERS
Paul Skenes,35,MELONHEADS
Elly De La Cruz,33,HOOSIERS
Kyle Tucker,32,MELONHEADS
Fernando Tatis Jr.,31,BIG RED MACHINE
Rafael Devers,30,HOOSIERS
Cristopher Sanchez,30,LOUISVILLE SLUGGERS
Yoshinobu Yamamoto,29,FREE AT LAST
Trea Turner,29,BLUE SOCKS
Corbin Carroll,29,HOOSIERS
Jackson Chourio,28,LOUISVILLE SLUGGERS
Kyle Schwarber,27,FREE AT LAST
Bryce Harper,27,Big Red Machine
Chris Sale,27,WESTSIDE MARAUDERS
Ketel Marte,27,BIG RED MACHINE
Freddie Freeman,26,Blue Socks
Pete Crow-Armstrong,26,MELONHEADS
Matt Olson,25,FREE BIRDS
James Wood,25,ERIE LAKERS
Hunter Greene,25,WESTSIDE MARAUDERS
Oneil Cruz,25,WESTSIDE MARAUDERS
Francisco Lindor,25,NATIONAL PASTIME
Brice Turang,24,NATIONAL PASTIME
Mason Miller,24,WESTSIDE MARAUDERS
Jhoan Duran,24,BLUE SOCKS
Logan Webb,24,HOOSIERS
Edwin Diaz,24,LOUISVILLE SLUGGERS
Mookie Betts,23,ERIE LAKERS
Manny Machado,23,HOOSIERS
Jackson Merrill,22,LOUISVILLE SLUGGERS
William Contreras,22,MELONHEADS
Eugenio Suárez,21,Melonheads
Gerardo Perdomo,21,FREE AT LAST
Freddy Peralta,21,NATIONAL PASTIME
Austin Riley,20,Big Red Machine
Hunter Goodman,20,LOUISVILLE SLUGGERS
Jesus Luzardo,20,LOUISVILLE SLUGGERS
Seiya Suzuki,20,MELONHEADS
Dansby Swanson,20,BIG RED MACHINE
Michael Busch,20,BIG RED MACHINE
Devin Williams,20,Free At Last
CJ Abrams,20,MELONHEADS
Drake Baldwin,20,FREE BIRDS
Luis Robert Jr.,19,BLUE SOCKS
Nico Hoerner,19,FREE BIRDS
Eury Perez,19,BLUE SOCKS
Teoscar Hernandez,19,FREE BIRDS
Bo Bichette,19,Blue Socks
Emmet Sheehan,19,BLUE SOCKS
Alec Burleson,19,NATIONAL PASTIME
Will Smith,19,WESTSIDE MARAUDERS
Michael Harris II,19,NATIONAL PASTIME
Nick Pivetta,18,NATIONAL PASTIME
Alec Bohm,18,#N/A
Matt Chapman,18,FREE AT LAST
Alex Bregman,18,Erie Lakers
Andy Pages,18,WESTSIDE MARAUDERS
Jakob Marsee,17,HOOSIERS
Chase Burns,17,WESTSIDE MARAUDERS
Brandon Woodruff,17,HOOSIERS
Ezequiel Tovar,17,ERIE LAKERS
Brenton Doyle,17,WESTSIDE MARAUDERS
Ivan Herrera,17,NATIONAL PASTIME
Agustin Ramirez,17,HOOSIERS
Michael King,17,BIG RED MACHINE
Willy Adames,17,NATIONAL PASTIME
Bryson Stott,17,Free Birds
Kyle Stowers,17,BIG RED MACHINE
Gabriel Moreno,16,#N/A
Xavier Edwards,16,LOUISVILLE SLUGGERS
Christian Yelich,16,Free Birds
Tyler Glasnow,16,Big Red Machine
Jorge Polanco,16,#N/A
Brandon Lowe,16,LOUISVILLE SLUGGERS
Nolan McLean,16,HOOSIERS
Francisco Alvarez,16,WESTSIDE MARAUDERS
Otto Lopez,16,BIG RED MACHINE
Noelvi Marte,16,MELONHEADS
Nick Lodolo,16,Free At Last
Jacob Misiorowski,16,MELONHEADS
Spencer Strider,16,FREE BIRDS
Emilio Pagan,16,LOUISVILLE SLUGGERS
Xander Bogaerts,15,Free Birds
Adolis Garcia,15,Blue Socks
Sal Stewart,15,WESTSIDE MARAUDERS
Shota Imanaga,15,MELONHEADS
Matthew Boyd,15,NATIONAL PASTIME
Raisel Iglesias,15,National Pastime
Zack Wheeler,15,BLUE SOCKS
Willi Castro,15,MELONHEADS
Luis Arraez,15,#N/A
Daniel Palencia,15,HOOSIERS
Dylan Crews,15,BLUE SOCKS
Max Muncy,15,FREE BIRDS
Trevor Megill,14,ERIE LAKERS
Jurickson Profar,14,#N/A
Luis Garcia Jr.,14,Westside Marauders
Bryan Reynolds,14,FREE BIRDS
Ozzie Albies,14,Louisville Sluggers
J.T. Realmuto,14,BLUE SOCKS
Sal Frelick,14,National Pastime
Blake Snell,13,Westside Marauders
Ramon Laureano,13,MELONHEADS
Ryan Walker,13,BIG RED MACHINE
Ian Happ,13,FREE AT LAST
Daylen Lile,13,ERIE LAKERS
Konnor Griffin,13,Westside Marauders
