team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,270,11.18217451368842,7666,6827,1734,267,970,950,155,0.2539915043210781,1355,85,32,1355,584.8604666666666,1642.7983460000003,3.8846820664206643,1.2123973033210333,9,8,9,7,4,10,5,10,6,9,37,40,77,1,1
NATIONAL PASTIME,23,263,10.573211549610432,7811,7029,1796,258,945,947,151,0.2555128752311851,1204,77,52,1204,517.7877544444444,1489.6867600000003,3.870506470099668,1.2372813621262462,7,7,7,6,6,9,8,7,7,7,33,38,71,2,1
LOUISVILLE SLUGGERS,23,207,10.802175642530415,7746,6946,1785,278,1004,976,163,0.2569824359343507,1067,64,77,1051,470.5067544444445,1358.6439899999998,3.9686605342080603,1.2733308247422679,10,10,10,8,8,5,10,3,4,2,46,24,70,3,1
HOOSIERS,23,241,10.538662261541296,7753,6889,1736,252,978,949,204,0.2519959355494266,1233,75,43,1133,508.25128333333333,1547.984,3.709863381995134,1.2554614760746148,6,9,8,10,2,7,6,4,10,5,35,32,67,4,1
MELONHEADS,23,233,9.837381187700538,7293,6515,1650,234,905,881,186,0.25326170376055257,1218,75,30,1221,517.8865555555557,1482.64835,3.826747947454845,1.2172810755336616,4,3,3,9,3,7,4,8,8,8,22,35,57,5,1
BIG RED MACHINE,23,212,9.839023882091325,7472,6654,1692,249,936,909,145,0.25428313796212804,1187,72,59,1134,518.9483577777778,1492.13327,3.9347390227464194,1.2570625695029487,5,6,5,4,5,6,9,5,5,4,25,29,54,6,1
FREE BIRDS,23,251,9.188019349230483,7466,6581,1685,229,913,884,113,0.256040115483969,1234,77,30,1237,546.3391277777779,1540.85972,3.984645178282011,1.2486707617504051,2,4,4,2,7,9,4,9,3,6,19,31,50,7,1
ERIE LAKERS,23,198,8.369855917769662,7410,6561,1699,261,945,931,120,0.2589544276787075,964,54,49,897,448.98434444444445,1269.6813699999998,4.19176255186722,1.3170968568464727,8,7,6,3,10,4,7,2,1,1,34,15,49,8,1
BLUE SOCKS,16,270,8.629001510868438,6450,5812,1494,204,800,788,150,0.25705437026841016,699,47,29,724,289.73859111111113,831.2363399999999,3.730539799713877,1.1891793133047208,1,2,1,5,9,3,3,1,9,10,18,26,44,9,1
FREE AT LAST,23,243,8.381045838592177,7459,6563,1637,233,921,873,151,0.24942861496266952,1251,76,0,1178,565.4930755555556,1577.5195399999998,4.068295507593926,1.2610068265387688,3,5,2,6,1,8,2,6,2,3,17,21,38,10,1
NATIONAL PASTIME,23,269,10.588833575326637,7702,6915,1797,241,935,922,144,0.2598698481561822,1260,80,52,1230,534.3429288888889,1556.51265,3.8167352063492066,1.2353275,5,6,8,5,8,10,8,7,9,6,32,40,72,1,2
WESTSIDE MARAUDERS,22,270,11.11616562201779,7260,6512,1684,242,912,896,132,0.2585995085995086,1265,80,59,1306,538.9796522222223,1534.525486,3.8346378418972336,1.2130636252964426,6,4,3,4,7,10,9,10,8,9,24,46,70,2,2
LOUISVILLE SLUGGERS,23,211,10.700761534121119,7452,6692,1740,252,957,915,176,0.26001195457262405,1017,62,85,1081,435.6365222222223,1248.9377800000002,3.85519046214356,1.2280607472959688,7,8,6,8,9,4,10,4,4,7,38,29,67,3,2
HOOSIERS,23,223,10.397216635349972,7979,7079,1766,268,1009,980,201,0.24947026416160475,1242,76,16,1138,529.9294866666667,1588.2997400000002,3.840068743961353,1.2788242673107892,10,10,10,10,3,7,3,5,5,3,43,23,66,4,2
BIG RED MACHINE,23,207,9.747732609851402,7448,6591,1639,265,937,917,126,0.24867243210438478,1195,72,59,1158,509.2267666666668,1509.0820500000002,3.8351806694560677,1.262830167364017,9,7,7,2,1,6,9,6,7,4,26,32,58,5,2
MELONHEADS,23,232,9.822430056978568,7164,6390,1613,241,903,883,192,0.25242566510172143,1263,77,19,1262,538.3685777777778,1539.8295699999999,3.8363556611243066,1.2191841409342834,5,3,2,9,4,8,4,8,6,8,23,34,57,6,2
FREE BIRDS,23,251,9.381851302670755,7396,6563,1661,237,893,899,131,0.25308547920158464,1290,79,30,1273,578.5974111111111,1619.2295700000002,4.0367261240310075,1.2552167209302327,4,2,4,3,5,9,6,9,3,5,18,32,50,7,2
ERIE LAKERS,23,202,8.392294724355658,7299,6488,1695,255,927,923,119,0.2612515413070284,1026,60,38,931,486.92365555555557,1335.64008,4.271260136452241,1.3017934502923976,8,5,9,1,10,3,7,2,1,1,33,14,47,8,2
