team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
LOUISVILLE SLUGGERS,50,22,48,1.82,72.24,10.812881415223387,42.24,30,62,83
WESTSIDE MARAUDERS,50,27,44,1.92,71.64,11.100470628626448,32.16,39.48,56,81
NATIONAL PASTIME,50,4,37,2.86,67.06,10.540215179369914,28.8,38.26,56,75
HOOSIERS,50,3,25,3.26,65.52,10.45345622994864,39.32,26.2,59,73
MELONHEADS,50,0,10,4.48,60.46,9.957027978994702,26.78,33.68,55,67
BIG RED MACHINE,50,0,1,5.22,57.3,9.831793812468629,29.02,28.28,50,64
FREE BIRDS,50,0,0,7.02,46.74,9.314875454283374,17.58,29.16,41,52
BLUE SOCKS,50,0,0,7.5,44.6,8.658168581386269,17.46,27.14,38,50
ERIE LAKERS,50,0,0,8.42,41.36,8.35218403536181,28.44,12.92,33,54
FREE AT LAST,50,0,0,8.56,40.72,8.447479927153156,21.68,19.04,32,48
