team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,243,10.3059049918554,7888,6961,1744,264,1007,966,216,0.250538715701767,1093,69,21,1106,451.2550544444445,1352.6470099999997,3.715732378774017,1.2375544464775843,9,10,10,10,2,6,3,4,9,7,41,29,70,1,1
WESTSIDE MARAUDERS,23,266,10.824139170310191,7064,6291,1607,248,903,877,155,0.25544428548720394,1188,76,91,1254,495.8241844444445,1434.7795360000002,3.7562438215488214,1.2077268821548823,7,3,2,5,6,8,10,9,8,9,23,44,67,2,1
NATIONAL PASTIME,23,259,10.349265295312177,7359,6595,1695,241,907,902,156,0.25701288855193327,1284,81,52,1227,549.0612688888889,1573.53933,3.8485602959501555,1.2254979205607477,4,4,4,6,7,10,7,8,7,8,25,40,65,3,1
LOUISVILLE SLUGGERS,23,214,10.513395683381809,7669,6925,1843,242,981,921,180,0.26613718411552345,1036,64,72,1046,454.4741677777779,1310.47684,3.9481346621621634,1.2649390347490348,5,8,6,8,10,5,9,3,5,4,37,26,63,4,1
BLUE SOCKS,23,268,10.275043430369447,7750,6997,1801,233,953,932,201,0.257396026868658,1236,76,29,1190,550.6244711111111,1535.29539,4.00940148867314,1.2421483737864079,2,7,7,9,8,8,5,7,3,6,33,29,62,5,1
BIG RED MACHINE,23,196,9.75421502531228,7650,6823,1710,268,942,949,113,0.25062289315550346,1310,79,27,1184,568.35266,1689.01093,3.9047129312977105,1.289321320610687,10,6,9,2,3,9,4,6,6,3,30,28,58,6,1
MELONHEADS,19,270,10.318150145559104,6406,5720,1457,228,824,811,161,0.2547202797202797,1129,73,27,1179,457.97617111111117,1321.00965,3.650828644818424,1.1700705491585472,1,1,1,7,5,7,4,5,10,10,15,36,51,7,1
FREE BIRDS,23,250,9.41453063386199,7491,6638,1680,247,900,904,105,0.25308827960228986,1261,79,30,1276,565.1605577777779,1582.92395,4.033659809674862,1.2552925852498018,6,2,5,1,4,9,6,10,2,5,18,32,50,8,1
ERIE LAKERS,23,196,8.077510501417132,7412,6547,1690,239,926,898,116,0.258133496257828,911,53,64,852,404.2329555555556,1175.8871600000002,3.9935198682766195,1.2907652689352362,3,5,3,3,9,3,8,1,4,2,23,18,41,9,1
FREE AT LAST,22,219,8.193770351389313,8019,7054,1736,257,982,942,133,0.24610150269350722,1150,63,0,987,557.8437688888889,1505.22757,4.365733843478261,1.3088935391304348,8,9,8,4,1,4,2,2,1,1,30,10,40,10,1
WESTSIDE MARAUDERS,23,263,10.952549086084149,7568,6746,1709,262,949,938,156,0.25333530981322266,1279,80,51,1292,542.0993155555556,1551.7622959999999,3.81461598123534,1.213262154808444,10,6,8,6,4,9,7,9,8,9,34,42,76,1,2
NATIONAL PASTIME,23,265,10.409730954403509,7485,6696,1720,242,922,884,136,0.25686977299880526,1195,77,84,1193,496.51327000000003,1454.46263,3.739430485355649,1.217123539748954,5,4,4,4,8,8,9,8,9,8,25,42,67,2,2
HOOSIERS,23,230,10.213089871483781,7954,7049,1775,259,1009,964,201,0.2518087672010214,1193,75,10,1157,520.2067011111112,1512.5793099999999,3.92444284157586,1.26787871751886,8,10,10,10,2,7,3,6,6,4,40,26,66,3,2
BLUE SOCKS,23,266,10.186706195616196,7635,6882,1760,243,946,939,182,0.25573961057832023,1088,68,67,1100,478.4588033333334,1334.62394,3.957839365808824,1.2266764154411764,6,5,9,9,7,5,8,5,4,7,36,29,65,4,2
LOUISVILLE SLUGGERS,23,206,10.597285965023422,7580,6786,1761,252,959,915,174,0.2595048629531388,1052,65,85,1049,460.61646666666667,1317.2254500000001,3.9406351711026617,1.2521154467680609,7,8,5,7,9,4,10,4,5,6,36,29,65,4,2
BIG RED MACHINE,23,209,9.775389865455157,7559,6704,1691,261,951,936,136,0.25223747016706444,1250,75,27,1164,539.0991677777778,1584.99193,3.881514008,1.2679935439999999,9,7,7,4,3,7,4,7,7,3,30,28,58,5,2
MELONHEADS,19,270,10.434053638893698,7062,6309,1600,237,897,870,177,0.2536059597400539,1093,71,0,1100,449.8878111111111,1289.6271000000002,3.704474199451052,1.1798967063129004,4,3,2,8,5,6,2,5,10,10,22,33,55,6,2
FREE BIRDS,23,243,9.239899687464893,7334,6518,1655,234,882,884,121,0.2539122430193311,1409,84,0,1344,628.6581322222223,1785.7778300000002,4.0155593967352745,1.2674079701916254,2,1,4,2,6,10,2,10,3,5,15,30,45,7,2
ERIE LAKERS,23,195,8.066314381969425,7053,6275,1633,235,893,872,132,0.2602390438247012,1043,60,46,954,473.56079444444447,1352.1558100000002,4.086334755512944,1.2964101725790989,3,2,3,3,10,3,6,3,2,2,21,16,37,8,2
FREE AT LAST,22,226,8.140166931836214,7914,7011,1760,242,962,935,147,0.2510340892882613,934,54,31,884,440.85623111111113,1218.29803,4.24807931477516,1.3043876124197,5,9,6,5,1,2,5,2,1,1,26,11,37,8,2
MELONHEADS,23,270,10.820936593172487,7500,6676,1685,261,952,936,185,0.2523966446974236,1351,86,0,1338,574.6298777777779,1617.5498100000002,3.828030273871207,1.1972981569207997,8,7,8,9,4,10,3,10,7,10,36,40,76,1,3
HOOSIERS,23,241,10.24140123776772,8101,7205,1806,271,1015,999,210,0.2506592643997224,970,61,58,954,407.6410188888889,1204.9589099999998,3.7822362577319586,1.242225680412371,10,10,10,10,3,3,7,2,8,5,43,25,68,2,3
LOUISVILLE SLUGGERS,23,216,10.547226775685566,7469,6754,1806,234,961,898,179,0.26739709801599054,1057,66,68,1098,452.3267822222223,1296.84348,3.8514106338694423,1.2269096310312204,4,8,4,8,10,5,9,5,5,7,34,31,65,3,3
NATIONAL PASTIME,23,249,10.375020486687665,7548,6736,1703,268,933,941,135,0.2528206650831354,1209,77,52,1224,531.4611633333334,1486.21284,3.9562865756823826,1.229291017369727,9,6,9,5,5,8,5,7,4,6,34,30,64,4,3
WESTSIDE MARAUDERS,22,270,10.978910499593288,7099,6343,1631,250,907,888,154,0.2571338483367492,1266,81,51,1324,525.2580277777778,1543.928206,3.7340618088467616,1.2195325481832544,6,2,2,6,7,9,4,9,10,9,23,41,64,4,3
BIG RED MACHINE,23,204,9.766252318718582,7510,6686,1658,261,921,922,120,0.2479808555189949,1195,72,59,1158,509.2267666666668,1509.0820500000002,3.8351806694560677,1.262830167364017,8,3,7,4,2,7,8,6,6,4,24,31,55,5,3
BLUE SOCKS,20,270,9.925175757497726,6933,6291,1632,203,844,830,170,0.25941821649976154,1099,70,56,1092,459.87418555555564,1345.50599,3.7660306369426757,1.2243002638762512,2,1,1,7,9,6,6,4,9,8,20,33,53,6,3
FREE BIRDS,23,247,9.234546281064498,7516,6653,1709,230,925,900,119,0.256876597023899,1343,81,0,1298,605.9942711111112,1708.73944,4.061018942665674,1.2723301861504095,3,5,5,3,6,9,3,8,3,3,22,26,48,7,3
FREE AT LAST,22,227,8.243969038550404,7907,6924,1704,256,974,919,154,0.24610051993067592,1151,65,0,955,544.4429111111111,1502.07999,4.257155690703736,1.3050217115551694,7,9,6,6,1,4,3,3,1,2,29,13,42,8,3
