team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,36,47,1.48,73.54,11.011058352237342,33.62,39.92,62,81
LOUISVILLE SLUGGERS,50,7,42,2.4,69.28,10.648441450762673,40.48,28.8,63,78
NATIONAL PASTIME,50,2,29,3.4,65.24,10.394144329901817,27.66,37.58,60,73
HOOSIERS,50,2,25,3.42,64.64,10.271017326219091,40.16,24.48,55,74
MELONHEADS,50,4,19,4.2,62.64,10.590090428842261,24.4,38.24,48,78
BLUE SOCKS,50,0,3,5.1,59.14,10.05459457133149,28.9,30.24,50,67
BIG RED MACHINE,50,0,0,5.96,55.04,9.73511036076573,27.02,28.02,49,62
FREE BIRDS,50,0,0,7.54,44.46,9.16027383496284,15.48,28.98,39,52
ERIE LAKERS,50,0,0,8.5,38.9,8.056035924360822,25.76,13.14,30,46
FREE AT LAST,50,0,0,9.12,33.88,8.113002765053743,19.72,14.16,21,43
