team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,28,47,1.64,72.86,10.977110514745135,32.84,40.02,60,80
LOUISVILLE SLUGGERS,50,14,45,2.12,70.62,10.688457301544734,41.98,28.64,61,77
HOOSIERS,50,4,27,3.44,64.92,10.271197460719389,40.08,24.84,58,75
NATIONAL PASTIME,50,0,23,3.76,64.5,10.401029004269988,27.92,36.58,55,72
MELONHEADS,50,7,21,3.92,63.74,10.628689433870678,24.96,38.78,49,76
BLUE SOCKS,50,0,3,5.08,59.62,10.095731880324967,29.54,30.08,50,66
BIG RED MACHINE,50,0,0,6.1,55.64,9.73983718303395,27.1,28.54,46,61
FREE BIRDS,50,0,0,7.5,44.88,9.18924514337818,15.84,29.04,39,53
ERIE LAKERS,50,0,0,8.58,37.1,8.013327332462826,23.86,13.24,29,46
FREE AT LAST,50,0,0,9.14,32.16,8.097773093787977,18.08,14.08,22,43
