team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,0,7.5,44.6,8.658168581386269,17.46,27.14,38,50,50,6,38,2.88,67,10.332326502892824,29,38,54,76,22.4,-4.62,6,38,11.54,10.86
WESTSIDE MARAUDERS,50,27,44,1.92,71.64,11.100470628626448,32.16,39.48,56,81,50,35,45,1.6,73.42,11.039511687596269,33.24,40.18,54,83,1.7800000000000011,-0.31999999999999984,8,1,1.0800000000000054,0.7000000000000028
HOOSIERS,50,3,25,3.26,65.52,10.45345622994864,39.32,26.2,59,73,50,1,17,3.88,63.88,10.255772813135838,39.78,24.1,56,72,-1.6399999999999935,0.6200000000000001,-2,-8,0.46000000000000085,-2.099999999999998
BIG RED MACHINE,50,0,1,5.22,57.3,9.831793812468629,29.02,28.28,50,64,50,0,2,5.96,55.38,9.756667548730807,27.54,27.84,46,61,-1.9199999999999946,0.7400000000000002,0,1,-1.4800000000000004,-0.4400000000000013
NATIONAL PASTIME,50,4,37,2.86,67.06,10.540215179369914,28.8,38.26,56,75,50,1,21,3.6,65.14,10.420736192481536,28.32,36.82,58,75,-1.9200000000000017,0.7400000000000002,-3,-16,-0.4800000000000004,-1.4399999999999977
FREE BIRDS,50,0,0,7.02,46.74,9.314875454283374,17.58,29.16,41,52,50,0,0,7.6,43.84,9.173729518367866,14.62,29.22,37,53,-2.8999999999999986,0.5800000000000001,0,0,-2.959999999999999,0.05999999999999872
ERIE LAKERS,50,0,0,8.42,41.36,8.35218403536181,28.44,12.92,33,54,50,0,0,8.68,38.02,8.150492759769234,27.1,10.92,30,45,-3.3399999999999963,0.2599999999999998,0,0,-1.3399999999999999,-2
FREE AT LAST,50,0,0,8.56,40.72,8.447479927153156,21.68,19.04,32,48,50,0,0,8.92,37.1,8.290399638106908,20.04,17.06,29,44,-3.6199999999999974,0.35999999999999943,0,0,-1.6400000000000006,-1.9800000000000004
LOUISVILLE SLUGGERS,50,22,48,1.82,72.24,10.812881415223387,42.24,30,62,83,50,7,38,2.64,67.9,10.632568786542091,38.9,29,59,77,-4.339999999999989,0.8200000000000001,-15,-10,-3.3400000000000034,-1
MELONHEADS,50,0,10,4.48,60.46,9.957027978994702,26.78,33.68,55,67,50,0,1,5.88,55.3,9.75299729273162,23.94,31.36,47,72,-5.160000000000004,1.3999999999999995,0,-9,-2.84,-2.3200000000000003
