team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,35,45,1.6,73.42,11.039511687596269,33.24,40.18,54,83
LOUISVILLE SLUGGERS,50,7,38,2.64,67.9,10.632568786542091,38.9,29,59,77
BLUE SOCKS,50,6,38,2.88,67,10.332326502892824,29,38,54,76
NATIONAL PASTIME,50,1,21,3.6,65.14,10.420736192481536,28.32,36.82,58,75
HOOSIERS,50,1,17,3.88,63.88,10.255772813135838,39.78,24.1,56,72
MELONHEADS,50,0,1,5.88,55.3,9.75299729273162,23.94,31.36,47,72
BIG RED MACHINE,50,0,2,5.96,55.38,9.756667548730807,27.54,27.84,46,61
FREE BIRDS,50,0,0,7.6,43.84,9.173729518367866,14.62,29.22,37,53
ERIE LAKERS,50,0,0,8.68,38.02,8.150492759769234,27.1,10.92,30,45
FREE AT LAST,50,0,0,8.92,37.1,8.290399638106908,20.04,17.06,29,44
