team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,0,7.5,44.6,8.658168581386269,17.46,27.14,38,50,50,2,23,3.56,64.54,10.1627134886502,26.98,37.56,56,70,19.940000000000005,-3.94,2,23,9.52,10.420000000000002
WESTSIDE MARAUDERS,50,27,44,1.92,71.64,11.100470628626448,32.16,39.48,56,81,50,42,48,1.28,74.34,11.098259822024316,33.96,40.38,60,83,2.700000000000003,-0.6399999999999999,15,4,1.8000000000000043,0.9000000000000057
NATIONAL PASTIME,50,4,37,2.86,67.06,10.540215179369914,28.8,38.26,56,75,50,5,31,3.2,65.92,10.45940105537528,28.08,37.84,59,72,-1.1400000000000006,0.3400000000000003,1,-6,-0.7200000000000024,-0.4199999999999946
HOOSIERS,50,3,25,3.26,65.52,10.45345622994864,39.32,26.2,59,73,50,2,18,3.98,63.3,10.282615295564575,39.62,23.68,53,73,-2.219999999999999,0.7200000000000002,-1,-7,0.29999999999999716,-2.5199999999999996
FREE BIRDS,50,0,0,7.02,46.74,9.314875454283374,17.58,29.16,41,52,50,0,0,7.74,44.48,9.216422745714716,15,29.48,36,50,-2.260000000000005,0.7200000000000006,0,0,-2.5799999999999983,0.3200000000000003
BIG RED MACHINE,50,0,1,5.22,57.3,9.831793812468629,29.02,28.28,50,64,50,0,1,6.2,54.6,9.76747840251626,26.68,27.92,45,63,-2.6999999999999957,0.9800000000000004,0,0,-2.34,-0.35999999999999943
FREE AT LAST,50,0,0,8.56,40.72,8.447479927153156,21.68,19.04,32,48,50,0,0,8.92,37.72,8.326192755087472,20.3,17.42,30,50,-3,0.35999999999999943,0,0,-1.379999999999999,-1.6199999999999974
ERIE LAKERS,50,0,0,8.42,41.36,8.35218403536181,28.44,12.92,33,54,50,0,0,8.78,38.32,8.203797087096127,28.16,10.16,29,50,-3.039999999999999,0.35999999999999943,0,0,-0.28000000000000114,-2.76
LOUISVILLE SLUGGERS,50,22,48,1.82,72.24,10.812881415223387,42.24,30,62,83,50,7,41,2.46,68.96,10.679267430406739,40.36,28.6,55,77,-3.280000000000001,0.6399999999999999,-15,-7,-1.8800000000000026,-1.3999999999999986
MELONHEADS,50,0,10,4.48,60.46,9.957027978994702,26.78,33.68,55,67,50,0,0,5.72,56.24,9.797608666961018,24.16,32.08,47,65,-4.219999999999999,1.2399999999999993,0,-10,-2.620000000000001,-1.6000000000000014
