team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,270,11.203145787893325,7813,6993,1807,257,978,962,150,0.2584012584012584,1367,85,32,1298,592.2269255555556,1680.964806,3.899079978054133,1.2296743277249451,9,9,10,6,8,10,5,9,6,7,42,37,79,1,1
HOOSIERS,23,232,10.15721425646568,7888,6989,1755,255,1002,943,223,0.25110888539132925,1019,65,49,980,430.51692333333335,1271.29151,3.8024065848871444,1.247587350343474,8,10,9,10,3,4,7,2,10,6,40,29,69,2,1
NATIONAL PASTIME,23,251,10.353309397673517,7513,6734,1704,255,906,923,123,0.25304425304425304,1285,80,52,1240,551.05916,1575.2128699999998,3.859558319066148,1.2258465914396885,8,4,7,4,6,9,8,7,7,8,29,39,68,3,1
BLUE SOCKS,23,244,10.273222651821852,7684,6929,1772,227,944,907,215,0.25573675855101746,1079,68,78,1120,462.0616633333334,1311.1278499999999,3.8540824559777582,1.2151323911028729,3,7,5,9,7,5,9,5,8,9,31,36,67,4,1
MELONHEADS,23,239,9.941658258017737,7146,6354,1605,255,907,906,175,0.2525967894239849,1237,78,11,1271,524.576378888889,1501.7120200000002,3.8166430153597424,1.2139951657235248,8,5,4,7,4,7,1,8,9,10,28,35,63,5,1
BIG RED MACHINE,23,203,9.62162560648255,7399,6556,1635,262,928,914,126,0.24938987187309336,1281,78,27,1222,555.5544766666667,1613.7957400000003,3.903193044496487,1.2597937080405934,10,6,6,5,2,7,4,6,5,5,29,27,56,6,1
LOUISVILLE SLUGGERS,23,212,10.389483930819695,7567,6826,1822,235,974,905,181,0.26692059771462057,1032,62,82,1041,457.3081800000001,1306.1685599999998,3.9881527325581403,1.2656672093023253,5,8,3,8,10,3,10,3,2,3,34,21,55,7,1
FREE BIRDS,23,245,9.323902061521743,7438,6594,1666,240,899,901,117,0.2526539278131635,1307,79,19,1302,578.7411577777779,1650.3647799999999,3.9852107268553945,1.2627121499617444,6,3,2,3,5,8,3,10,3,4,19,28,47,8,1
ERIE LAKERS,23,198,8.317718436020153,7450,6628,1728,253,944,932,116,0.26071213035606516,1105,62,17,973,517.3823533333333,1465.2051900000001,4.213973918552036,1.3259775475113122,7,7,8,2,9,3,2,1,1,1,33,8,41,9,1
FREE AT LAST,23,239,7.9829074381631395,7288,6386,1571,232,896,853,123,0.24600689007203258,1122,70,46,1048,493.2942744444445,1425.3905200000002,3.956905944741534,1.2704015329768272,4,2,1,4,1,6,6,4,4,2,12,22,34,10,1
LOUISVILLE SLUGGERS,23,206,10.706068837960085,7599,6839,1777,258,983,944,179,0.2598333089632987,1070,67,66,1076,453.9307555555556,1333.9297,3.818109158878505,1.2466632710280372,8,9,9,8,9,4,10,4,9,5,43,32,75,1,2
WESTSIDE MARAUDERS,23,269,11.07792858054576,7554,6727,1734,258,964,937,159,0.25776720677865317,1279,80,54,1277,554.6794255555556,1575.7156360000001,3.903139038311181,1.231990333072713,8,8,7,6,6,9,7,10,4,8,35,38,73,2,2
HOOSIERS,23,234,10.252724287147306,7993,7082,1780,263,1022,978,219,0.25134142897486583,1145,69,12,1061,488.30621444444444,1417.70101,3.8382147860262013,1.2381668209606986,9,10,10,10,4,5,2,3,8,7,43,25,68,3,2
NATIONAL PASTIME,23,264,10.343841063065234,7447,6667,1720,240,918,880,137,0.25798710064496777,1263,82,52,1272,526.2983855555556,1545.98703,3.7503447901821065,1.224059406175772,4,3,1,4,7,10,6,9,10,10,19,45,64,4,2
BLUE SOCKS,23,239,10.001161871548245,7669,6937,1792,220,925,901,195,0.25832492431886983,1167,73,48,1194,501.1167611111112,1433.8439999999998,3.864653684661526,1.2286580976863752,3,4,4,9,8,7,5,6,6,9,28,33,61,5,2
BIG RED MACHINE,23,211,9.819749730920302,7685,6833,1702,267,942,943,122,0.2490853212351822,1169,71,59,1125,501.14476555555564,1465.41333,3.8582573909324216,1.2535614456800686,10,6,8,3,2,6,9,5,7,4,29,31,60,6,2
