team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,42,48,1.28,74.34,11.098259822024316,33.96,40.38,60,83
LOUISVILLE SLUGGERS,50,7,41,2.46,68.96,10.679267430406739,40.36,28.6,55,77
NATIONAL PASTIME,50,5,31,3.2,65.92,10.45940105537528,28.08,37.84,59,72
BLUE SOCKS,50,2,23,3.56,64.54,10.1627134886502,26.98,37.56,56,70
HOOSIERS,50,2,18,3.98,63.3,10.282615295564575,39.62,23.68,53,73
MELONHEADS,50,0,0,5.72,56.24,9.797608666961018,24.16,32.08,47,65
BIG RED MACHINE,50,0,1,6.2,54.6,9.76747840251626,26.68,27.92,45,63
FREE BIRDS,50,0,0,7.74,44.48,9.216422745714716,15,29.48,36,50
ERIE LAKERS,50,0,0,8.78,38.32,8.203797087096127,28.16,10.16,29,50
FREE AT LAST,50,0,0,8.92,37.72,8.326192755087472,20.3,17.42,30,50
