team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,0,7.5,44.6,8.658168581386269,17.46,27.14,38,50,50,0,3,4.88,59.16,9.98059376068219,23.14,36.02,50,68,14.559999999999995,-2.62,0,3,5.68,8.880000000000003
WESTSIDE MARAUDERS,50,27,44,1.92,71.64,11.100470628626448,32.16,39.48,56,81,50,38,49,1.32,74.98,11.115029017813237,34.52,40.46,61,84,3.3400000000000034,-0.5999999999999999,11,5,2.3600000000000065,0.980000000000004
NATIONAL PASTIME,50,4,37,2.86,67.06,10.540215179369914,28.8,38.26,56,75,50,2,42,2.76,66.58,10.451849754848158,27.1,39.48,61,72,-0.480000000000004,-0.10000000000000009,-2,5,-1.6999999999999993,1.2199999999999989
HOOSIERS,50,3,25,3.26,65.52,10.45345622994864,39.32,26.2,59,73,50,3,25,3.4,64.82,10.307338841771891,40.68,24.14,57,74,-0.7000000000000028,0.14000000000000012,0,0,1.3599999999999994,-2.0599999999999987
BIG RED MACHINE,50,0,1,5.22,57.3,9.831793812468629,29.02,28.28,50,64,50,0,0,5.84,55.64,9.781393133403537,27.72,27.92,46,63,-1.6599999999999966,0.6200000000000001,0,-1,-1.3000000000000007,-0.35999999999999943
FREE BIRDS,50,0,0,7.02,46.74,9.314875454283374,17.58,29.16,41,52,50,0,0,7.56,44.98,9.227744473956392,15.98,29,40,54,-1.7600000000000051,0.54,0,0,-1.5999999999999979,-0.16000000000000014
ERIE LAKERS,50,0,0,8.42,41.36,8.35218403536181,28.44,12.92,33,54,50,0,0,8.6,38.98,8.168761390385464,27.34,11.64,32,47,-2.3800000000000026,0.17999999999999972,0,0,-1.1000000000000014,-1.2799999999999994
LOUISVILLE SLUGGERS,50,22,48,1.82,72.24,10.812881415223387,42.24,30,62,83,50,8,43,2.48,69.32,10.665713801402132,41.72,27.6,59,80,-2.9200000000000017,0.6599999999999999,-14,-5,-0.5200000000000031,-2.3999999999999986
FREE AT LAST,50,0,0,8.56,40.72,8.447479927153156,21.68,19.04,32,48,50,0,0,8.9,37.54,8.34868976463231,21.36,16.18,27,53,-3.1799999999999997,0.33999999999999986,0,0,-0.3200000000000003,-2.8599999999999994
MELONHEADS,50,0,10,4.48,60.46,9.957027978994702,26.78,33.68,55,67,50,0,1,5.66,56.4,9.77558223217159,24.46,31.94,49,65,-4.060000000000002,1.1799999999999997,0,-9,-2.3200000000000003,-1.7399999999999984
