team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,268,11.28853973891762,7813,7015,1803,263,983,969,155,0.25702066999287243,1268,78,49,1297,547.3675900000001,1556.109826,3.8851011908517354,1.227215951104101,8,8,9,5,7,8,6,10,4,8,37,36,73,1,1
HOOSIERS,23,233,10.279025469815206,7965,7074,1765,272,1005,987,196,0.24950523042126097,1120,72,27,1057,478.19046999999995,1388.07969,3.842601991071428,1.2393568660714287,10,10,10,10,2,6,5,4,7,5,42,27,69,2,1
LOUISVILLE SLUGGERS,23,207,10.59254996903476,7555,6774,1775,248,985,924,178,0.26203129613227044,930,57,109,993,393.32952000000006,1151.4958499999998,3.80641470967742,1.238167580645161,6,9,7,8,10,2,10,2,9,6,40,29,69,2,1
NATIONAL PASTIME,23,265,10.3454065127846,7461,6688,1721,237,915,883,146,0.25732655502392343,1263,82,52,1272,526.2983855555556,1545.98703,3.7503447901821065,1.224059406175772,3,3,3,4,8,10,7,8,10,9,21,44,65,3,1
BLUE SOCKS,23,258,9.927220116686785,7299,6580,1691,213,885,860,179,0.2569908814589666,1191,75,61,1204,506.9941055555556,1435.93302,3.831189714525609,1.205653249370277,2,1,2,9,6,7,9,6,8,10,20,40,60,4,1
BIG RED MACHINE,23,212,9.83717442401636,7776,6939,1738,268,948,960,120,0.2504683671998847,1167,70,54,1105,502.210998888889,1467.4008700000002,3.8730925364181665,1.2574129134532992,9,6,8,2,4,5,8,5,6,4,29,28,57,5,1
MELONHEADS,23,222,9.732735549198505,7290,6450,1615,251,925,903,174,0.2503875968992248,1318,82,0,1264,568.8836155555556,1625.70902,3.8846377389984825,1.233466631259484,7,5,5,7,3,10,1,7,5,7,27,30,57,5,1
FREE BIRDS,23,247,9.330634287878732,7326,6489,1648,240,887,892,125,0.25396825396825395,1293,79,19,1294,569.0681477777779,1640.07373,3.9610311910286162,1.2684251585460171,5,2,4,3,5,9,2,9,3,3,19,26,45,6,1
ERIE LAKERS,23,199,8.149515774948483,7277,6468,1678,251,921,914,120,0.2594310451453309,1069,64,20,957,495.03760777777785,1402.5035400000002,4.167762834424696,1.3119771188026195,7,4,6,2,9,3,3,1,2,1,28,10,38,7,1
FREE AT LAST,23,242,8.30002872152425,7711,6770,1689,238,962,892,163,0.24948301329394387,1215,68,22,1052,575.3410522222222,1587.9412699999998,4.261785572016461,1.3069475473251027,4,7,4,6,1,4,4,3,1,2,22,14,36,8,1
WESTSIDE MARAUDERS,23,265,11.220439020025038,7617,6815,1735,264,966,948,164,0.2545854732208364,1271,78,59,1296,549.1890633333334,1549.288966,3.8888289299763965,1.2189527663257278,9,8,9,7,5,9,8,9,6,9,38,41,79,1,2
HOOSIERS,23,241,10.306963932153199,7923,7048,1773,257,1007,969,229,0.25156072644721905,1131,72,22,1015,485.72498222222225,1397.9664699999998,3.865185534924845,1.2360446242263483,8,10,10,10,4,7,3,2,8,6,42,26,68,2,2
LOUISVILLE SLUGGERS,23,209,10.653353056446447,7688,6931,1817,252,987,932,193,0.26215553311210504,1066,66,60,1084,462.40573111111115,1349.1269699999998,3.9039883489681055,1.2655975328330205,4,9,8,9,10,4,9,6,5,3,40,27,67,3,2
NATIONAL PASTIME,23,255,10.42504626867969,7573,6802,1739,256,928,925,144,0.2556600999705969,1236,78,52,1231,538.6544266666667,1519.42109,3.922240970873787,1.2293050889967638,7,5,6,5,6,9,7,8,4,8,29,36,65,4,2
MELONHEADS,23,223,9.802278153598456,7332,6481,1620,254,931,905,160,0.2499614257059096,1196,74,41,1195,514.4843222222223,1478.0941100000002,3.871537541806021,1.2358646404682276,5,7,5,6,2,8,6,7,7,7,25,35,60,5,2
BIG RED MACHINE,23,207,9.72780675674447,7524,6689,1664,265,927,925,121,0.24876663178352518,1120,69,86,1063,477.94397777777783,1406.87091,3.8406212500000003,1.2561347410714288,10,4,6,3,1,6,10,4,9,5,24,34,58,6,2
BLUE SOCKS,20,265,9.908856209722796,7232,6495,1666,218,884,853,180,0.2565050038491147,1031,66,29,1062,424.56205444444447,1224.27695,3.706167303588749,1.187465518913676,1,1,2,8,7,4,4,3,10,10,19,31,50,7,2
FREE BIRDS,23,245,9.062422098489757,7431,6573,1695,227,907,888,105,0.2578731172980374,1335,83,0,1315,591.3194055555557,1702.0354,3.986422958801499,1.274932883895131,3,2,4,2,8,10,1,10,2,2,19,25,44,8,2
ERIE LAKERS,23,193,8.306066058391403,7382,6560,1700,255,930,926,121,0.25914634146341464,1137,62,16,1011,542.2590955555556,1499.5241800000001,4.292288355321021,1.318842726473175,6,6,7,3,9,3,2,1,1,1,31,8,39,9,2
FREE AT LAST,23,245,8.27423487526981,7498,6611,1657,225,915,878,134,0.25064286794736046,1115,67,36,1065,488.03228777777775,1404.83198,3.9392740717488786,1.259938995515695,2,3,3,4,3,5,5,5,3,4,15,22,37,10,2
WESTSIDE MARAUDERS,22,270,11.089978366454922,7071,6281,1602,261,907,898,154,0.25505492755930587,1273,79,51,1321,539.1389633333333,1545.949286,3.8116658837391983,1.214414207384132,8,3,4,6,6,9,8,9,8,9,27,43,70,1,3
HOOSIERS,23,239,10.27962903175994,7902,7015,1761,263,1003,973,221,0.2510334996436208,1147,72,12,1085,482.46844555555555,1401.05414,3.785715789014821,1.2214944551002616,9,10,10,10,2,5,3,3,9,8,41,28,69,2,3
LOUISVILLE SLUGGERS,23,213,10.712402806095593,7354,6600,1719,250,960,909,190,0.26045454545454544,1094,69,77,1094,471.73607666666663,1348.8534099999997,3.8808269561243143,1.2329555850091405,7,8,6,8,9,4,9,4,6,7,38,30,68,3,3
BLUE SOCKS,23,259,10.202303162500968,7809,7018,1808,230,954,917,192,0.25762325448845824,1248,77,29,1214,553.9272022222223,1556.30078,3.994667323717949,1.2470358814102565,1,7,8,9,8,8,5,8,3,5,33,29,62,4,3
NATIONAL PASTIME,23,270,10.391533401890838,7300,6547,1685,237,897,873,147,0.25736978768901786,1183,75,84,1208,489.3468866666667,1426.03508,3.7228419103972947,1.2054396280642434,2,2,2,5,7,7,10,7,10,10,18,44,62,4,3
MELONHEADS,23,223,9.807890503100516,7426,6609,1675,245,925,914,159,0.2534422756846724,1161,73,39,1192,492.8693422222223,1441.2270000000003,3.8206925753660648,1.2413669250645998,5,5,7,7,5,6,6,6,7,6,29,31,60,5,3
BIG RED MACHINE,23,208,9.909029942165668,7909,7037,1777,270,977,972,136,0.2525223816967458,1226,72,27,1120,541.7070133333333,1567.6486,3.976642022838499,1.2786693311582382,10,9,9,4,3,5,4,5,5,2,35,21,56,6,3
FREE BIRDS,23,241,9.212944068806658,7355,6538,1651,240,891,892,105,0.2525237075558275,1387,85,0,1346,614.2591244444445,1761.62533,3.9858198413842834,1.270097570295602,3,1,3,1,4,10,2,10,4,4,12,30,42,7,3
FREE AT LAST,23,242,8.399689973079067,7764,6824,1687,246,953,909,122,0.24721570926143024,1098,65,43,1018,492.7893322222223,1399.24911,4.039256821493625,1.2743616666666666,6,6,6,3,1,3,7,2,2,3,22,17,39,8,3
ERIE LAKERS,23,192,8.021153023839744,7254,6458,1684,243,911,906,114,0.260761845772685,1017,60,51,897,484.4791066666667,1353.2911100000001,4.2874257227138655,1.3306697246804327,4,4,5,2,10,2,8,1,1,1,25,13,38,9,3
WESTSIDE MARAUDERS,23,267,11.207214736362728,7687,6840,1747,266,984,949,173,0.2554093567251462,1259,77,54,1284,543.8944833333334,1543.0873860000002,3.888046346306593,1.2256452629070693,10,8,8,7,5,7,8,8,5,9,38,37,75,1,4
HOOSIERS,23,241,10.286220350870224,7979,7092,1786,265,1004,988,200,0.2518330513254371,1111,69,27,1043,463.04551444444445,1370.6775600000003,3.751043771377138,1.233733177317732,9,10,10,10,4,4,5,3,10,6,43,28,71,2,4
