team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,38,49,1.32,74.98,11.115029017813237,34.52,40.46,61,84
LOUISVILLE SLUGGERS,50,8,43,2.48,69.32,10.665713801402132,41.72,27.6,59,80
NATIONAL PASTIME,50,2,42,2.76,66.58,10.451849754848158,27.1,39.48,61,72
HOOSIERS,50,3,25,3.4,64.82,10.307338841771891,40.68,24.14,57,74
BLUE SOCKS,50,0,3,4.88,59.16,9.98059376068219,23.14,36.02,50,68
MELONHEADS,50,0,1,5.66,56.4,9.77558223217159,24.46,31.94,49,65
BIG RED MACHINE,50,0,0,5.84,55.64,9.781393133403537,27.72,27.92,46,63
FREE BIRDS,50,0,0,7.56,44.98,9.227744473956392,15.98,29,40,54
ERIE LAKERS,50,0,0,8.6,38.98,8.168761390385464,27.34,11.64,32,47
FREE AT LAST,50,0,0,8.9,37.54,8.34868976463231,21.36,16.18,27,53
