team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,0,7.5,44.6,8.658168581386269,17.46,27.14,38,50,50,1,25,3.68,64.32,10.254054511910677,28.4,35.92,50,73,19.71999999999999,-3.82,1,25,10.939999999999998,8.780000000000001
WESTSIDE MARAUDERS,50,27,44,1.92,71.64,11.100470628626448,32.16,39.48,56,81,50,39,48,1.36,74.5,11.086175133366192,34.94,39.56,60,83,2.8599999999999994,-0.5599999999999998,12,4,2.780000000000001,0.0800000000000054
HOOSIERS,50,3,25,3.26,65.52,10.45345622994864,39.32,26.2,59,73,50,2,29,3.32,65.68,10.274889998369709,40.12,25.56,57,75,0.1600000000000108,0.06000000000000005,-1,4,0.7999999999999972,-0.6400000000000006
NATIONAL PASTIME,50,4,37,2.86,67.06,10.540215179369914,28.8,38.26,56,75,50,1,22,3.52,65.14,10.43185093786085,27.38,37.76,53,73,-1.9200000000000017,0.6600000000000001,-3,-15,-1.4200000000000017,-0.5
FREE BIRDS,50,0,0,7.02,46.74,9.314875454283374,17.58,29.16,41,52,50,0,0,7.4,44.28,9.21315491265328,14.78,29.5,37,55,-2.460000000000001,0.3800000000000008,0,0,-2.799999999999999,0.33999999999999986
LOUISVILLE SLUGGERS,50,22,48,1.82,72.24,10.812881415223387,42.24,30,62,83,50,10,41,2.38,69.16,10.666172548652176,40.78,28.38,57,77,-3.0799999999999983,0.5599999999999998,-12,-7,-1.4600000000000009,-1.620000000000001
BIG RED MACHINE,50,0,1,5.22,57.3,9.831793812468629,29.02,28.28,50,64,50,0,0,5.98,54.22,9.749133397957479,26.5,27.72,49,63,-3.0799999999999983,0.7600000000000007,0,-1,-2.5199999999999996,-0.5600000000000023
ERIE LAKERS,50,0,0,8.42,41.36,8.35218403536181,28.44,12.92,33,54,50,0,0,8.48,38.02,8.189293782562268,26.54,11.48,28,49,-3.3399999999999963,0.0600000000000005,0,0,-1.9000000000000021,-1.4399999999999995
MELONHEADS,50,0,10,4.48,60.46,9.957027978994702,26.78,33.68,55,67,50,0,1,5.42,57.04,9.810585241447212,24.92,32.12,47,66,-3.4200000000000017,0.9399999999999995,0,-9,-1.8599999999999994,-1.5600000000000023
FREE AT LAST,50,0,0,8.56,40.72,8.447479927153156,21.68,19.04,32,48,50,0,0,8.74,36.46,8.290138793244127,19.36,17.1,28,45,-4.259999999999998,0.17999999999999972,0,0,-2.3200000000000003,-1.9399999999999977
