Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary,sgpar_random_delta,sgpar_randomized
Trea Turner,PHI,hitter,29.762995778045266,644,591,167,19,92,73,28,0.282535,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.17701710196617837,1.363784136454445,0,0,0,0,0,0,1.363784136454445,0,0,0,0,1,0,0,1,1,0,0,SS,0.3492615922902857,0.3492615922902857,0.0955761814338752,0.0504993318837341,0.13625174132422654,0.05775377010209177,0.00918056754635808,0,0,0,0,0,0.22071909525376937,0.17795002663792017,0.27475557754637414,0.1732613103062753,0.1678365344198203,0,0,0,0,0,1.0145225441641594,0,1.0145225441641594,1.0145225441641594,3.5524859613886943,2.712227254013997,2.617924528301886,11.013986013986017,7.123864483195811,0,0,0,0,0,27.020488240886404,27.020488240886404,Blue Socks,IL,2,30,0,1.0145225441641594
Luis Robert Jr.,NYM,hitter,17.842685828399382,567,515,121,21,69,76,29,0.235245,NA,NA,NA,NA,NA,NA,0.23722145751573345,0.2524966594186705,0.42789803060500897,0.23926561899438015,-0.02597387343995417,1.130907893093839,0,0,0,0,0,0,1.130907893093839,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.10589015784760278,0.14668853547179905,0.22070529999626776,0.1600604485686543,-0.02097685439505484,0,0,0,0,0,0.6123675874892691,0,0.6123675874892691,0.6123675874892691,1.7043079067098414,2.1786743515850144,2.1580188679245276,10.174825174825177,-0.8903679315750561,0,0,0,0,0,15.3254583694695,15.3254583694695,Blue Socks,Bench,1,21,0,0.6123675874892691
Dylan Crews,WSN,hitter,16.647603600042075,595,539,131,18,72,69,26,0.243573,NA,NA,NA,NA,NA,NA,0.24753543392946095,0.21642570807314615,0.38848636989138974,0.21451400323634084,0.00603370636516053,1.0729952214954983,0,0,0,0,0,0,1.0729952214954983,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.11620413426133028,0.11061758412627468,0.18129363928264855,0.135308832810615,0.01103072541005986,0,0,0,0,0,0.5544549158909284,0,0.5544549158909284,0.5544549158909284,1.870311923597163,1.7896253602305476,1.6273584905660372,8.601398601398603,0.4682019516445108,0,0,0,0,0,14.356896327436862,14.356896327436862,Blue Socks,Util,Opt,1,0,0.5544549158909284
Jurickson Profar,ATL,hitter,16.08502786785374,644,556,141,19,82,74,9,0.252956,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.22844935852165427,0.4166375561154035,0.07425484727411799,0.04483053035507661,1.046087647574805,0,0,0,0,0,0,1.046087647574805,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.1505840556404221,0.1226412345747828,0.2094448255066623,-0.00495032315160785,0.04982754939997594,0,0,0,0,0,0.5275473419702353,0,0.5275473419702353,0.5275473419702353,2.423658646554904,2.0675174969123096,1.804245283018867,-0.31468531468531424,2.114943034794065,0,0,0,0,0,8.095679146594833,8.095679146594833,Blue Socks,OF,Opt,2,0,0.5275473419702353
Jhoan Duran,PHI,pitcher,19.311354972170744,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67149,1.09864,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.071857962342165,0.05474116887020112,0.9347471325530896,0.9347471325530896,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.03188888490578018,0.36835580419953823,-0.00110383500625801,0.04852447803527726,0.04310960958064202,0,0.4907749417149797,0.4907749417149797,0.4907749417149797,0,0,0,0,0,1.6533207724917578,40.40816326530616,-0.02755383202367567,3.803085870037934,3.20044736153975,49.03746343735192,49.03746343735192,Blue Socks,P,2,17,0,0.4907749417149797
Mickey Moniak,COL,hitter,15.105451501734834,483,451,120,21,62,69,9,0.266276,NA,NA,NA,NA,NA,NA,0.21315551255036916,0.2524966594186705,0.38848636989138974,0.07425484727411799,0.08081977505349992,1.0092131641880473,0,0,0,0,0,0,1.0092131641880473,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.08182421288223848,0.14668853547179905,0.18129363928264855,-0.00495032315160785,0.08581679409839925,0,0,0,0,0,0.4906728585834775,0,0.4906728585834775,0.4906728585834775,1.3169652006394226,1.7896253602305476,2.1580188679245276,-0.31468531468531424,3.642515699294125,0,0,0,0,0,8.59243981340331,8.59243981340331,Blue Socks,OF,2,1,0,0.4906728585834775
J.T. Realmuto,PHI,hitter,14.17753388039593,500,454,114,15,56,58,7,0.251374,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.3265537601985595,0.05775377010209177,0.03129118491137477,0.7884810316625619,0,0,0,0,0,0,0.7884810316625619,1,0,0,0,0,0,0,0,1,0,0,C,0.30256973257349196,0.30256973257349196,0.08319940973740216,0.06011825224254059,0.13850383622214762,0.01650107717202622,0.00424715719937533,0,0,0,0,0,0.10932814998551192,0.12023650448508122,0.18804992397641185,0.04125269293006554,0.02704402771199943,0,0,0,0,0,0.48591129908907,0,0.48591129908907,0.48591129908907,1.759642579005615,1.8563194730341703,1.768867924528302,2.622377622377623,1.1478906494706822,0,0,0,0,0,9.155098248416392,9.155098248416392,Blue Socks,C,2,13,0,0.48591129908907
Aaron Nola,PHI,pitcher,11.708776771275904,NA,NA,NA,NA,NA,NA,NA,NA,180,11,0,177,4.115,1.20929,0,0,0,0,0,0,0.26982902612583237,0,0.4884469902691774,0.06880099948311952,0.08978368303320108,0.9168606989113304,0.9168606989113304,0,0,0,0,0,0,0,0,0,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.13000853076971924,-0.03627746556510604,0.2555378039487335,0.04546751517623178,0.07815212374364199,0,0.47288850807322047,0.47288850807322047,0.47288850807322047,0,0,0,0,0,6.740461610927938,-3.9795918367346976,6.378712113480968,3.5634976719739666,5.80199544062635,18.505075000274523,18.505075000274523,Blue Socks,P,2,20,0,0.47288850807322047
Nolan Arenado,ARI,hitter,9.24618390489598,595,543,138,17,64,75,3,0.253519,NA,NA,NA,NA,NA,NA,0.22003149682618753,0.20440205762463803,0.42226779336020626,0.02475161575803933,0.04604464593343087,0.917497609502502,0,0,0,0,0,0,0.917497609502502,0,0,0,1,0,0,1,0,1,0,0,3B,0.4518055273846128,0.4518055273846128,0.1182669295440758,0.08416555313955683,0.18917597142537235,0.04785312379887603,0.01234394947673169,0,0,0,0,0,0.10176456728211172,0.1202365044850812,0.2330918219348339,-0.0231015080408367,0.03370069645669918,0,0,0,0,0,0.46569208211788926,0,0.46569208211788926,0.46569208211788926,1.637906299954912,2.3009468917249905,1.7688679245283017,-1.4685314685314683,1.4304346510534869,0,0,0,0,0,5.669624298730222,5.669624298730222,Blue Socks,3B,2026,33,0,0.46569208211788926
Zack Wheeler,PHI,pitcher,20.922357034624465,NA,NA,NA,NA,NA,NA,NA,NA,147,10,0,160,3.3133,1.10709,0,0,0,0,0,0,0.2452991146598476,0,0.4415340025032112,0.10879010056573572,0.11177706186703588,0.9074002795958304,0.9074002795958304,0,0,0,0,0,0,0,0,0,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.10547861930373448,-0.03627746556510604,0.2086248161827673,0.08545661625884798,0.1001455025774768,0,0.46342808875772046,0.46342808875772046,0.46342808875772046,0,0,0,0,0,5.468676401318893,-3.9795918367346976,5.2076742524747415,6.697626908196823,7.434778756105462,20.82916448136122,20.82916448136122,Blue Socks,IL,Opt,28,0,0.46342808875772046
