team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,268,11.18509037692112,7813,6993,1807,257,978,962,150,0.2584012584012584,1271,78,49,1282,547.5150111111111,1548.503666,3.876974901652242,1.2183349063729347,9,9,10,6,8,7,6,8,6,9,42,36,78,1,1
NATIONAL PASTIME,23,254,10.359562557373529,7527,6737,1710,256,914,924,134,0.253822176042749,1285,80,52,1240,551.05916,1575.2128699999998,3.859558319066148,1.2258465914396885,8,4,8,5,6,9,7,7,8,8,31,39,70,2,1
HOOSIERS,23,238,10.185407320277646,7888,6989,1755,255,1002,943,223,0.25110888539132925,1058,63,54,990,455.1680866666666,1329.03062,3.871940245746692,1.2561726086956522,7,10,9,10,3,3,8,3,7,5,39,26,65,3,1
BLUE SOCKS,22,265,10.405823491473887,7458,6722,1734,225,922,896,204,0.2579589407914311,1079,68,78,1120,462.0616633333334,1311.1278499999999,3.8540824559777582,1.2151323911028729,2,6,2,9,7,5,9,5,9,10,26,38,64,4,1
LOUISVILLE SLUGGERS,23,218,10.382200907967826,7567,6826,1822,235,974,905,181,0.26692059771462057,911,60,94,972,380.4915333333334,1126.6290199999999,3.7589723380900115,1.2366948627881447,4,8,4,8,10,2,10,1,10,6,34,29,63,5,1
MELONHEADS,23,232,9.944083128301306,7146,6354,1605,255,907,906,175,0.2525967894239849,1300,81,0,1311,560.593628888889,1599.22828,3.881032815384616,1.2301756,7,3,5,7,4,10,1,10,5,7,26,33,59,6,1
BIG RED MACHINE,23,200,9.615372446782535,7385,6553,1629,261,920,913,115,0.2485884327788799,1281,78,27,1222,555.5544766666667,1613.7957400000003,3.903193044496487,1.2597937080405934,10,5,6,1,2,7,4,6,4,4,24,25,49,7,1
ERIE LAKERS,23,191,8.132241345889279,7394,6574,1703,248,938,914,126,0.25905080620626714,1137,66,8,981,533.4471011111112,1513.28552,4.222536420404574,1.3309459278803868,6,7,7,4,9,4,2,2,1,1,33,10,43,8,1
FREE BIRDS,23,245,9.323902061521743,7438,6594,1666,240,899,901,117,0.2526539278131635,1307,79,19,1302,578.7411577777779,1650.3647799999999,3.9852107268553945,1.2627121499617444,5,2,3,2,5,8,3,9,3,3,17,26,43,8,1
FREE AT LAST,23,237,7.984590515954186,7288,6386,1571,232,896,853,123,0.24600689007203258,1205,74,32,1075,538.0896744444445,1534.0555000000002,4.018927029045644,1.2730751037344399,3,1,1,3,1,6,5,4,2,2,9,19,28,9,1
WESTSIDE MARAUDERS,23,264,11.119812026606938,7484,6663,1703,275,954,951,136,0.2555905748161489,1369,85,32,1354,589.4790255555556,1672.9622060000002,3.8753186486486486,1.2220322907231558,10,8,9,3,6,10,3,9,5,9,36,36,72,1,2
LOUISVILLE SLUGGERS,23,218,10.708936340980054,7543,6790,1787,248,967,917,183,0.26318114874815907,1129,73,38,1199,482.5127688888889,1410.04807,3.8464259698848537,1.2489354030115147,7,9,6,9,10,6,4,8,7,4,41,29,70,2,2
HOOSIERS,23,230,10.189544571134084,7958,7052,1757,269,1010,982,201,0.249149177538287,1101,69,24,1071,463.8487155555556,1361.4343199999998,3.791678873751136,1.2365434332425067,9,10,10,10,3,4,2,3,10,7,42,26,68,3,2
NATIONAL PASTIME,23,263,10.481136121703582,7542,6768,1744,243,935,903,149,0.2576832151300236,1195,75,74,1170,504.54534111111116,1475.08535,3.7999230711297076,1.2343810460251046,5,5,4,5,7,8,10,6,9,8,26,41,67,4,2
BLUE SOCKS,22,265,10.107008740970603,7438,6740,1748,220,906,893,163,0.2593471810089021,1151,75,40,1182,486.3649666666667,1380.60865,3.803027541268462,1.1994862293657689,2,2,3,7,8,8,6,7,8,10,22,39,61,5,2
MELONHEADS,23,220,9.79946136927047,7489,6629,1671,248,941,911,172,0.2520742193392669,1191,74,44,1143,518.1323077777778,1485.6805200000001,3.915357489504618,1.2474227707808565,7,6,5,8,4,7,7,5,4,6,30,29,59,6,2
BIG RED MACHINE,23,210,9.79806430102002,7657,6794,1692,268,949,932,123,0.249043273476597,1186,71,59,1114,509.0987844444445,1481.04948,3.86331286677909,1.2487769645868465,8,7,8,2,2,5,8,4,6,5,27,28,55,7,2
FREE BIRDS,23,244,9.310488572295899,7351,6537,1664,229,881,882,140,0.25455101728621693,1371,83,0,1355,617.2036911111112,1730.60206,4.051665368344275,1.262291801604668,3,1,2,4,5,9,1,10,3,3,15,26,41,8,2
ERIE LAKERS,23,192,8.20521705491516,7373,6563,1723,246,926,921,115,0.26253237848544875,1069,59,39,924,505.3494311111111,1431.8367600000001,4.2545789335827875,1.339416987839102,6,4,7,1,9,2,5,1,1,1,27,10,37,9,2
FREE AT LAST,23,247,8.357193622983369,7400,6471,1581,240,921,877,161,0.24432081594807603,1072,63,63,983,486.18646111111116,1371.92643,4.081789319029851,1.2797821175373134,4,3,1,6,1,3,9,2,2,2,15,18,33,10,2
WESTSIDE MARAUDERS,23,269,11.06025752684306,7680,6882,1782,258,964,947,141,0.25893635571054924,1274,78,51,1283,538.8940411111112,1560.980876,3.806943775510204,1.2252597142857145,8,8,8,4,8,9,5,10,9,9,36,42,78,1,3
LOUISVILLE SLUGGERS,23,223,10.643637250029357,7396,6647,1729,253,964,920,181,0.2601173461712051,940,65,77,1082,377.29708222222223,1130.4697399999998,3.6124188723404256,1.202627382978723,7,8,6,8,9,4,10,2,10,10,38,36,74,2,3
BLUE SOCKS,23,257,10.449837388912556,8065,7270,1862,243,980,953,184,0.256121045392022,1094,68,68,1130,468.67560444444445,1365.18278,3.8556493967093233,1.247881882998172,4,9,9,9,6,5,9,6,7,6,37,33,70,3,3
HOOSIERS,23,232,10.201226880496074,7937,7063,1765,260,995,968,222,0.24989381282741044,1167,74,8,1120,495.4577777777778,1469.43624,3.8210111396743787,1.2591570179948586,9,10,10,10,2,7,2,5,8,3,41,25,66,4,3
NATIONAL PASTIME,23,258,10.447149655254211,7702,6938,1787,242,931,918,147,0.25756702219659844,1258,78,52,1217,543.3549966666667,1551.5978,3.8872774006359303,1.2333845786963433,3,6,5,5,7,9,6,8,6,8,26,37,63,5,3
MELONHEADS,23,211,9.707256962120638,7279,6449,1617,250,919,897,160,0.2507365483020623,1393,84,0,1269,610.1486033333333,1726.7742799999999,3.9420943503230435,1.23960824120603,6,5,3,7,3,10,1,9,5,7,24,32,56,6,3
BIG RED MACHINE,23,208,9.821811945804527,7559,6704,1691,261,951,936,136,0.25223747016706444,1189,70,54,1110,523.5922222222223,1493.70229,3.9632716568545003,1.2562676955424725,10,7,7,3,4,6,7,3,4,4,31,24,55,7,3
FREE BIRDS,23,257,9.33945579165665,7341,6515,1652,240,890,897,113,0.25356868764389867,1208,75,57,1200,533.64169,1511.2570999999998,3.9758072930463584,1.251040645695364,2,2,3,1,5,8,8,7,3,5,13,31,44,8,3
ERIE LAKERS,23,194,8.156812667555199,7282,6474,1689,249,918,911,120,0.2608897126969416,1110,65,14,967,517.9104277777777,1453.7708,4.199273738738738,1.3097034234234235,5,4,4,2,10,4,3,1,1,1,25,10,35,9,3
FREE AT LAST,23,240,8.162225626013205,7393,6462,1592,226,915,847,157,0.2463633549984525,1201,70,32,1117,553.7490477777778,1538.06194,4.149659808492922,1.2806510741049126,1,3,2,6,1,6,4,4,2,2,13,18,31,10,3
WESTSIDE MARAUDERS,23,266,11.13601051532409,7498,6732,1727,259,944,938,158,0.2565359477124183,1306,82,54,1318,555.5215411111111,1604.5379360000002,3.828249517611026,1.2285895375191425,9,7,8,6,8,10,7,10,9,8,38,44,82,1,4
HOOSIERS,23,239,10.452958826334653,7863,6982,1774,252,993,959,202,0.2540819249498711,1264,75,16,1173,534.7070277777779,1587.6926799999999,3.8072494066455698,1.2560859810126581,7,10,10,10,5,8,3,7,10,4,42,32,74,2,4
BLUE SOCKS,23,265,10.398256931334043,7768,7004,1787,240,962,937,191,0.2551399200456882,1137,71,56,1161,486.14529222222234,1372.79694,3.8481157695690422,1.2073851715039576,3,8,7,9,6,6,8,6,7,10,33,37,70,3,4
LOUISVILLE SLUGGERS,23,219,10.643345984875808,7757,6961,1820,248,981,928,184,0.2614566872575779,968,62,85,1000,413.67560000000003,1192.74841,3.846157438016529,1.2321781095041322,5,9,6,8,10,4,10,2,8,7,38,31,69,4,4
NATIONAL PASTIME,23,252,10.454379286809015,7660,6898,1764,260,937,941,139,0.25572629747752973,1163,71,79,1110,514.0805511111112,1424.3936200000003,3.9782673774720556,1.2247580567497853,10,5,9,3,7,6,9,4,3,9,34,31,65,5,4
MELONHEADS,23,217,9.729417806217647,7332,6481,1620,254,931,905,160,0.2499614257059096,1339,82,0,1271,577.6717377777779,1667.2620800000002,3.8827824047796873,1.245154652725915,8,4,3,7,2,10,2,8,6,6,24,32,56,6,4
BIG RED MACHINE,23,204,9.763887477987797,7461,6621,1670,259,937,918,117,0.252227760157076,1221,72,46,1159,526.95487,1545.51181,3.8841882309582307,1.2657754381654382,9,5,5,1,3,7,6,5,5,3,23,26,49,7,4
