team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,39,48,1.36,74.5,11.086175133366192,34.94,39.56,60,83
LOUISVILLE SLUGGERS,50,10,41,2.38,69.16,10.666172548652176,40.78,28.38,57,77
HOOSIERS,50,2,29,3.32,65.68,10.274889998369709,40.12,25.56,57,75
NATIONAL PASTIME,50,1,22,3.52,65.14,10.43185093786085,27.38,37.76,53,73
BLUE SOCKS,50,1,25,3.68,64.32,10.254054511910677,28.4,35.92,50,73
MELONHEADS,50,0,1,5.42,57.04,9.810585241447212,24.92,32.12,47,66
BIG RED MACHINE,50,0,0,5.98,54.22,9.749133397957479,26.5,27.72,49,63
FREE BIRDS,50,0,0,7.4,44.28,9.21315491265328,14.78,29.5,37,55
ERIE LAKERS,50,0,0,8.48,38.02,8.189293782562268,26.54,11.48,28,49
FREE AT LAST,50,0,0,8.74,36.46,8.290138793244127,19.36,17.1,28,45
