team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
MELONHEADS,50,7,21,3.92,63.74,10.628689433870678,24.96,38.78,49,76,50,7,25,3.6,65.54,10.644158585073283,27.08,38.46,50,76,1.8000000000000043,-0.31999999999999984,0,4,2.1199999999999974,-0.3200000000000003
WESTSIDE MARAUDERS,50,28,47,1.64,72.86,10.977110514745137,32.84,40.02,60,80,50,34,50,1.4,74.56,10.988931601834675,34.28,40.28,66,82,1.7000000000000028,-0.24,6,3,1.4399999999999977,0.259999999999998
NATIONAL PASTIME,50,0,23,3.76,64.5,10.401029004269988,27.92,36.58,55,72,50,0,18,3.74,65.58,10.449464118053072,30.66,34.92,58,70,1.0799999999999983,-0.019999999999999574,0,-5,2.7399999999999984,-1.6599999999999966
BLUE SOCKS,50,0,3,5.08,59.62,10.095731880324967,29.54,30.08,50,66,50,0,3,5.3,59.86,9.910558495261714,27.12,32.74,50,69,0.240000000000002,0.21999999999999975,0,0,-2.419999999999998,2.6600000000000037
FREE BIRDS,50,0,0,7.5,44.88,9.18924514337818,15.84,29.04,39,53,50,0,0,7.5,45.06,9.203187780214725,16.2,28.86,37,51,0.17999999999999972,0,0,0,0.35999999999999943,-0.17999999999999972
HOOSIERS,50,4,27,3.44,64.92,10.271197460719389,40.08,24.84,58,75,50,0,24,3.8,65.1,10.260558517422103,39.92,25.18,59,73,0.1799999999999926,0.3599999999999999,-4,-3,-0.1599999999999966,0.33999999999999986
BIG RED MACHINE,50,0,0,6.1,55.64,9.73983718303395,27.1,28.54,46,61,50,0,0,6.22,55.72,9.768427984554595,27.74,27.98,49,61,0.0799999999999983,0.1200000000000001,0,0,0.639999999999997,-0.5599999999999987
ERIE LAKERS,50,0,0,8.58,37.1,8.013327332462826,23.86,13.24,29,46,50,0,0,8.58,36.64,8.050611558148876,24.02,12.62,29,44,-0.46000000000000085,0,0,0,0.16000000000000014,-0.620000000000001
LOUISVILLE SLUGGERS,50,14,45,2.12,70.62,10.688457301544734,41.98,28.64,61,77,50,10,43,2.34,69.96,10.710864110417495,40.74,29.22,59,78,-0.6600000000000108,0.21999999999999975,-4,-2,-1.2399999999999949,0.5799999999999983
FREE AT LAST,50,0,0,9.14,32.16,8.097773093787977,18.08,14.08,22,43,50,0,0,9.42,30.82,8.121588747630135,15.76,15.06,24,40,-1.3399999999999963,0.27999999999999936,0,0,-2.3199999999999985,0.9800000000000004
