team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,267,11.0670124030881,7568,6768,1744,255,953,935,150,0.2576832151300236,1265,78,59,1292,541.9138188888888,1528.508426,3.8555133359683795,1.2083070561264824,8,9,9,4,7,9,8,10,7,9,37,43,80,1,1
LOUISVILLE SLUGGERS,23,214,10.62726128767614,7293,6554,1708,250,936,905,158,0.26060421116875193,1074,68,77,1089,454.34198000000004,1328.6854999999998,3.8073350279329614,1.2371373370577279,7,6,6,6,9,4,10,3,9,8,34,34,68,2,1
HOOSIERS,23,224,10.267780206544797,7938,7074,1778,261,989,975,217,0.2513429459994346,1303,79,2,1155,582.0336811111112,1695.21572,4.020186592478895,1.3010097620874903,9,10,10,10,3,10,3,7,4,1,42,25,67,3,1
NATIONAL PASTIME,23,268,10.485394041522627,7598,6834,1779,235,939,905,160,0.2603160667251975,1179,73,74,1152,503.06753444444445,1462.18729,3.8402101865988127,1.24019278201866,3,7,6,7,8,6,9,6,8,7,31,36,67,3,1
BIG RED MACHINE,23,203,9.756789859505167,7573,6701,1659,270,944,931,117,0.24757498880764064,1203,74,59,1136,520.6399922222222,1520.5505600000001,3.8950622859517874,1.263965552784705,10,8,8,3,2,7,8,5,6,4,31,30,61,4,1
BLUE SOCKS,23,203,9.872958436271587,7698,6936,1780,231,939,910,186,0.2566320645905421,1273,78,29,1197,573.2626488888889,1588.21691,4.052917391987431,1.2476173684210528,2,7,7,9,6,9,5,8,2,5,31,29,60,5,1
MELONHEADS,19,270,10.389949977576626,6964,6220,1581,236,887,862,176,0.2541800643086817,1092,70,0,1104,448.6338766666667,1279.09573,3.697531950549451,1.1713330860805862,4,3,3,8,4,5,2,4,10,10,22,31,53,6,1
FREE BIRDS,23,255,9.12717649295352,7375,6504,1659,229,900,880,110,0.2550738007380074,1233,77,27,1270,540.9056377777779,1532.61032,3.948216334144364,1.2429929602595295,1,4,5,2,5,8,4,9,5,6,17,32,49,7,1
ERIE LAKERS,23,211,8.083638671991302,7349,6533,1706,246,924,910,107,0.2611357722332772,973,57,41,902,440.3762811111111,1259.20259,4.073367451181912,1.2941444912641316,6,5,7,1,10,2,7,1,1,2,29,13,42,8,1
FREE AT LAST,22,222,8.22208499295703,7277,6390,1564,239,900,869,152,0.24475743348982787,1071,63,33,1043,479.760758888889,1383.6053,4.031603015873016,1.291881699346405,5,4,4,5,1,3,6,2,3,3,19,17,36,9,1
WESTSIDE MARAUDERS,23,266,11.076077767865442,7708,6869,1746,268,969,957,145,0.2541854709564711,1334,82,32,1337,575.2071288888887,1629.908486,3.880707766116941,1.2218204542728637,9,8,9,5,5,10,5,10,5,9,36,39,75,1,2
LOUISVILLE SLUGGERS,23,215,10.740441767920917,7744,6929,1792,261,994,936,165,0.2586231779477558,1064,70,67,1107,448.30771555555555,1339.4447300000002,3.7920765413533837,1.2588766259398498,7,9,8,9,8,5,9,5,9,5,41,33,74,2,2
MELONHEADS,21,270,10.67880583928937,7422,6610,1693,256,940,931,152,0.2561270801815431,1206,77,0,1197,506.0756311111112,1436.5192699999998,3.7766838142620234,1.1911436733001657,6,6,7,6,6,8,3,7,10,10,31,38,69,3,2
NATIONAL PASTIME,23,270,10.50877005519855,7507,6754,1758,231,928,892,162,0.2602901984009476,1252,79,52,1236,532.5136055555556,1540.05618,3.8279732028754,1.230076821086262,3,5,4,8,9,9,7,8,8,8,29,40,69,3,2
HOOSIERS,23,229,10.226621153601435,7949,7065,1769,269,1001,983,194,0.25038924274593066,1161,72,27,1071,494.75914888888894,1471.82362,3.8353422394487517,1.2677206029285097,10,10,10,10,2,6,4,3,7,3,42,23,65,4,2
BLUE SOCKS,23,216,9.787691142290946,7680,6955,1782,220,920,892,194,0.25621854780733283,1063,69,83,1088,455.5387433333333,1317.31933,3.856866124176858,1.2392467826904987,1,4,4,10,7,4,10,4,6,7,26,31,57,5,2
BIG RED MACHINE,23,213,9.814483085205577,7615,6737,1699,264,960,936,130,0.25218940181089505,1241,74,27,1190,545.1757944444445,1564.4125900000001,3.9537325946817083,1.2606064383561646,8,7,8,3,4,7,4,6,4,4,30,25,55,6,2
FREE BIRDS,23,248,9.29368978379949,7285,6462,1625,240,885,896,135,0.25147013308573196,1301,79,27,1272,583.2585733333334,1629.82384,4.034840245964643,1.2527469946195235,4,1,5,4,3,9,4,9,3,6,17,31,48,7,2
ERIE LAKERS,23,209,8.030092256740955,7286,6489,1691,241,907,903,113,0.26059485282786254,1009,56,39,926,470.1060366666666,1315.23556,4.193215391476709,1.3035040237859268,5,3,6,2,10,2,6,1,1,1,26,11,37,8,2
FREE AT LAST,22,222,8.150226674729225,7102,6221,1535,230,891,842,153,0.2467448963189198,1097,63,59,980,498.84219222222225,1412.62716,4.0925977484047404,1.2877184685505925,2,2,3,7,1,3,8,2,2,2,15,17,32,9,2
WESTSIDE MARAUDERS,23,262,10.813559046443942,7505,6689,1716,253,955,928,155,0.25654058902676036,1331,83,32,1339,575.3132066666666,1647.6592460000002,3.890171945905334,1.237910778362134,8,8,8,7,7,10,6,10,6,8,38,40,78,1,3
MELONHEADS,23,269,10.571621171088992,7244,6476,1636,253,913,905,173,0.2526250772081532,1277,81,27,1307,538.4274677777778,1515.61448,3.794711989036805,1.1868555050900549,8,4,5,9,5,9,5,9,10,10,31,43,74,2,3
LOUISVILLE SLUGGERS,23,197,10.736096277827915,7646,6880,1790,263,982,956,167,0.2601744186046512,1127,70,53,1131,496.54176666666666,1428.7741899999999,3.9652847382431236,1.2677676929902395,9,9,9,8,8,6,9,5,4,4,43,28,71,3,3
NATIONAL PASTIME,23,270,10.516571178660913,7492,6733,1760,228,918,893,147,0.2613990791623348,1298,81,52,1228,557.0965033333333,1588.40673,3.862764661016949,1.223733998459168,4,5,4,6,10,9,8,7,8,9,29,41,70,4,3
BLUE SOCKS,23,213,10.04047822775809,7796,7021,1800,227,948,906,209,0.25637373593505197,1163,73,48,1165,494.62242000000003,1474.2558800000002,3.8276885468615647,1.2676318830610491,3,7,6,10,6,7,7,6,9,5,32,34,66,5,3
HOOSIERS,23,234,10.23995812317109,8092,7176,1794,269,1028,988,209,0.25,1061,65,52,948,464.3007588888889,1348.72055,3.938460725730443,1.2711786522148916,10,10,10,10,2,4,8,1,5,3,42,21,63,6,3
BIG RED MACHINE,23,212,9.81528064818947,7566,6693,1664,269,947,924,117,0.24861795906170625,1102,68,89,1072,475.91920000000005,1379.62307,3.886817422867514,1.2519265607985481,10,6,7,3,1,5,10,4,7,7,27,33,60,7,3
FREE BIRDS,23,249,9.314014387309276,7327,6485,1635,239,890,891,134,0.25212027756360833,1301,79,27,1272,583.2585733333335,1629.82384,4.034840245964644,1.2527469946195235,7,1,3,5,4,8,5,8,3,6,20,30,50,8,3
ERIE LAKERS,23,208,7.987391145451748,7066,6274,1633,231,893,868,116,0.2602805227924769,1073,65,20,1015,481.1717622222222,1387.97857,4.035923448275861,1.2935494594594594,5,2,1,2,9,4,4,2,2,1,19,13,32,9,3
FREE AT LAST,22,230,8.096412506311776,7529,6653,1666,233,910,890,123,0.2504133473620923,1119,63,13,1030,504.2935688888889,1424.6268499999999,4.055980446827525,1.2731249776586238,6,3,2,4,3,3,3,3,1,2,18,12,30,10,3
WESTSIDE MARAUDERS,23,269,11.166394433451131,7568,6739,1733,251,961,929,168,0.25715981599643867,1375,85,32,1355,588.0429555555555,1683.0904560000001,3.8490084363636363,1.2240657861818183,8,8,7,8,7,10,5,10,6,9,38,40,78,1,4
HOOSIERS,23,241,10.447092360744946,7825,6930,1732,270,990,976,208,0.24992784992784992,1028,65,63,997,434.5114422222222,1297.02329,3.804088501945525,1.2616958073929962,10,10,10,10,3,4,8,2,9,3,43,26,69,2,4
MELONHEADS,19,270,10.480995037798145,7500,6641,1687,265,965,939,153,0.25402800783014606,934,61,0,959,380.33907888888893,1087.17471,3.664937591006425,1.163998618843683,9,9,9,6,6,3,2,1,10,10,39,26,65,3,4
LOUISVILLE SLUGGERS,23,208,10.55416155201823,7396,6700,1771,240,945,900,152,0.2643283582089552,1044,65,93,1063,444.40428000000003,1293.51621,3.831071379310345,1.2390002011494252,6,7,3,5,10,4,10,4,7,7,31,32,63,4,4
BLUE SOCKS,23,212,9.801416091816117,7778,7066,1819,224,924,917,185,0.25742994622134163,1052,68,73,1087,452.5591977777778,1309.8014699999999,3.871704163498099,1.2450584315589353,3,5,6,9,8,6,9,6,4,6,31,31,62,5,4
NATIONAL PASTIME,23,256,10.361505255035231,7401,6594,1670,251,915,902,139,0.25326053988474373,1298,81,52,1246,550.23121,1593.60319,3.815162473035439,1.227737434514638,8,3,4,4,4,8,6,8,8,8,23,38,61,6,4
BIG RED MACHINE,23,210,9.798822487414958,7601,6761,1684,265,938,935,129,0.24907558053542375,1185,72,59,1122,509.55279333333334,1493.2718100000002,3.870021215189874,1.2601449873417723,9,6,8,3,2,7,7,7,5,4,28,30,58,7,4
FREE BIRDS,23,245,9.202818305973153,7533,6665,1691,237,913,890,124,0.25371342835708927,1354,83,0,1311,612.06095,1696.47965,4.068351957163959,1.2529391802067946,5,2,2,2,5,9,2,9,3,5,16,28,44,8,4
