team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,34,50,1.4,74.56,10.988931601834675,34.28,40.28,66,82
LOUISVILLE SLUGGERS,50,10,43,2.34,69.96,10.710864110417495,40.74,29.22,59,78
MELONHEADS,50,7,25,3.6,65.54,10.644158585073283,27.08,38.46,50,76
NATIONAL PASTIME,50,0,18,3.74,65.58,10.449464118053072,30.66,34.92,58,70
HOOSIERS,50,0,24,3.8,65.1,10.260558517422103,39.92,25.18,59,73
BLUE SOCKS,50,0,3,5.3,59.86,9.910558495261714,27.12,32.74,50,69
BIG RED MACHINE,50,0,0,6.22,55.72,9.768427984554595,27.74,27.98,49,61
FREE BIRDS,50,0,0,7.5,45.06,9.203187780214725,16.2,28.86,37,51
ERIE LAKERS,50,0,0,8.58,36.64,8.050611558148876,24.02,12.62,29,44
FREE AT LAST,50,0,0,9.42,30.82,8.121588747630135,15.76,15.06,24,40
