team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
FREE BIRDS,50,0,0,7.54,44.46,9.16027383496284,15.48,28.98,39,52,50,0,0,7.38,46.06,9.253502776485197,16.52,29.54,39,56,1.6000000000000014,-0.16000000000000014,0,0,1.0399999999999991,0.5599999999999987
BIG RED MACHINE,50,0,0,5.96,55.04,9.73511036076573,27.02,28.02,49,62,50,0,2,5.86,56.62,9.787520213613396,28.3,28.32,50,65,1.5799999999999983,-0.09999999999999964,0,2,1.2800000000000011,0.3000000000000007
NATIONAL PASTIME,50,2,29,3.4,65.24,10.394144329901817,27.66,37.58,60,73,50,1,37,3.1,66.6,10.494220051175246,30.6,36,57,75,1.3599999999999994,-0.2999999999999998,-1,8,2.9400000000000013,-1.5799999999999983
WESTSIDE MARAUDERS,50,36,47,1.48,73.54,11.011058352237342,33.62,39.92,62,81,50,36,48,1.38,74.1,11.035682612876428,34.46,39.64,63,84,0.5599999999999881,-0.10000000000000009,0,1,0.8400000000000034,-0.28000000000000114
LOUISVILLE SLUGGERS,50,7,42,2.4,69.28,10.648441450762672,40.48,28.8,63,78,50,12,46,2.1,69.78,10.739923508118157,42,27.78,59,80,0.5,-0.2999999999999998,5,4,1.5200000000000031,-1.0199999999999996
HOOSIERS,50,2,25,3.42,64.64,10.271017326219091,40.16,24.48,55,74,50,2,19,3.7,64.52,10.322929145157966,39.94,24.58,55,75,-0.12000000000000455,0.28000000000000025,0,-6,-0.21999999999999886,0.09999999999999787
BLUE SOCKS,50,0,3,5.1,59.14,10.05459457133149,28.9,30.24,50,67,50,0,3,5.3,58.7,9.663624544853045,24.08,34.62,50,68,-0.4399999999999977,0.20000000000000018,0,0,-4.82,4.379999999999999
FREE AT LAST,50,0,0,9.12,33.88,8.113002765053743,19.72,14.16,21,43,50,0,0,9.04,33.36,8.206866523653307,19.5,13.86,26,45,-0.5200000000000031,-0.08000000000000007,0,0,-0.21999999999999886,-0.3000000000000007
ERIE LAKERS,50,0,0,8.5,38.9,8.056035924360822,25.76,13.14,30,46,50,0,0,8.54,37.24,8.126914434440645,25.18,12.06,30,53,-1.6599999999999966,0.03999999999999915,0,0,-0.5800000000000018,-1.08
MELONHEADS,50,4,19,4.2,62.64,10.59009042884226,24.4,38.24,48,78,50,3,13,4.6,60.66,10.60026613059852,22.58,38.08,48,75,-1.980000000000004,0.39999999999999947,-1,-6,-1.8200000000000003,-0.1600000000000037
