team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,267,11.062711446388116,7484,6660,1698,277,950,953,142,0.25495495495495496,1344,85,32,1333,571.5137633333334,1659.3896060000002,3.82710109375,1.2346648854166669,10,8,8,5,4,10,6,10,7,7,35,40,75,1,1
LOUISVILLE SLUGGERS,23,210,10.852979290416258,7823,7047,1828,270,989,970,169,0.259401163615723,1058,64,69,1064,469.7894788888889,1321.92059,3.99631881852552,1.2494523534971644,9,9,10,7,10,3,9,3,5,6,45,26,71,2,1
NATIONAL PASTIME,23,265,10.42394813158337,7517,6731,1720,244,917,896,136,0.25553409597385235,1209,77,84,1194,504.5398711111111,1469.2999100000002,3.755879933829611,1.2153018279569894,5,4,4,4,6,8,10,8,8,8,23,42,65,3,1
BIG RED MACHINE,23,212,9.865558904354456,7563,6760,1728,250,942,926,143,0.2556213017751479,1251,76,27,1192,548.0785488888889,1581.2376100000001,3.9430111430855317,1.2639789048760992,7,7,7,6,7,7,5,7,6,4,34,29,63,4,1
HOOSIERS,23,232,10.337413368546372,7937,7039,1774,258,1022,966,225,0.25202443528910357,1210,72,14,1078,538.1870766666667,1557.57027,4.003044371900827,1.2872481570247933,8,10,9,10,3,5,4,4,4,3,40,20,60,5,1
BLUE SOCKS,23,214,9.570511214450853,7431,6692,1684,228,891,876,206,0.25164375373580394,1064,72,48,1189,439.27614000000005,1285.0675299999998,3.7156816353383464,1.2077702349624058,2,2,2,9,2,5,8,6,10,9,17,38,55,6,1
FREE BIRDS,23,249,9.267187535902208,7410,6580,1691,236,893,903,97,0.2569908814589666,1286,78,27,1258,577.2912144444444,1615.4715800000001,4.040140692068429,1.256198740279938,3,3,5,1,8,9,5,9,3,5,20,31,51,7,1
MELONHEADS,19,270,10.37597690483392,6497,5796,1478,225,840,815,173,0.2550034506556246,1158,73,27,1175,478.28782555555557,1357.79811,3.717262892918826,1.1725372279792745,1,1,1,8,5,6,5,5,9,10,16,35,51,7,1
ERIE LAKERS,23,195,8.245577310942203,7475,6602,1709,246,935,920,108,0.25886095122690095,981,58,41,906,447.8635922222222,1264.1086800000003,4.108840295616718,1.2885919266055048,6,6,6,2,9,2,7,1,2,2,29,14,43,8,1
FREE AT LAST,22,221,8.263870000651602,7473,6559,1618,242,926,882,123,0.24668394572343344,1147,65,32,1043,525.3067022222223,1500.3797399999999,4.121848578901482,1.3080904446381865,4,5,3,3,1,4,6,2,1,1,16,14,30,9,1
WESTSIDE MARAUDERS,23,266,11.181346015588566,7778,6935,1776,266,981,955,143,0.2560922855082913,1343,85,32,1335,580.5628033333334,1653.992756,3.890592129560685,1.2315657155621742,9,8,9,5,6,10,5,10,6,7,37,38,75,1,2
LOUISVILLE SLUGGERS,23,209,10.70274687190247,7743,6961,1817,250,987,941,184,0.26102571469616437,1092,69,52,1078,467.6934033333334,1376.3227399999998,3.8546159615384616,1.2603688095238095,7,9,7,9,10,5,8,3,7,4,42,27,69,2,2
NATIONAL PASTIME,23,260,10.411362664434007,7422,6687,1738,231,916,883,158,0.25990728278749814,1271,80,52,1239,543.0325588888888,1560.3755899999999,3.8452344846577495,1.2276755232100707,4,5,3,6,8,9,8,9,8,8,26,42,68,3,2
HOOSIERS,23,229,10.30821680174539,7895,7024,1762,261,990,962,211,0.25085421412300685,1264,76,11,1140,555.0294466666667,1610.9558100000002,3.9519501740506326,1.2744903560126584,8,10,10,10,3,8,4,6,5,3,41,26,67,4,2
MELONHEADS,19,270,10.57822238354482,7155,6371,1632,244,918,899,168,0.2561607283001099,1087,71,0,1084,446.4805744444444,1296.4851600000002,3.6967112879484816,1.192718638454462,5,6,4,7,7,6,3,4,10,10,29,33,62,5,2
BIG RED MACHINE,23,204,9.815117927249524,7587,6710,1674,271,951,943,118,0.24947839046199702,1219,71,54,1135,537.8447688888889,1529.02871,3.97096219852338,1.2543303609515997,10,7,8,3,2,6,9,5,4,6,30,30,60,6,2
BLUE SOCKS,23,211,9.295461804888653,7393,6667,1695,225,890,875,183,0.2542372881355932,1067,69,48,1166,448.2707777777778,1287.09706,3.7811030927835056,1.2062765323336457,3,3,2,8,5,5,7,7,9,9,21,37,58,7,2
FREE BIRDS,23,251,9.284503346756633,7341,6523,1647,244,891,904,100,0.2524911850375594,1187,75,57,1201,525.0382488888889,1490.47901,3.9809134288121317,1.2556689216512216,5,4,5,2,4,7,10,8,3,5,20,33,53,8,2
ERIE LAKERS,23,199,8.224114784170245,7215,6403,1671,249,916,910,125,0.26097141964704046,976,55,41,919,438.71351444444446,1257.40619,4.045513965163935,1.2883260143442623,6,5,6,4,9,3,6,1,2,1,30,13,43,9,2
FREE AT LAST,22,232,8.092115250907487,7151,6250,1539,224,881,829,158,0.24624,1078,62,54,1032,496.30773444444446,1381.7879599999999,4.1435710667903525,1.281807012987013,2,2,1,6,1,4,9,2,1,2,12,18,30,10,2
WESTSIDE MARAUDERS,23,268,11.06135780409259,7484,6648,1699,265,959,935,161,0.2555655836341757,1336,84,32,1327,577.2029655555556,1639.617116,3.8883433308383233,1.2272583203592813,8,8,9,7,7,10,5,10,5,8,39,38,77,1,3
HOOSIERS,23,244,10.570559569012385,8042,7151,1796,276,1018,1007,211,0.25115368479932876,1075,67,38,1008,448.0319244444445,1341.01397,3.7509649488372094,1.2474548558139535,10,10,10,10,3,4,6,2,10,5,43,27,70,2,3
LOUISVILLE SLUGGERS,23,219,10.680279787818309,7554,6781,1764,253,960,920,172,0.26013862262203213,1021,67,64,1113,431.1176944444444,1257.2109300000002,3.8002539177277175,1.2313525269343784,6,9,7,8,8,4,9,4,8,7,38,32,70,2,3
