team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,36,48,1.38,74.1,11.035682612876428,34.46,39.64,63,84
LOUISVILLE SLUGGERS,50,12,46,2.1,69.78,10.739923508118157,42,27.78,59,80
NATIONAL PASTIME,50,1,37,3.1,66.6,10.494220051175246,30.6,36,57,75
HOOSIERS,50,2,19,3.7,64.52,10.322929145157966,39.94,24.58,55,75
MELONHEADS,50,3,13,4.6,60.66,10.60026613059852,22.58,38.08,48,75
BLUE SOCKS,50,0,3,5.3,58.7,9.663624544853045,24.08,34.62,50,68
BIG RED MACHINE,50,0,2,5.86,56.62,9.787520213613396,28.3,28.32,50,65
FREE BIRDS,50,0,0,7.38,46.06,9.253502776485197,16.52,29.54,39,56
ERIE LAKERS,50,0,0,8.54,37.24,8.126914434440645,25.18,12.06,30,53
FREE AT LAST,50,0,0,9.04,33.36,8.206866523653307,19.5,13.86,26,45
