team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,3,5.1,59.14,10.05459457133149,28.9,30.24,50,67,50,1,18,3.9,63.8,10.110340086451242,30.82,32.98,54,71,4.659999999999997,-1.1999999999999997,1,15,1.9200000000000017,2.7399999999999984
MELONHEADS,50,4,19,4.2,62.64,10.590090428842261,24.4,38.24,48,78,50,6,23,3.98,63.7,10.610001473135574,25.3,38.4,49,76,1.0600000000000023,-0.2200000000000002,2,4,0.9000000000000021,0.1599999999999966
FREE BIRDS,50,0,0,7.54,44.46,9.16027383496284,15.48,28.98,39,52,50,0,0,7.4,45.5,9.175898760982017,16.2,29.3,39,54,1.0399999999999991,-0.13999999999999968,0,0,0.7199999999999989,0.3200000000000003
WESTSIDE MARAUDERS,50,36,47,1.48,73.54,11.011058352237342,33.62,39.92,62,81,50,35,49,1.46,74.34,11.016203322962095,35.3,39.04,62,83,0.7999999999999972,-0.020000000000000018,-1,2,1.6799999999999997,-0.8800000000000026
LOUISVILLE SLUGGERS,50,7,42,2.4,69.28,10.648441450762673,40.48,28.8,63,78,50,13,46,2.24,69.82,10.673408622537025,41.16,28.66,60,81,0.539999999999992,-0.1599999999999997,6,4,0.6799999999999997,-0.14000000000000057
BIG RED MACHINE,50,0,0,5.96,55.04,9.73511036076573,27.02,28.02,49,62,50,0,0,6.1,55.4,9.731321910361311,27.02,28.38,48,62,0.35999999999999943,0.13999999999999968,0,0,0,0.35999999999999943
NATIONAL PASTIME,50,2,29,3.4,65.24,10.394144329901817,27.66,37.58,60,73,50,1,19,3.86,64.74,10.414834925069028,28.26,36.48,58,71,-0.5,0.45999999999999996,-1,-10,0.6000000000000014,-1.1000000000000014
ERIE LAKERS,50,0,0,8.5,38.9,8.056035924360822,25.76,13.14,30,46,50,0,0,8.36,37.6,8.041607046946309,24.06,13.54,29,49,-1.2999999999999972,-0.14000000000000057,0,0,-1.7000000000000028,0.3999999999999986
HOOSIERS,50,2,25,3.42,64.64,10.271017326219091,40.16,24.48,55,74,50,0,13,4.32,62.86,10.26216037235284,39.88,22.98,50,70,-1.7800000000000011,0.9000000000000004,-2,-12,-0.27999999999999403,-1.5
FREE AT LAST,50,0,0,9.12,33.88,8.113002765053743,19.72,14.16,21,43,50,0,0,9.16,31.2,8.083739422409607,15.52,15.68,22,43,-2.6800000000000033,0.040000000000000924,0,0,-4.199999999999999,1.5199999999999996
