team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,269,11.047590511519706,7589,6787,1749,256,957,935,151,0.2576985413290113,1271,80,51,1306,539.0868677777778,1558.491586,3.817294893784422,1.2261932226593235,8,8,9,5,8,10,7,10,8,8,38,43,81,1,1
LOUISVILLE SLUGGERS,23,219,10.72512475791384,7758,6940,1822,249,994,928,188,0.26253602305475504,1151,72,38,1171,512.7355755555556,1448.6939,4.009226915725456,1.2586393570807992,6,9,7,9,10,8,6,7,3,6,41,30,71,2,1
NATIONAL PASTIME,23,257,10.423567497995064,7612,6862,1768,252,943,931,159,0.2576508306616147,1129,72,63,1134,493.8154466666666,1388.9311500000001,3.9365270327723643,1.230231310894597,7,7,8,6,7,8,9,6,5,7,35,35,70,3,1
HOOSIERS,23,230,10.326399842160031,7901,7015,1773,257,999,967,225,0.252744119743407,1131,68,31,1069,474.5813111111112,1438.9458700000002,3.7765091069849697,1.272277515473033,9,10,10,10,3,6,5,2,9,2,42,24,66,4,1
BLUE SOCKS,23,245,10.029295468700454,7400,6673,1713,235,898,904,165,0.2567061291772816,1302,80,29,1273,564.3081944444444,1579.73276,3.9007478878648234,1.2133124116743472,3,4,5,7,6,10,4,9,6,9,25,38,63,5,1
BIG RED MACHINE,23,200,9.686564753683028,7518,6658,1657,267,940,922,107,0.24887353559627515,1173,73,59,1119,506.68080222222227,1492.09611,3.887576487638534,1.2720341943734015,10,6,6,2,2,9,8,5,7,3,26,32,58,6,1
MELONHEADS,19,270,10.434053638893698,7062,6309,1600,237,897,870,177,0.2536059597400539,1093,71,0,1100,449.8878111111111,1289.6271000000002,3.704474199451052,1.1798967063129004,5,3,3,8,4,7,1,4,10,10,23,32,55,7,1
FREE BIRDS,23,245,9.233094159587539,7445,6584,1671,236,913,894,107,0.2537970838396112,1294,80,27,1250,572.4027155555557,1637.8447,3.9811626275115932,1.2657223338485317,4,5,4,2,5,10,3,8,4,4,20,29,49,8,1
ERIE LAKERS,23,198,8.087239974299267,7092,6295,1634,232,892,869,126,0.25957108816521046,907,53,81,840,405.38775111111113,1146.1277,4.022590694597575,1.2636468577728777,2,2,2,3,9,4,10,1,2,5,18,22,40,9,1
FREE AT LAST,22,213,7.9817701653436055,7312,6431,1572,235,886,866,145,0.24444098895972632,1187,66,22,1075,555.6888711111111,1550.9461500000002,4.213310732940186,1.3066100673967989,3,1,1,4,1,5,2,3,1,1,10,12,22,10,1
LOUISVILLE SLUGGERS,23,219,10.644797887896793,7528,6769,1765,259,968,931,179,0.2607475254838233,1154,72,36,1161,492.59752555555553,1446.74836,3.841748466204506,1.2536814211438476,8,9,9,7,9,5,5,6,8,5,42,29,71,1,2
WESTSIDE MARAUDERS,23,264,10.866248277942788,7379,6604,1699,253,929,919,152,0.25726832222895213,1284,81,54,1305,552.5196888888889,1568.0093860000002,3.872801557632399,1.2211911105919004,7,5,6,6,7,9,7,9,7,8,31,40,71,1,2
MELONHEADS,23,269,10.70616747547277,7413,6604,1660,245,931,904,193,0.2513628104179285,1339,86,0,1358,551.8130588888889,1613.2850000000003,3.70897500373413,1.204843166542196,6,6,4,8,4,10,1,10,10,10,28,41,69,2,2
BLUE SOCKS,23,244,10.268342250272195,7747,6984,1791,234,953,929,207,0.25644329896907214,1082,67,75,1105,471.6207344444445,1345.3604400000002,3.9229081423290206,1.2434015157116451,4,8,8,9,6,4,10,4,5,7,35,30,65,3,2
HOOSIERS,23,227,10.219626664369859,7975,7079,1776,264,1015,971,211,0.2508828930639921,1202,73,10,1086,528.5417544444445,1519.18147,3.9574673793677206,1.2638780948419301,9,10,10,10,3,6,2,3,4,3,42,18,60,4,2
NATIONAL PASTIME,23,267,10.352533880341927,7331,6589,1722,226,903,875,146,0.26134466535134315,1248,80,52,1243,522.8751288888889,1518.60621,3.7707341025641026,1.2168318990384615,2,1,1,5,10,8,6,7,9,9,19,39,58,5,2
BIG RED MACHINE,23,200,9.591188337053085,7416,6587,1635,270,919,923,105,0.24821618339152876,1224,73,59,1140,529.3298377777778,1533.46135,3.892131160130719,1.2528279003267975,10,4,7,2,1,6,8,5,6,6,24,31,55,6,2
FREE BIRDS,23,248,9.180762117836393,7439,6571,1665,238,908,886,123,0.25338609039719984,1271,78,27,1257,571.800878888889,1598.97378,4.048944067663258,1.2580438867033832,5,2,2,4,5,7,3,8,3,4,18,25,43,7,2
ERIE LAKERS,23,184,8.020192615720362,7387,6529,1685,245,933,909,121,0.25807933833665186,1050,59,28,955,485.5729522222222,1376.7816,4.162053876190476,1.3112205714285714,6,7,5,3,8,3,4,2,2,1,29,12,41,8,2
FREE AT LAST,22,230,8.163691038229988,7536,6659,1668,233,912,891,123,0.250488061270461,980,58,72,885,456.04993333333334,1280.82625,4.188213673469388,1.30696556122449,3,3,3,4,2,2,9,1,1,2,15,15,30,9,2
WESTSIDE MARAUDERS,23,269,10.927526833092772,7463,6686,1722,256,937,930,150,0.25755309602153753,1296,82,43,1302,542.2084333333333,1583.6514060000002,3.7653363425925925,1.2219532453703705,7,7,7,5,6,10,7,10,9,9,32,45,77,1,3
LOUISVILLE SLUGGERS,23,211,10.770574995771652,8080,7257,1891,268,1026,980,169,0.2605759955904644,1064,61,52,1061,456.3432822222223,1333.56239,3.860046560150377,1.2533481109022557,8,10,9,8,10,4,8,2,7,6,45,27,72,2,3
