team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,35,49,1.46,74.34,11.016203322962095,35.3,39.04,62,83
LOUISVILLE SLUGGERS,50,13,46,2.24,69.82,10.673408622537025,41.16,28.66,60,81
NATIONAL PASTIME,50,1,19,3.86,64.74,10.414834925069028,28.26,36.48,58,71
BLUE SOCKS,50,1,18,3.9,63.8,10.110340086451242,30.82,32.98,54,71
MELONHEADS,50,6,23,3.98,63.7,10.610001473135574,25.3,38.4,49,76
HOOSIERS,50,0,13,4.32,62.86,10.26216037235284,39.88,22.98,50,70
BIG RED MACHINE,50,0,0,6.1,55.4,9.731321910361311,27.02,28.38,48,62
FREE BIRDS,50,0,0,7.4,45.5,9.175898760982017,16.2,29.3,39,54
ERIE LAKERS,50,0,0,8.36,37.6,8.041607046946309,24.06,13.54,29,49
FREE AT LAST,50,0,0,9.16,31.2,8.083739422409607,15.52,15.68,22,43
