team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
WESTSIDE MARAUDERS,50,28,47,1.64,72.86,10.977110514745135,32.84,40.02,60,80,50,38,49,1.3,75.12,11.026896087673709,34.2,40.92,64,82,2.260000000000005,-0.33999999999999986,10,2,1.3599999999999994,0.8999999999999986
BIG RED MACHINE,50,0,0,6.1,55.64,9.73983718303395,27.1,28.54,46,61,50,0,0,5.78,57.26,9.770176506698869,27.92,29.34,51,64,1.6199999999999974,-0.3199999999999994,0,0,0.8200000000000003,0.8000000000000007
NATIONAL PASTIME,50,0,23,3.76,64.5,10.401029004269988,27.92,36.58,55,72,50,3,34,3,66.06,10.41821883433747,27.88,38.18,58,73,1.5600000000000023,-0.7599999999999998,3,11,-0.0400000000000027,1.6000000000000014
ERIE LAKERS,50,0,0,8.58,37.1,8.013327332462826,23.86,13.24,29,46,50,0,0,8.34,38,8.160345084310544,25.68,12.32,31,49,0.8999999999999986,-0.2400000000000002,0,0,1.8200000000000003,-0.9199999999999999
FREE BIRDS,50,0,0,7.5,44.88,9.18924514337818,15.84,29.04,39,53,50,0,0,7.46,45.14,9.225173687208166,15.36,29.78,39,54,0.259999999999998,-0.040000000000000036,0,0,-0.4800000000000004,0.740000000000002
FREE AT LAST,50,0,0,9.14,32.16,8.097773093787977,18.08,14.08,22,43,50,0,0,9.16,32.28,8.332415251092117,15,17.28,24,42,0.12000000000000455,0.019999999999999574,0,0,-3.0799999999999983,3.200000000000001
BLUE SOCKS,50,0,3,5.08,59.62,10.095731880324967,29.54,30.08,50,66,50,0,10,4.96,59.08,10.106114168026995,28.78,30.3,48,67,-0.5399999999999991,-0.1200000000000001,0,7,-0.759999999999998,0.22000000000000242
HOOSIERS,50,4,27,3.44,64.92,10.271197460719389,40.08,24.84,58,75,50,0,24,3.82,63.78,10.299884752800327,40.2,23.58,54,73,-1.1400000000000006,0.3799999999999999,-4,-3,0.12000000000000455,-1.2600000000000016
LOUISVILLE SLUGGERS,50,14,45,2.12,70.62,10.688457301544734,41.98,28.64,61,77,50,10,41,2.46,69.36,10.720859596195858,41.26,28.1,57,80,-1.2600000000000051,0.33999999999999986,-4,-4,-0.7199999999999989,-0.5399999999999991
MELONHEADS,50,7,21,3.92,63.74,10.628689433870678,24.96,38.78,49,76,50,0,7,4.8,60.1,9.83065632239256,26.8,33.3,54,70,-3.6400000000000006,0.8799999999999999,-7,-14,1.8399999999999999,-5.480000000000004
