team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,268,11.093103476658747,7407,6601,1699,267,948,938,145,0.25738524465990004,1362,84,32,1367,582.0110155555554,1669.9175360000002,3.845887767988252,1.2260774860499266,9,8,8,5,7,9,6,10,7,7,37,39,76,1,1
NATIONAL PASTIME,23,269,10.453536577708775,7563,6773,1726,250,919,908,131,0.2548353757566809,1276,81,52,1277,533.0697544444445,1550.2988500000001,3.759896387147336,1.2149677507836991,6,4,4,4,6,8,8,8,10,10,24,44,68,2,1
HOOSIERS,23,250,10.314947554409503,8025,7115,1774,270,1013,989,199,0.24933239634574841,1155,74,25,1047,489.42161111111113,1443.8975300000002,3.813674891774892,1.2501277316017319,10,9,10,10,1,6,3,4,9,5,40,27,67,3,1
LOUISVILLE SLUGGERS,23,205,10.707037965560882,7821,7037,1846,255,1016,954,193,0.26232769646156034,988,60,77,1005,429.07627333333335,1263.95804,3.9085895344129553,1.2793097570850203,8,10,9,8,10,1,9,2,6,2,45,20,65,4,1
MELONHEADS,23,240,9.905982263803896,7510,6653,1661,249,943,912,196,0.24966180670374266,1227,75,27,1190,534.9245066666667,1500.6919599999999,3.923651638141809,1.2230578321108394,5,6,6,9,2,7,4,7,5,8,28,31,59,5,1
BIG RED MACHINE,23,216,9.731085739438926,7483,6651,1662,249,932,909,150,0.2498872350022553,1098,66,86,1083,469.1493,1367.70502,3.84548606557377,1.2456329872495446,5,5,5,6,3,3,10,5,8,6,24,32,56,6,1
BLUE SOCKS,21,270,9.962914265042107,7396,6663,1725,224,909,895,179,0.25889239081494825,1085,68,29,1094,476.2586522222223,1320.92513,3.950532599078342,1.2174425161290323,3,3,2,7,9,5,5,6,4,9,24,29,53,7,1
FREE BIRDS,23,241,9.401451798936941,7477,6617,1679,247,905,899,106,0.25374036572464864,1362,85,0,1340,609.8898688888889,1723.8701700000001,4.03010926578561,1.2656902863436124,4,2,3,1,5,10,1,9,2,4,15,26,41,8,1
ERIE LAKERS,23,202,8.318794144545414,7468,6647,1716,252,946,923,123,0.25816157665112083,1129,62,24,987,537.2061877777777,1495.5934799999998,4.282423108945969,1.3247063596102744,7,7,7,2,8,2,2,1,1,1,31,7,38,9,1
FREE AT LAST,22,239,8.286617527136562,7193,6366,1598,223,878,853,127,0.2510210493245366,1088,67,49,1040,478.5772266666667,1385.75431,3.958818970588236,1.2736712408088235,2,1,1,3,4,4,7,3,3,3,11,20,31,10,1
