team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,38,49,1.3,75.12,11.026896087673709,34.2,40.92,64,82
LOUISVILLE SLUGGERS,50,10,41,2.46,69.36,10.720859596195858,41.26,28.1,57,80
NATIONAL PASTIME,50,3,34,3,66.06,10.41821883433747,27.88,38.18,58,73
HOOSIERS,50,0,24,3.82,63.78,10.299884752800327,40.2,23.58,54,73
MELONHEADS,50,0,7,4.8,60.1,9.83065632239256,26.8,33.3,54,70
BLUE SOCKS,50,0,10,4.96,59.08,10.106114168026995,28.78,30.3,48,67
BIG RED MACHINE,50,0,0,5.78,57.26,9.770176506698869,27.92,29.34,51,64
FREE BIRDS,50,0,0,7.46,45.14,9.225173687208166,15.36,29.78,39,54
ERIE LAKERS,50,0,0,8.34,38,8.160345084310544,25.68,12.32,31,49
FREE AT LAST,50,0,0,9.16,32.28,8.332415251092117,15,17.28,24,42
