team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BLUE SOCKS,23,256,10.371251941377812,7785,6999,1783,239,953,916,189,0.2547506786683812,1068,68,83,1127,452.3500911111112,1283.93581,3.8119389700374544,1.2021870880149812,5,7,7,9,5,4,10,5,9,10,33,38,71,1,1
LOUISVILLE SLUGGERS,23,207,10.66931813051631,7646,6846,1787,255,995,933,174,0.2610283377154543,1201,74,36,1175,525.1685966666666,1530.48493,3.935484904246461,1.2743421565362198,7,10,8,8,10,6,6,7,4,3,43,26,69,2,1
NATIONAL PASTIME,23,253,10.363321042323527,7591,6833,1747,256,936,933,151,0.25567100834187034,1132,71,71,1131,490.4712611111111,1400.9598,3.8995064929328622,1.237596996466431,8,6,8,5,7,5,9,6,6,7,34,33,67,3,1
WESTSIDE MARAUDERS,21,270,10.94856282337456,6749,6054,1562,235,860,845,149,0.25801123224314504,1261,79,59,1322,533.6918788888889,1528.6117760000002,3.8090617842981764,1.2122218683584458,3,1,2,4,8,8,8,10,10,9,18,45,63,4,1
BIG RED MACHINE,23,211,9.800027619087196,7811,6916,1730,276,971,962,116,0.2501445922498554,1194,71,38,1115,518.1907333333334,1506.3702100000003,3.9059603015075375,1.2616165912897825,10,9,10,3,2,5,7,4,5,5,34,26,60,5,1
MELONHEADS,23,217,9.65438991025375,7279,6483,1646,242,908,902,158,0.2538948017892951,1264,81,14,1215,543.903498888889,1560.3837899999999,3.8727306091772156,1.2344808465189872,6,3,5,6,4,9,1,8,8,8,24,34,58,6,1
HOOSIERS,23,227,10.147525484169872,7626,6763,1707,239,963,909,229,0.2524027798314358,1242,75,32,1127,552.0690622222222,1567.97924,4.000500450885668,1.2624631561996777,5,8,6,10,3,7,5,5,3,4,32,24,56,7,1
FREE BIRDS,23,258,9.240370954194614,7285,6450,1648,223,881,863,101,0.25550387596899227,1342,83,27,1314,578.9224877777779,1671.2180399999997,3.8824906035767515,1.2453189567809237,2,2,3,1,6,10,3,9,7,6,14,35,49,8,1
ERIE LAKERS,23,199,8.293092120663523,7402,6582,1712,260,932,942,115,0.2601033120632027,997,58,28,908,454.0518511111111,1304.69017,4.09876294884654,1.3086160180541626,9,5,9,2,9,2,4,2,1,1,34,10,44,9,1
FREE AT LAST,23,234,8.206486374311096,7564,6668,1647,238,927,895,160,0.24700059988002399,1133,67,25,1061,513.9020322222223,1446.60008,4.082187369814652,1.276787360988526,4,4,4,7,1,3,2,3,2,2,20,12,32,10,1
WESTSIDE MARAUDERS,23,266,11.240018489801411,7617,6848,1763,254,951,942,159,0.25744742990654207,1370,85,32,1337,590.9003633333333,1691.7852560000001,3.8818272043795616,1.2348797489051095,8,7,9,7,8,10,5,10,7,7,39,39,78,1,2
BLUE SOCKS,23,243,10.356798941504179,7788,7029,1795,239,958,939,183,0.25537060748328355,1197,73,46,1196,510.0079255555556,1468.3405899999998,3.834646056808688,1.2266838680033416,4,8,7,9,5,7,6,8,8,9,33,38,71,2,2
LOUISVILLE SLUGGERS,23,217,10.544914414570343,7333,6598,1717,249,928,896,157,0.26023037284025463,1131,72,68,1168,467.2492833333333,1384.02309,3.7181640583554376,1.2237162599469495,6,4,3,6,10,6,9,5,9,10,29,39,68,3,2
HOOSIERS,23,237,10.093702308942204,7697,6818,1709,254,982,937,206,0.25066001760046935,1027,68,57,1037,418.87429888888886,1268.4501799999998,3.670758218111003,1.2351024148003893,8,10,6,10,3,4,8,2,10,6,37,30,67,4,2
NATIONAL PASTIME,23,254,10.451571789189524,7671,6904,1768,261,942,940,140,0.25608342989571264,1135,71,71,1139,494.72904666666665,1398.59259,3.922961603524229,1.232240167400881,9,5,8,4,7,5,10,4,6,8,33,33,66,5,2
BIG RED MACHINE,23,205,9.794371011210986,7671,6780,1698,271,964,947,120,0.2504424778761062,1241,74,27,1185,546.6304977777778,1563.22458,3.9642824174053186,1.2596491377921033,10,9,10,1,2,8,4,7,4,3,32,26,58,6,2
MELONHEADS,23,212,9.775307100595146,7584,6728,1708,244,949,922,176,0.25386444708680145,1273,74,22,1183,573.1435822222222,1602.58641,4.052075600942655,1.2589052710133541,5,6,5,8,4,8,3,6,3,4,28,24,52,7,2
FREE BIRDS,23,262,9.204036400069546,7505,6661,1702,229,904,888,133,0.2555171896111695,1262,79,11,1277,555.5778411111112,1567.8704500000001,3.962124064976229,1.242369611727417,3,2,2,3,6,9,2,9,5,5,16,30,46,8,2
ERIE LAKERS,23,195,8.155721717743381,7284,6469,1672,253,924,918,122,0.25846344102643376,1004,58,47,887,467.2523122222222,1323.15916,4.188516743027888,1.3178876095617529,7,3,4,2,9,3,7,1,1,1,25,13,38,9,2
FREE AT LAST,23,245,8.044316621992834,7162,6276,1559,222,890,835,154,0.24840662842574887,1194,73,32,1086,538.3563422222222,1533.20154,4.0579623785594645,1.284088391959799,2,1,1,5,1,7,5,3,2,2,10,19,29,10,2
WESTSIDE MARAUDERS,23,264,11.134033847811509,7442,6625,1688,273,948,944,157,0.2547924528301887,1376,86,32,1334,595.5540922222223,1678.6620360000002,3.8953392659883725,1.2199578750000002,10,5,9,7,6,10,7,10,6,8,37,41,78,1,3
BLUE SOCKS,23,251,10.361995777601837,7841,7071,1805,239,959,929,170,0.25526799604016404,1006,64,110,1069,427.3869155555557,1217.12856,3.8235409940357865,1.209869343936382,4,8,6,8,7,2,10,4,9,10,33,35,68,2,3
NATIONAL PASTIME,23,260,10.504150138581418,7559,6808,1748,245,914,909,137,0.25675675675675674,1312,81,52,1247,558.2524233333334,1608.42112,3.8294754649390246,1.2259307317073171,5,3,4,5,8,9,8,8,8,7,25,40,65,3,3
HOOSIERS,23,229,10.257462824925657,7944,7060,1762,266,1003,981,214,0.24957507082152974,1222,72,8,1140,528.3677388888889,1525.64325,3.891415425531915,1.2484805646481179,9,9,10,10,1,5,2,5,7,6,39,25,64,4,3
LOUISVILLE SLUGGERS,23,211,10.694220163183168,7821,6981,1830,256,1011,938,170,0.26214009454232917,1027,66,80,1035,451.6753377777777,1308.65608,3.9582064654333005,1.2742512950340799,7,10,8,8,10,3,9,2,3,4,43,21,64,4,3
MELONHEADS,23,226,9.587999557455065,7237,6433,1629,236,898,887,153,0.2532255557282761,1172,74,30,1209,495.86660888888895,1419.1512,3.8078493856655293,1.2108798634812288,3,2,2,6,4,6,5,7,10,9,17,37,54,5,3
BIG RED MACHINE,23,201,9.779381539868577,7531,6667,1675,264,949,930,128,0.25123743812809357,1309,78,27,1188,567.0922011111111,1678.4677000000001,3.8990296485867066,1.2822518716577542,8,6,7,4,3,7,4,6,5,3,28,25,53,6,3
FREE BIRDS,23,256,9.32159436719873,7334,6518,1655,234,882,884,121,0.2539122430193311,1252,80,27,1290,549.6514811111113,1571.9269600000002,3.951168793929713,1.2555327156549523,2,1,1,3,5,8,4,9,4,5,12,30,42,7,3
ERIE LAKERS,23,191,8.064755895991487,7340,6537,1699,248,919,917,118,0.2599051552700015,980,58,31,921,447.96300999999994,1268.13835,4.1139460102040815,1.2940187244897958,6,4,5,2,9,1,6,1,2,2,26,12,38,8,3
FREE AT LAST,23,252,8.412614657211705,7578,6668,1667,234,952,892,182,0.25,1178,68,16,1062,540.9116844444445,1525.0385899999999,4.132602003395586,1.2945998217317487,2,7,3,9,2,4,3,3,1,1,23,12,35,9,3
WESTSIDE MARAUDERS,23,270,11.102045226581438,7463,6631,1701,275,955,949,150,0.25652239481224554,1350,84,32,1331,587.4083933333333,1662.589226,3.916055955555555,1.2315475748148148,10,7,9,5,7,10,6,10,5,8,38,39,77,1,4
LOUISVILLE SLUGGERS,23,214,10.674372329599493,7562,6796,1783,251,980,929,173,0.26236021188934666,899,57,126,943,378.69551888888896,1121.8086899999998,3.7911675973303676,1.2478405895439375,6,9,6,8,10,3,10,2,9,6,39,30,69,2,4
BLUE SOCKS,23,254,10.282755585131005,7750,7008,1827,223,941,924,165,0.2607020547945205,1196,76,29,1235,508.3985133333334,1445.89439,3.825741321070235,1.2089417976588628,1,5,5,6,9,7,5,7,8,9,26,36,62,3,4
HOOSIERS,23,222,10.260004613112766,7902,7023,1761,258,993,963,221,0.25074754378470737,1340,81,0,1184,614.6614855555555,1731.79088,4.128323410447761,1.2923812537313433,8,10,10,10,4,9,2,5,1,2,42,19,61,4,4
MELONHEADS,23,219,9.873636186292584,7290,6484,1634,242,920,897,175,0.25200493522516965,1357,84,0,1324,590.0141211111111,1685.4193000000002,3.9131371333824614,1.2420186440677967,4,3,4,9,5,10,2,9,6,7,25,34,59,5,4
NATIONAL PASTIME,23,269,10.414675727969271,7492,6727,1724,241,909,890,140,0.25628066002675787,1183,75,84,1208,489.3468866666667,1426.03508,3.7228419103972947,1.2054396280642434,3,2,2,4,6,6,9,6,10,10,17,41,58,6,4
BIG RED MACHINE,23,205,9.757687882053375,7633,6774,1688,273,954,941,114,0.24918807204015353,1202,71,46,1117,517.8033,1512.33013,3.877062978369384,1.2581781447587355,9,6,8,1,2,5,7,4,7,4,26,27,53,7,4
ERIE LAKERS,23,195,8.155330236228869,7525,6700,1739,252,938,935,120,0.25955223880597017,886,54,53,826,401.06647111111107,1163.33015,4.074038645598194,1.3130137133182844,7,4,7,2,8,2,8,1,2,1,28,14,42,8,4
FREE AT LAST,23,250,8.37918114445018,7739,6787,1689,236,960,894,168,0.24885811109473993,1124,66,16,1047,498.2454211111111,1413.8788799999998,3.9895095996441277,1.2578993594306047,2,8,3,7,1,4,3,3,4,5,21,19,40,9,4
FREE BIRDS,23,243,9.218519838410174,7271,6438,1612,244,885,889,124,0.2503883193538366,1297,79,27,1280,577.0813822222224,1638.15712,4.0044197686969945,1.2630355589822668,5,1,1,3,3,8,4,8,3,3,13,26,39,10,4
LOUISVILLE SLUGGERS,23,217,10.732779451984024,7787,6997,1822,259,1010,952,183,0.2603973131342004,1015,64,55,1083,428.5433588888889,1253.07537,3.7998918522167493,1.2345570147783251,7,10,9,9,10,2,8,4,8,8,45,30,75,1,5
WESTSIDE MARAUDERS,23,267,10.982600004479655,7274,6478,1661,267,931,926,135,0.2564062982401976,1278,79,59,1280,547.9382333333333,1541.6657360000002,3.858719953051643,1.2063112175273867,10,4,6,5,6,8,9,10,7,9,31,43,74,2,5
NATIONAL PASTIME,23,254,10.515004762082144,7755,6974,1792,261,955,944,142,0.2569544020648122,1188,74,52,1183,524.5036122222223,1474.5039,3.9735122138047148,1.241164898989899,9,7,8,7,8,6,7,6,5,7,39,31,70,3,5
BLUE SOCKS,20,260,10.102869744605938,6394,5757,1477,202,797,771,161,0.2565572346708355,1157,75,88,1212,470.05851000000007,1371.5841699999999,3.6564620484010377,1.1854660069144338,1,1,2,8,7,7,10,7,10,10,19,44,63,4,5
HOOSIERS,23,231,10.22735404869194,7881,6991,1759,255,993,955,229,0.2516092118437992,1071,67,47,1040,452.15585444444446,1366.99363,3.7996290289449113,1.2763712698412697,6,9,10,10,2,3,6,2,9,3,37,23,60,5,5
BIG RED MACHINE,23,210,9.725949882454062,7447,6617,1671,260,934,926,127,0.2525313586217319,1232,72,46,1142,532.0558466666666,1547.6565500000002,3.8867716071428564,1.2562147321428572,8,6,6,4,4,5,5,5,6,5,28,26,54,6,5
MELONHEADS,23,215,9.89651349321539,7496,6663,1677,245,932,910,183,0.25168842863574964,1354,82,0,1275,600.6436944444446,1683.53024,3.9924617799113746,1.2433753618906942,4,5,5,9,3,10,1,8,3,6,26,28,54,6,5
FREE BIRDS,23,249,9.259273086606171,7369,6528,1657,234,892,888,119,0.2538296568627451,1270,81,30,1276,563.28556,1603.46018,3.9917874330708667,1.2625670708661418,2,2,3,3,5,9,4,9,4,4,15,30,45,7,5
FREE AT LAST,23,244,8.452811423195156,8033,7073,1757,248,978,935,141,0.24840944436589849,1184,69,8,1064,545.9833500000001,1525.5132199999998,4.150211275337838,1.2884402195945945,5,8,7,6,1,4,2,3,1,2,27,12,39,8,5
ERIE LAKERS,23,191,8.120772446716586,7286,6472,1683,241,909,903,113,0.26004326328800986,1085,64,28,940,497.5534733333334,1433.2508500000001,4.127171668202766,1.3209685253456223,3,3,4,2,9,2,3,1,2,1,21,9,30,9,5
WESTSIDE MARAUDERS,23,270,10.966495375725469,7274,6478,1661,267,931,926,135,0.2564062982401976,1202,76,70,1262,510.24043333333333,1446.326416,3.8204358569051577,1.2032665690515807,10,5,6,4,7,8,10,8,8,9,32,43,75,1,6
LOUISVILLE SLUGGERS,23,210,10.730220024723492,7679,6908,1799,255,982,935,184,0.2604226983207875,1125,71,38,1176,480.08209888888894,1407.87774,3.840656791111112,1.2514468799999998,8,9,8,8,10,6,4,4,7,5,43,26,69,2,6
BLUE SOCKS,22,260,10.42712895440194,7220,6478,1659,217,893,852,188,0.25609756097560976,1223,79,61,1267,502.9077255555556,1468.49647,3.7008745134914145,1.2007330089942765,2,1,1,9,6,10,9,9,10,10,19,48,67,3,6
HOOSIERS,23,238,10.256721314873754,8117,7191,1810,266,1025,991,206,0.2517035182867473,1024,65,44,991,434.37500888888894,1287.1080299999999,3.8177491015625007,1.2569414355468749,9,10,10,10,3,4,5,2,9,4,42,24,66,4,6
NATIONAL PASTIME,23,247,10.45974009224824,7604,6855,1765,253,935,928,149,0.2574762946754194,1261,78,52,1181,555.4376544444444,1576.34596,3.964265574940523,1.250076098334655,7,6,7,6,8,9,7,5,4,6,34,31,65,5,6
BIG RED MACHINE,23,211,9.747294640278731,7503,6660,1670,267,936,939,117,0.25075075075075076,1247,76,27,1198,539.45539,1556.9683900000002,3.893423023255814,1.2485712830793907,10,7,9,1,1,8,3,7,6,7,28,31,59,6,6
MELONHEADS,23,223,9.67069957120841,7367,6542,1649,234,912,883,176,0.25206358911647814,1318,79,0,1282,570.644648888889,1627.24033,3.896663004552353,1.2346284749620637,3,3,3,7,4,10,1,10,5,8,20,34,54,7,6
FREE BIRDS,23,250,9.192213299260464,7355,6501,1641,238,895,882,121,0.2524227041993539,1217,75,57,1193,541.2745555555556,1531.11555,4.002852095316352,1.2581064502875925,5,2,2,3,5,7,8,6,3,3,17,27,44,8,6
ERIE LAKERS,23,191,8.161061708596787,7347,6538,1693,250,922,921,120,0.2589476904252065,1010,58,47,874,456.6851833333333,1334.3844100000001,4.069471930693069,1.321172683168317,6,4,5,2,9,3,6,1,2,1,26,13,39,9,6
FREE AT LAST,23,240,8.338648346909794,7718,6820,1716,236,952,905,147,0.25161290322580643,1207,70,17,1071,571.6187944444445,1565.37055,4.262277671913836,1.2969101491300747,4,8,4,5,2,5,2,3,1,2,23,13,36,10,6
NATIONAL PASTIME,23,260,10.509437986620492,7695,6901,1763,258,945,933,145,0.255470221706999,1204,78,52,1219,513.8726888888889,1494.72937,3.841241029900332,1.24146957641196,7,8,8,6,6,9,8,8,8,7,35,40,75,1,7
MELONHEADS,23,228,10.016799721869093,7566,6732,1692,267,940,950,173,0.25133689839572193,1096,67,49,1110,467.2457266666667,1346.47047,3.8368718430656936,1.228531450729927,10,6,9,8,3,7,6,6,9,8,36,36,72,2,7
LOUISVILLE SLUGGERS,23,214,10.76624584928096,8059,7236,1886,264,1021,971,181,0.26064123825317853,1116,66,36,1082,490.5231733333333,1419.5281799999998,3.9558320430107528,1.2719786559139783,9,10,10,9,10,6,5,5,4,3,48,23,71,3,7
WESTSIDE MARAUDERS,23,266,10.98414255267815,7449,6646,1712,252,944,923,137,0.2575985555221186,1324,84,32,1367,569.6060244444444,1608.162006,3.871944274924471,1.2146238716012085,6,7,7,4,7,10,4,10,6,9,31,39,70,4,7
HOOSIERS,23,227,10.219454212552234,7580,6717,1695,242,965,911,237,0.2523447967842787,1231,78,32,1124,538.4363122222222,1550.1776,3.936577424857839,1.2592831844029244,4,9,6,10,4,9,4,7,5,5,33,30,63,5,7
BIG RED MACHINE,23,205,9.602475210704709,7360,6544,1636,263,917,910,115,0.25,1112,68,86,1076,477.75308777777786,1385.84064,3.866706645683454,1.2462595683453237,8,4,5,1,2,8,10,4,7,6,20,35,55,6,7
BLUE SOCKS,20,260,10.12689032384677,7347,6594,1706,224,910,881,167,0.25872004852896574,941,60,56,992,381.85534111111116,1102.40015,3.6521764824654626,1.1715198193411265,1,3,1,7,8,4,9,1,10,10,20,34,54,7,7
FREE BIRDS,23,244,9.194708479268236,7250,6424,1628,233,890,886,126,0.2534246575342466,1379,84,0,1352,612.4218255555556,1745.1412900000003,3.996951725888325,1.2655121754894854,2,2,2,3,5,10,2,9,2,4,14,27,41,8,7
ERIE LAKERS,23,189,8.100380691349379,7242,6457,1678,245,910,908,116,0.2598730060399566,1169,66,8,1013,549.44665,1518.3578499999999,4.230128186484174,1.298851881950385,5,3,4,2,9,6,3,3,1,1,23,14,37,9,7
FREE AT LAST,23,243,8.40146446067998,7596,6676,1653,237,936,890,143,0.2476033553025764,1066,64,50,1002,473.41451666666666,1360.6294700000003,3.9969330675422134,1.2763878705440903,3,5,3,5,1,5,7,2,3,2,17,19,36,10,7
WESTSIDE MARAUDERS,23,262,10.971904797819258,7379,6567,1677,259,939,921,139,0.2553677478300594,1366,84,32,1359,588.1767133333333,1661.568806,3.8752492093704243,1.2163754070278185,7,6,7,4,7,10,4,10,7,10,31,41,72,1,8
BLUE SOCKS,23,249,10.410104715988435,7638,6873,1754,236,936,904,188,0.2552015131674669,1195,76,61,1213,506.8020666666667,1461.36077,3.816919330543933,1.2228960418410042,4,5,4,8,6,8,10,7,10,8,27,43,70,2,8
NATIONAL PASTIME,23,268,10.40311566586116,7517,6754,1756,229,919,885,157,0.2599940775836541,1271,81,52,1251,539.53284,1550.0950200000002,3.820452840283241,1.2195869551534226,2,3,2,6,9,9,7,9,9,9,22,43,65,3,8
LOUISVILLE SLUGGERS,23,212,10.632828395316213,7629,6870,1770,268,967,954,161,0.2576419213973799,1151,71,47,1112,513.4590177777778,1471.39743,4.014883718505648,1.2783644048653344,8,9,9,7,8,5,5,5,3,3,41,21,62,4,8
HOOSIERS,23,221,10.240729118905707,7986,7091,1767,269,1009,983,200,0.24918911296009025,1200,72,22,1108,518.4088700000001,1538.47331,3.8880665250000006,1.2820610916666668,9,10,10,10,1,6,3,4,6,2,40,21,61,5,8
MELONHEADS,23,220,9.918089613450825,7374,6542,1644,251,928,909,198,0.25129929685111585,1135,67,60,1112,485.96967444444454,1400.51548,3.8535040264317186,1.233934343612335,6,4,6,9,3,3,9,5,8,7,28,32,60,6,8
BIG RED MACHINE,23,206,9.7411902141363491,7552,6695,1674,273,943,944,107,0.25003734129947724,1184,71,54,1131,518.94163,1480.27312,3.9446576604729735,1.2502306756756758,10,7,8,1,2,5,8,6,5,6,28,30,58,7,8
FREE BIRDS,23,255,9.32211235166502,7410,6549,1663,233,909,884,126,0.2539318979996946,1197,75,49,1223,526.6980244444445,1502.68667,3.960135522138681,1.2553773350041773,3,2,1,3,5,7,6,8,4,5,14,30,44,8,8
FREE AT LAST,23,256,8.328874867650136,7760,6853,1740,229,955,906,148,0.2539033999708157,1104,68,14,1028,493.42971444444447,1394.7540599999998,4.022524846014493,1.2633641847826085,2,8,5,5,4,4,2,3,2,4,24,15,39,9,8
ERIE LAKERS,23,192,8.027187259850312,7221,6438,1681,243,906,901,120,0.2611059335197266,1031,62,22,958,471.3029422222222,1340.10918,4.114186692531523,1.299814917555771,5,1,3,2,10,2,3,2,1,1,21,9,30,10,8
LOUISVILLE SLUGGERS,23,219,10.709757034286156,7730,6940,1826,252,988,931,178,0.26311239193083574,1002,62,71,1073,419.85402888888893,1233.95138,3.7711439720558886,1.2314884031936129,6,9,8,9,10,5,9,3,10,8,42,35,77,1,9
BLUE SOCKS,23,252,10.361321767020904,7757,7007,1796,235,948,926,167,0.2563151134579706,1095,72,75,1156,463.6022855555556,1314.66871,3.8104297442922377,1.200610694063927,2,8,7,8,8,6,10,6,9,10,33,41,74,2,9
