team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,213,10.869792454307412,7442,6634,1697,246,943,908,163,0.25580343684051854,1262,82,43,1339,526.3173222222222,1532.053562,3.7534515847860535,1.213988559429477,5,7,5,8,7,10,6,10,10,9,32,45,77,1,1
LOUISVILLE SLUGGERS,23,165,10.815654530689653,7835,7062,1830,269,989,971,155,0.25913338997451146,1071,68,63,1057,455.75779666666665,1322.90249,3.829897450980392,1.2352030718954248,9,10,10,7,10,3,9,2,8,6,46,28,74,2,1
MELONHEADS,23,242,10.903318106394021,7685,6861,1746,264,967,956,163,0.2544818539571491,1289,82,22,1269,550.0190633333333,1558.3508500000003,3.8403192940263766,1.2089610938712183,8,8,8,8,5,10,2,8,7,10,37,37,74,2,1
NATIONAL PASTIME,23,190,10.467130070062675,7650,6892,1771,254,934,934,155,0.2569645966337783,1251,76,52,1189,554.3235822222223,1544.3069899999998,3.9879394404476423,1.2344580255795363,6,6,6,7,8,8,8,6,4,7,33,33,66,3,1
BLUE SOCKS,23,194,10.423481365578468,7635,6870,1753,229,934,908,201,0.2551673944687045,1261,78,29,1275,529.6296944444445,1548.7989699999998,3.7800691911181605,1.2282307454401267,1,6,5,9,6,9,3,9,9,8,27,38,65,4,1
HOOSIERS,23,190,10.263953826457232,7753,6871,1740,257,989,946,209,0.2532382477077572,1231,72,32,1107,548.9968022222222,1566.39163,4.013786531275385,1.2724546141348498,7,10,7,10,3,5,4,4,3,4,37,20,57,5,1
BIG RED MACHINE,23,151,9.784270870415718,7825,6941,1743,271,970,962,124,0.2511165538106901,1167,71,41,1092,513.0126611111111,1485.9122599999998,3.956395844044559,1.2732752870608397,10,9,9,3,2,4,5,3,5,3,33,20,53,6,1
FREE BIRDS,23,188,9.257876620093164,7389,6531,1657,232,906,881,125,0.2537130607870158,1188,73,46,1222,517.2755822222222,1482.67418,3.918754410774411,1.248042239057239,3,5,4,4,4,6,7,7,6,5,20,31,51,7,1
ERIE LAKERS,23,168,8.069145058008617,7080,6278,1625,233,895,869,127,0.2588403950302644,954,56,71,886,435.58237222222226,1252.44367,4.109267662473795,1.312834035639413,4,3,3,5,9,2,10,1,2,1,24,16,40,8,1
FREE AT LAST,22,151,8.190206046082771,7270,6390,1585,231,898,859,130,0.24804381846635368,1249,74,2,1134,579.4100733333333,1617.9895099999997,4.175092602081666,1.295427950360288,2,4,2,6,1,7,1,5,1,2,15,16,31,9,1
MELONHEADS,23,242,10.760570029173165,7552,6734,1711,263,952,944,162,0.2540837540837541,1357,86,0,1315,577.2794088888888,1628.5835400000003,3.8286769933677225,1.2001352542372883,9,7,7,7,5,10,3,9,9,10,35,41,76,1,2
WESTSIDE MARAUDERS,23,213,11.158057849058487,7666,6840,1736,262,971,947,167,0.25380116959064325,1317,83,32,1349,567.0875011111111,1621.4453019999999,3.875313219438117,1.2311657570235381,8,8,8,8,4,9,6,10,7,8,36,40,76,1,2
NATIONAL PASTIME,23,190,10.411291712005745,7514,6730,1685,270,916,948,135,0.25037147102526003,1057,69,111,1066,448.41258666666664,1297.0197600000001,3.818082573320719,1.227076404919584,10,5,9,4,2,6,10,4,10,9,30,39,69,2,2
LOUISVILLE SLUGGERS,23,165,10.66362407239368,7767,6967,1831,250,1001,920,180,0.26281039184728006,1086,64,71,1071,471.31157,1378.83414,3.9058969889502766,1.2696446961325967,6,9,5,9,10,4,9,5,6,4,39,28,67,3,2
HOOSIERS,23,190,10.318981026804645,7961,7036,1768,262,1012,964,225,0.25127913587265494,1117,68,47,1025,491.0497922222222,1420.2518699999998,3.9565336884512083,1.2714877976723364,8,10,10,10,3,5,8,3,4,1,41,21,62,4,2
BLUE SOCKS,23,194,10.174549062744363,7365,6651,1711,231,901,901,157,0.2572545481882424,1348,83,29,1293,574.4168444444445,1683.1716499999998,3.835127299703264,1.2486436572700295,3,2,4,6,7,9,5,8,8,7,22,37,59,5,2
BIG RED MACHINE,23,151,9.762089811090414,7510,6681,1703,251,938,921,127,0.2549019607843137,1245,75,27,1171,547.7083744444444,1571.88485,3.959337646586345,1.262558112449799,7,6,6,3,6,7,4,6,3,5,28,25,53,6,2
FREE BIRDS,23,188,9.305492109863208,7487,6654,1714,218,905,872,140,0.2575894198978058,1266,77,27,1260,569.8482411111111,1593.68544,4.0510538467614525,1.2588352606635071,2,3,2,5,8,8,4,7,2,6,20,27,47,7,2
ERIE LAKERS,23,168,8.121598806043096,7080,6278,1625,233,895,869,127,0.2588403950302644,975,60,37,974,428.13026111111117,1239.20814,3.951971641025642,1.2709827076923077,4,1,1,3,9,3,7,1,5,2,18,18,36,8,2
FREE AT LAST,22,151,8.229947319155668,7473,6584,1621,241,911,887,127,0.24620291616038883,1093,64,32,1007,498.7685544444445,1388.71982,4.106968883806039,1.2705579322964318,5,4,3,3,1,4,6,2,1,3,16,16,32,9,2
MELONHEADS,23,242,10.81923169470835,7584,6730,1696,270,970,953,159,0.25200594353640415,1187,76,39,1235,491.6129066666667,1414.2140800000002,3.7274778096040437,1.1914187700084247,10,8,9,8,4,8,7,8,10,10,39,43,82,1,3
WESTSIDE MARAUDERS,23,213,11.01390407217247,7498,6673,1712,259,949,938,137,0.2565562715420351,1361,84,32,1366,581.5326044444444,1668.636462,3.8455499191770754,1.2260370771491549,8,7,8,5,7,10,4,10,8,7,35,39,74,2,3
LOUISVILLE SLUGGERS,23,165,10.73563752986151,7699,6900,1801,250,983,926,185,0.2610144927536232,1159,72,36,1126,502.72058,1430.0125400000002,3.903783623813632,1.2338330802415878,5,9,7,9,10,7,6,4,4,6,40,27,67,3,3
NATIONAL PASTIME,23,190,10.565759900572539,7594,6831,1760,251,935,923,152,0.2576489533011272,1136,72,84,1134,492.7163077777778,1385.6477100000002,3.9035622975352116,1.2197603080985917,6,6,6,6,8,7,10,5,5,8,32,35,67,3,3
BLUE SOCKS,23,194,10.276664925017487,7529,6818,1742,236,910,916,159,0.25550014667057785,1121,70,83,1159,474.4764055555555,1356.11944,3.809355619982158,1.209740802854594,4,3,4,8,5,6,9,6,9,9,24,39,63,4,3
HOOSIERS,23,190,10.299434093193488,7907,7032,1762,262,991,969,219,0.25056882821387944,1256,76,11,1124,544.51355,1618.6870800000002,3.9017690684713373,1.2887635987261148,9,10,10,10,3,8,2,3,6,2,42,21,63,4,3
BIG RED MACHINE,23,151,9.708435571099576,7556,6734,1686,258,927,920,121,0.25037125037125035,1253,77,27,1201,539.3553811111111,1584.84096,3.8740609976057465,1.2648371588188347,7,5,5,3,2,9,3,7,7,5,22,31,53,5,3
FREE BIRDS,23,188,9.171953680952804,7417,6543,1677,226,911,880,126,0.2563044475011463,1362,84,0,1307,611.8832399999999,1729.19227,4.043281321585902,1.2695978487518356,2,4,3,4,6,10,1,9,2,4,19,26,45,6,3
ERIE LAKERS,23,168,7.971995691159345,7153,6384,1662,236,897,879,126,0.26033834586466165,870,55,66,852,388.95695666666677,1110.6597899999997,4.023692655172415,1.2766204482758616,4,1,2,4,9,4,8,1,3,3,20,19,39,7,3
