team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
MELONHEADS,100,50,95,1.68,73.47,10.793994889908172,33.08,40.39,62,83
WESTSIDE MARAUDERS,100,47,94,1.74,73.44,11.035463526906842,33.57,39.87,64,81
LOUISVILLE SLUGGERS,100,10,72,2.95,68.53,10.698296675772129,39.92,28.61,58,77
HOOSIERS,100,2,35,4.08,64.49,10.310244430884614,40.42,24.07,55,76
NATIONAL PASTIME,100,0,25,4.24,63.89,10.432111483673518,28.86,35.03,55,71
BLUE SOCKS,100,0,8,4.97,61.24,10.217354567223099,29.15,32.09,50,71
BIG RED MACHINE,100,0,0,6.45,52.65,9.73000555610855,25,27.65,45,60
FREE BIRDS,100,0,0,7.53,43.51,9.215616421326564,14.95,28.56,38,51
ERIE LAKERS,100,0,0,8.72,34.55,8.07467835642148,21.49,13.059999999999999,28,44
FREE AT LAST,100,0,0,9.14,30.82,8.151247979016077,16.48,14.34,23,42
