Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary
Edwin Diaz,LAD,pitcher,19.251540319312763,NA,NA,NA,NA,NA,NA,NA,NA,66,5,36,93,2.98045,1.06954,0,0,0,0,0,0,0.1226495573299238,0.5023033693630067,0.25664163895499154,0.05865005506199508,0.05652904760400263,0.9967736683139198,0.9967736683139198,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.01962392917278779,0.46602590379790065,0.01628156634230593,0.03946066107178847,0.04631283873628069,0,0.548457040775488,0.548457040775488,0.548457040775488,0,0,0,0,0,-1.0475266731328807,51.122448979591866,0.42939162780668,2.7622894741764084,3.2957844111438828,56.56238781958596,56.56238781958596,Louisville Sluggers,P,2027,33
Mason Miller,SDP,pitcher,22.104139543903777,NA,NA,NA,NA,NA,NA,NA,NA,66,4,32,106,2.43292,0.962712,0,0,0,0,0,0,0.09811964586393904,0.44649188387822814,0.29251627665837743,0.07477989261068274,0.07457580460374809,0.9864835036149756,0.9864835036149756,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.04415384063877256,0.4102144183131221,0.05215620404569182,0.05559049862047613,0.06435959573602615,0,0.5381668760765436,0.5381668760765436,0.5381668760765436,0,0,0,0,0,-2.356935014548983,45.00000000000003,1.3755087738213971,3.891395760557635,4.580055080237389,52.490024600067464,52.490024600067464,Westside Marauders,P,2,21
Shohei Ohtani,LAD,two-way,46.74106497930277,679,575,162,48,129,118,26,0.28206,116,8,0,138,3.51178,1.13265,0.44350098579028424,0.5771352215283898,0.6643679948867245,0.21451400323634084,0.17020357787433493,2.0697217833160746,0.19623929172787807,0,0.3808230771590197,0.0755712894477788,0.0806159511196175,0.733249609454294,2.802971392770369,0,0,0,0,0,0,0,0,1,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0.44350098579028424,0.5771352215283898,0.6643679948867245,0.21451400323634084,0.17020357787433493,0.05396580522516647,-0.03627746556510604,0.1404630045463341,0.05638189545757219,0.07039974225189556,2.0697217833160746,0.2849329819158623,2.354654765231937,2.354654765231937,7.279909706546277,6.6683410774833645,8.719052744886975,10.951638065522625,6.246435174956552,2.880698351115424,-3.9795918367346967,3.7044125178576257,3.946794405527874,5.009893139644285,51.4275833468063,51.4275833468063,Louisville Sluggers,Bench,Opt,34
Jhoan Duran,PHI,pitcher,19.375782188338302,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67149,1.09864,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.071857962342165,0.05474116887020112,0.9347471325530896,0.9347471325530896,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.0294358937591817,0.36835580419953823,-0.00855472129849971,0.05266856835195839,0.04452496000247918,0,0.4864305050146578,0.4864305050146578,0.4864305050146578,0,0,0,0,0,1.571290009699322,40.40816326530614,-0.22561255020350943,3.686857443008406,3.1685526753949222,48.60925084320529,48.60925084320529,Blue Socks,P,2,17
Devin Williams,NYM,pitcher,15.561477928225813,NA,NA,NA,NA,NA,NA,NA,NA,64,5,32,85,3.12409,1.13533,0,0,0,0,0,0,0.1226495573299238,0.44649188387822814,0.23456493882983095,0.05276947841481062,0.04403874552854388,0.9005146039813374,0.9005146039813374,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.01962392917278779,0.4102144183131221,-0.00579513378285465,0.03358008442460401,0.03382253666082194,0,0.4521979764429056,0.4521979764429056,0.4521979764429056,0,0,0,0,0,-1.0475266731328807,45.00000000000003,-0.15283430820237753,2.3506426711729373,2.4069306074463177,48.557212297284025,48.557212297284025,NA,NA,NA,NA
Daniel Palencia,CHC,pitcher,10.568668531425969,NA,NA,NA,NA,NA,NA,NA,NA,67,5,30,75,3.67912,1.23494,0,0,0,0,0,0,0.1226495573299238,0.41858614113583886,0.20696906367338025,0.03864452647157622,0.02902070133251964,0.8158699899432389,0.8158699899432389,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.01962392917278779,0.3823086755707328,-0.03339100893930535,0.01945513248136961,0.0188044924647977,0,0.36755336240480696,0.36755336240480696,0.36755336240480696,0,0,0,0,0,-1.0475266731328807,41.9387755102041,-0.8806167282136989,1.361880572001252,1.338193788505611,42.7107064693644,42.7107064693644,Hoosiers,IL,2,1
Ryan Walker,SFG,pitcher,11.386246558627212,NA,NA,NA,NA,NA,NA,NA,NA,63,5,27,68,3.27089,1.18212,0,0,0,0,0,0,0.1226495573299238,0.376727527022255,0.18765195106386476,0.04781690727112667,0.03580556216219698,0.7706515048493672,0.7706515048493672,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.01962392917278779,0.34045006145714896,-0.05270812154882085,0.02862751328092006,0.02558935329447503,0,0.3223348773109354,0.3223348773109354,0.3223348773109354,0,0,0,0,0,-1.0475266731328807,37.346938775510225,-1.390064422221624,2.003957269338944,1.8210283364279296,38.734333285922595,38.734333285922595,Big Red Machine,P,2,1
Paul Skenes,PIT,pitcher,37.83028683478383,NA,NA,NA,NA,NA,NA,NA,NA,189,13,0,223,2.84127,1.06719,0,0,0,0,0,0,0.31888884905780185,0,0.6153880159888506,0.17969374634528887,0.16301547751889903,1.2769860889108402,1.2769860889108402,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.17661536255509025,-0.03627746556510604,0.375027943376165,0.16050435235508226,0.1527992686511771,0,0.8286694613724085,0.8286694613724085,0.8286694613724085,0,0,0,0,0,9.427740058195932,-3.9795918367346967,9.890563087953856,11.23548037533804,10.873733102873462,37.44792478762659,37.44792478762659,Melonheads,P,Opt,7
Raisel Iglesias,ATL,pitcher,10.672795074477504,NA,NA,NA,NA,NA,NA,NA,NA,66,5,26,71,3.61422,1.1511,0,0,0,0,0,0,0.1226495573299238,0.3627746556510604,0.19593071361079997,0.03997964952580201,0.04275088550324962,0.7640854616208357,0.7640854616208357,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.01962392917278779,0.32649719008595435,-0.04442935900188563,0.0207902555355954,0.03253467663552768,0,0.315768834082404,0.315768834082404,0.315768834082404,0,0,0,0,0,-1.0475266731328807,35.816326530612265,-1.171729696218227,1.455340647409234,2.315281960744488,37.36769276941488,37.36769276941488,National Pastime,P,2,24
Pete Fairbanks,MIA,pitcher,9.66066590537277,NA,NA,NA,NA,NA,NA,NA,NA,62,4,27,65,3.37986,1.20403,0,0,0,0,0,0,0.09811964586393904,0.376727527022255,0.17937318851692954,0.04404228760765052,0.03176022379925457,0.7300228728100286,0.7300228728100286,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.04415384063877256,0.34045006145714896,-0.06098688409575606,0.02485289361744391,0.02154401493153263,0,0.2817062452715968,0.2817062452715968,0.2817062452715968,0,0,0,0,0,-2.356935014548983,37.346938775510225,-1.6083991482250202,1.7397297606697164,1.5331478376680163,36.65448221107396,36.65448221107396,NA,NA,NA,NA
