team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,100,89,100,1.13,76.31,11.115130293354191,35.77,40.54,67,84
BLUE SOCKS,100,11,93,2.33,70.32,10.6090864437822,32.48,37.84,61,79
LOUISVILLE SLUGGERS,100,6,66,3.03,68.2,10.735526541804106,40.64,27.56,58,79
NATIONAL PASTIME,100,2,49,3.52,65.66,10.445244273104603,28.93,36.73,57,75
HOOSIERS,100,0,27,4.11,63.45,10.37014332303394,40.35,23.1,56,73
MELONHEADS,100,0,3,5.4,58.21,9.8501509935725,23.8,34.41,50,66
BIG RED MACHINE,100,0,0,6.33,53.43,9.755485100135125,25.11,28.32,47,59
FREE BIRDS,100,0,0,7.57,43.87,9.239343990644075,14.7,29.17,37,51
ERIE LAKERS,100,0,0,8.36,38.21,8.23539117585995,25.2,13.01,28,49
FREE AT LAST,100,0,0,9.2,30.6,8.17533494779855,15.9,14.7,20,44
