team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
ERIE LAKERS,100,0,0,8.55,37.38,8.024870461434858,24,13.38,28,49,100,0,0,8.24,40.66,8.314471893505432,27.16,13.5,32,50,3.279999999999994,-0.3100000000000005,0,0,3.16,0.11999999999999922
LOUISVILLE SLUGGERS,100,27,88,2.21,70.21,10.685913274734537,41.17,29.04,60,78,100,48,96,1.69,72.89,10.888063371129107,42,30.89,62,80,2.680000000000007,-0.52,21,8,0.8299999999999983,1.8500000000000014
FREE BIRDS,100,0,0,7.51,45.09,9.194059544094523,16.16,28.93,39,55,100,0,0,6.78,47.45,9.318950437369063,17.9,29.55,36,56,2.3599999999999994,-0.7299999999999995,0,0,1.7399999999999984,0.620000000000001
FREE AT LAST,100,0,0,9.1,31.99,8.101900434050233,18.28,13.71,22,47,100,0,0,9.25,34.15,8.2444599804441,17.67,16.48,26,50,2.16,0.15000000000000036,0,0,-0.6099999999999994,2.7699999999999996
BIG RED MACHINE,100,0,1,6.08,55.74,9.742545178602985,27.36,28.38,46,64,100,0,2,5.32,57.77,9.847246078169096,30.12,27.65,50,66,2.030000000000001,-0.7599999999999998,0,1,2.7600000000000016,-0.7300000000000004
HOOSIERS,100,4,47,3.66,64.6,10.27681891089245,40.27,24.33,56,75,100,5,64,3.21,66.6,10.465064784367756,39.43,27.17,59,76,2,-0.4500000000000002,1,17,-0.8400000000000034,2.8400000000000034
MELONHEADS,100,10,42,3.97,63.5,10.597598927476605,24.94,38.56,49,80,100,2,37,3.93,64.11,10.10838077632811,27.82,36.29,55,74,0.6099999999999994,-0.040000000000000036,-8,-5,2.879999999999999,-2.270000000000003
NATIONAL PASTIME,100,0,48,3.71,64.75,10.388579220505028,27.57,37.18,55,72,100,4,39,3.7,64.58,10.494009818842251,26.96,37.62,52,74,-0.1700000000000017,-0.009999999999999787,4,-9,-0.6099999999999994,0.4399999999999977
WESTSIDE MARAUDERS,100,63,95,1.57,73.44,10.980078129463784,33.4,40.04,54,82,100,47,90,1.92,72.67,11.114129230754697,33.15,39.52,51,83,-0.769999999999996,0.34999999999999987,-16,-5,-0.25,-0.519999999999996
BLUE SOCKS,100,0,11,4.85,60.45,10.10521823466159,30.07,30.38,49,70,100,0,0,7.67,42.96,8.946655875425007,19.19,23.77,36,53,-17.490000000000002,2.8200000000000003,0,-11,-10.879999999999999,-6.609999999999999
