team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,269,11.270170446109079,7631,6813,1739,268,971,953,166,0.2552473212975194,1332,83,32,1357,573.2313522222222,1633.5776160000003,3.8731848123123123,1.2264096216216218,10,9,9,8,5,10,5,10,5,7,41,37,78,1,1
LOUISVILLE SLUGGERS,23,218,10.77628606492206,7183,6461,1676,246,915,890,140,0.25940256926172417,1178,74,63,1244,480.49506111111117,1449.1925100000003,3.6710148981324284,1.23021435483871,6,4,4,5,9,8,9,9,10,6,28,42,70,2,1
HOOSIERS,23,228,10.459302274935574,8010,7095,1773,265,1007,976,217,0.24989429175475686,1143,70,35,1086,481.9473755555556,1446.79136,3.7948612248468945,1.2657842169728784,9,10,10,10,2,7,6,3,9,3,41,28,69,3,1
MELONHEADS,23,243,10.187592861033684,7430,6564,1644,244,938,899,194,0.25045703839122485,1198,74,49,1208,507.77496666666667,1454.53031,3.8146700333889814,1.2141321452420701,5,6,5,9,3,8,8,8,7,9,28,40,68,4,1
NATIONAL PASTIME,22,270,10.455572699065444,7177,6466,1670,238,883,877,147,0.2582740488710176,1080,68,103,1092,456.81813222222223,1313.47549,3.8068177685185187,1.2161810092592593,4,3,3,6,8,6,10,4,8,8,24,36,60,5,1
BIG RED MACHINE,23,219,9.900325415600673,7713,6858,1746,261,964,948,140,0.2545931758530184,1246,74,27,1126,546.6276855555556,1569.593,3.9483540690208665,1.2597054574638844,8,8,8,5,4,8,3,5,4,4,33,24,57,6,1
FREE BIRDS,23,252,9.357567775593932,7757,6855,1753,238,941,908,104,0.25572574762946754,1191,75,41,1185,527.7737322222223,1498.3444900000002,3.988214601175483,1.2580558270361042,4,7,6,2,6,9,7,7,3,5,25,31,56,7,1
BLUE SOCKS,17,270,8.906950858406475,6961,6277,1608,219,864,846,159,0.25617333120917635,696,47,29,711,299.33422777777776,826.90661,3.8707012212643677,1.188084209770115,2,1,1,7,7,4,4,1,6,10,18,25,43,8,1
ERIE LAKERS,23,199,8.385948661032701,7420,6608,1718,255,930,929,119,0.25998789346246975,1174,67,14,989,557.2815988888889,1561.7987999999998,4.272175800681431,1.3303226575809197,7,5,7,3,10,5,2,2,1,1,32,11,43,8,1
FREE AT LAST,22,227,8.224093740171705,7207,6358,1577,230,881,859,133,0.24803397294746776,1229,74,0,1164,565.7260766666668,1565.0275399999998,4.142827249796584,1.2734154109031732,3,2,2,4,1,8,1,6,2,2,12,19,31,9,1
WESTSIDE MARAUDERS,23,268,11.191895749430483,7561,6745,1733,255,961,927,166,0.2569310600444774,1285,80,54,1325,556.1648533333332,1565.137956,3.8953180389105055,1.2180061914396887,8,9,8,8,8,10,7,10,5,8,41,40,81,1,2
LOUISVILLE SLUGGERS,23,225,10.826278972594373,7564,6816,1749,271,950,952,148,0.2566021126760563,1106,68,65,1132,451.5799611111112,1340.3595399999997,3.674701311030742,1.2118983182640142,10,8,10,5,7,5,9,4,10,9,40,37,77,2,2
NATIONAL PASTIME,23,270,10.557001130827869,7573,6825,1775,244,926,918,155,0.2600732600732601,1136,73,84,1140,484.09252888888886,1403.2229900000002,3.8352401056338024,1.2352315052816902,5,6,6,6,9,6,10,5,7,6,32,34,66,3,2
MELONHEADS,23,240,10.047379427405408,7338,6509,1632,248,923,908,171,0.2507297587955139,1318,79,19,1278,554.4825577777777,1610.06616,3.7862997116843697,1.2215979969650987,6,5,4,9,3,9,3,9,9,7,27,37,64,4,2
HOOSIERS,23,241,10.388452422976545,7727,6841,1729,239,979,923,237,0.2527408273644204,1239,78,14,1175,528.7006522222223,1571.5857999999998,3.8404405730427764,1.268430831315577,3,10,7,10,4,8,2,6,6,3,34,25,59,5,2
