team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
ERIE LAKERS,50,0,0,8.58,37.1,8.013327332462826,23.86,13.24,29,46,50,0,0,8.22,40.7,8.2330691612464,27.84,12.86,32,51,3.6000000000000014,-0.35999999999999943,0,0,3.9800000000000004,-0.3800000000000008
NATIONAL PASTIME,50,0,23,3.76,64.5,10.401029004269988,27.92,36.58,55,72,50,1,32,3.18,66.58,10.431893070932277,28.82,37.76,58,74,2.0799999999999983,-0.5799999999999996,1,9,0.8999999999999986,1.1799999999999997
WESTSIDE MARAUDERS,50,28,47,1.64,72.86,10.977110514745135,32.84,40.02,60,80,50,40,48,1.3,74.38,11.029745654046586,35.04,39.34,59,87,1.519999999999996,-0.33999999999999986,12,1,2.1999999999999957,-0.6799999999999997
BIG RED MACHINE,50,0,0,6.1,55.64,9.73983718303395,27.1,28.54,46,61,50,0,0,5.62,56.84,9.760505924779183,27.56,29.28,48,62,1.2000000000000028,-0.47999999999999954,0,0,0.4599999999999973,0.740000000000002
FREE AT LAST,50,0,0,9.14,32.16,8.097773093787977,18.08,14.08,22,43,50,0,0,9.1,33.18,8.096790193307783,17.14,16.04,25,48,1.0200000000000031,-0.040000000000000924,0,0,-0.9399999999999977,1.959999999999999
HOOSIERS,50,4,27,3.44,64.92,10.271197460719389,40.08,24.84,58,75,50,0,27,3.48,65.38,10.33056832047046,39.26,26.12,57,74,0.45999999999999375,0.040000000000000036,-4,0,-0.8200000000000003,1.2800000000000011
FREE BIRDS,50,0,0,7.5,44.88,9.18924514337818,15.84,29.04,39,53,50,0,0,7.36,45.12,9.184849605101354,16.28,28.84,39,51,0.23999999999999488,-0.13999999999999968,0,0,0.4400000000000013,-0.1999999999999993
LOUISVILLE SLUGGERS,50,14,45,2.12,70.62,10.688457301544734,41.98,28.64,61,77,50,12,47,2.1,70.54,10.717184946398037,41.44,29.1,61,81,-0.0799999999999983,-0.020000000000000018,-2,2,-0.5399999999999991,0.46000000000000085
MELONHEADS,50,7,21,3.92,63.74,10.628689433870678,24.96,38.78,49,76,50,0,11,4.26,62.48,10.032331555248335,26.58,35.9,53,70,-1.2600000000000051,0.33999999999999986,-7,-10,1.6199999999999974,-2.8800000000000026
BLUE SOCKS,50,0,3,5.08,59.62,10.095731880324967,29.54,30.08,50,66,50,0,4,5.86,53.68,9.773986682547308,24.5,29.18,42,68,-5.939999999999998,0.7800000000000002,0,1,-5.039999999999999,-0.8999999999999986
