Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary,sgpar_random_delta,sgpar_randomized
Trea Turner,PHI,hitter,26.353884175321635,644,591,167,19,92,73,28,0.282526,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.1769777402381734,1.36374477472644,0,0,0,0,0,0,1.36374477472644,0,0,0,0,1,0,0,1,1,0,0,SS,0.3492615922902857,0.3492615922902857,0.0955761814338752,0.0504993318837341,0.13625174132422654,0.05775377010209177,0.00918056754635808,0,0,0,0,0,0.22071909525376937,0.17795002663792017,0.27475557754637414,0.1732613103062753,0.16779717269181532,0,0,0,0,0,1.0144831824361544,0,1.0144831824361544,1.0144831824361544,3.554671478959889,2.7139031925849633,2.6213592233009706,11.078546307151235,7.117769034233343,0,0,0,0,0,27.086249236230405,27.086249236230405,Blue Socks,IL,2,30,0,1.0144831824361544
Luis Robert Jr.,NYM,hitter,18.511724635971255,567,515,121,21,69,76,29,0.235239,NA,NA,NA,NA,NA,NA,0.23722145751573345,0.2524966594186705,0.42789803060500897,0.23926561899438015,-0.02599674009525325,1.13088502643854,0,0,0,0,0,0,1.13088502643854,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.10589015784760278,0.14668853547179905,0.22070529999626776,0.1600604485686543,-0.02099972105035392,0,0,0,0,0,0.61234472083397,0,0.61234472083397,0.61234472083397,1.7053564104667385,2.180020597322348,2.160850170558908,10.23446658851114,-0.8907847600881419,0,0,0,0,0,15.389909006770996,15.389909006770996,Blue Socks,Bench,1,21,0,0.61234472083397
Marcus Semien,NYM,hitter,13.51443706551968,644,576,140,20,82,75,9,0.242363,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.2404730089701624,0.42226779336020626,0.07425484727411799,0.00129024219568804,1.0202012471087274,0,0,0,0,0,0,1.0202012471087274,0,0,1,0,0,0,0,1,1,0,0,2B,0.4277408742732015,0.4277408742732015,0.1107033468406756,0.07214190269104871,0.16327688009927974,0.07920517042572585,0.00241357421647157,0,0,0,0,0,0.17121200846787715,0.16833110627911368,0.2589909132609265,-0.00495032315160785,-0.00112333202078353,0,0,0,0,0,0.592460372835526,0,0.592460372835526,0.592460372835526,2.757361988352063,2.5581874356333674,2.4796641301495668,-0.3165298944900348,-0.04765049222480601,0,0,0,0,0,7.431033167420157,7.431033167420157,Blue Socks,2B/SS,1,24,0,0.592460372835526
Dylan Crews,WSN,hitter,17.301956020884173,595,539,131,18,72,69,26,0.243564,NA,NA,NA,NA,NA,NA,0.24753543392946095,0.21642570807314615,0.38848636989138974,0.21451400323634084,0.0059978079364046,1.0729593230667425,0,0,0,0,0,0,1.0729593230667425,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.11620413426133028,0.11061758412627468,0.18129363928264855,0.135308832810615,0.01099482698130393,0,0,0,0,0,0.5544190174621725,0,0.5544190174621725,0.5544190174621725,1.871462554343368,1.7907312049433572,1.6294935712411436,8.651817116060966,0.46638830540972287,0,0,0,0,0,14.40989275199856,14.40989275199856,Blue Socks,Util,Opt,1,0,0.5544190174621725
Yoshinobu Yamamoto,LAD,pitcher,23.50796432359852,NA,NA,NA,NA,NA,NA,NA,NA,155,12,0,165,3.37687,1.11175,0,0,0,0,0,0,0.2943589375918171,0,0.45533194008143657,0.1103125811645502,0.11601137655639251,0.9760148353941964,0.9760148353941964,0,0,0,0,0,0,0,0,0,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.15453844223570395,-0.03627746556510604,0.22242275376099263,0.08697909685766246,0.10437981726683342,0,0.5320426445560864,0.5320426445560864,0.5320426445560864,0,0,0,0,0,7.974683544303803,-3.9795918367346976,5.5351510835283335,6.803557991305032,7.743818871977237,24.077619654379703,24.077619654379703,Blue Socks,P,Opt,26,0,0.5320426445560864
Jurickson Profar,ATL,hitter,16.714006351155955,644,556,141,19,82,74,9,0.252949,NA,NA,NA,NA,NA,NA,0.2819153553085528,0.22844935852165427,0.4166375561154035,0.07425484727411799,0.04480172872969655,1.0460588459494249,0,0,0,0,0,0,1.0460588459494249,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.1505840556404221,0.1226412345747828,0.2094448255066623,-0.00495032315160785,0.04979874777459588,0,0,0,0,0,0.5275185403448552,0,0.5275185403448552,0.5275185403448552,2.4251497005988027,2.068795056642636,1.8066124376803985,-0.3165298944900348,2.112407373541548,0,0,0,0,0,8.096434673973349,8.096434673973349,Blue Socks,OF,Opt,2,0,0.5275185403448552
Jhoan Duran,PHI,pitcher,19.672957477593098,NA,NA,NA,NA,NA,NA,NA,NA,70,7,29,84,2.67149,1.09864,0,0,0,0,0,0,0.1717093802618933,0.40463326976464425,0.2318053513141859,0.071857962342165,0.05474116887020112,0.9347471325530896,0.9347471325530896,0,0,0,0,0,0,0,0,0,0,1,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.03188888490578018,0.36835580419953823,-0.00110383500625801,0.04852447803527726,0.04310960958064202,0,0.4907749417149797,0.4907749417149797,0.4907749417149797,0,0,0,0,0,1.6455696202531656,40.40816326530616,-0.02746973242445801,3.795614259493571,3.198252468489629,49.02012988111806,49.02012988111806,Blue Socks,P,2,17,0,0.4907749417149797
Mickey Moniak,COL,hitter,15.729380199058442,483,451,120,21,64,67,9,0.26628,NA,NA,NA,NA,NA,NA,0.22003149682618753,0.2524966594186705,0.37722589540178425,0.07425484727411799,0.08083312503607583,1.004842023956836,0,0,0,0,0,0,1.004842023956836,0,0,0,0,0,1,0,0,1,0,0,OF,0.5185403056045699,0.5185403056045699,0.13133129966813067,0.10580812394687146,0.2071927306087412,0.07920517042572585,-0.00499701904489933,0,0,0,0,0,0.08870019715805685,0.14668853547179905,0.17003316479304306,-0.00495032315160785,0.08583014408097515,0,0,0,0,0,0.48630171835226627,0,0.48630171835226627,0.48630171835226627,1.4285128373390208,1.6795056642636457,2.160850170558908,-0.3165298944900348,3.640819043270746,0,0,0,0,0,8.593157820942285,8.593157820942285,Blue Socks,OF,2,1,0,0.48630171835226627
J.T. Realmuto,PHI,hitter,14.606376651482888,500,454,114,15,56,58,7,0.251368,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.3265537601985595,0.05775377010209177,0.03127102673369364,0.7884608734848808,0,0,0,0,0,0,0.7884608734848808,1,0,0,0,0,0,0,0,1,0,0,C,0.30256973257349196,0.30256973257349196,0.08319940973740216,0.06011825224254059,0.13850383622214762,0.01650107717202622,0.00424715719937533,0,0,0,0,0,0.10932814998551192,0.12023650448508122,0.18804992397641185,0.04125269293006554,0.02702386953431831,0,0,0,0,0,0.48589114091138885,0,0.48589114091138885,0.48589114091138885,1.7607251250922813,1.857466529351184,1.771188664392548,2.637749120750294,1.146322424095975,0,0,0,0,0,9.173451863682285,9.173451863682285,Blue Socks,C,2,13,0,0.48589114091138885
Aaron Nola,PHI,pitcher,11.92278336653422,NA,NA,NA,NA,NA,NA,NA,NA,180,11,0,177,4.115,1.20929,0,0,0,0,0,0,0.26982902612583237,0,0.4884469902691774,0.06880099948311952,0.08978368303320108,0.9168606989113304,0.9168606989113304,0,0,0,0,0,0,0,0,0,1,0,P,0.4439721908381099,0.4439721908381099,0,0,0,0,0,0.13982049535611313,0.03627746556510604,0.2329091863204439,0.02333348430688774,0.0116315592895591,0,0,0,0,0,0.13000853076971924,-0.03627746556510604,0.2555378039487335,0.04546751517623178,0.07815212374364199,0,0.47288850807322047,0.47288850807322047,0.47288850807322047,0,0,0,0,0,6.708860759493677,-3.9795918367346976,6.3592430562620805,3.556496760690187,5.798016384566095,18.44302512427734,18.44302512427734,Blue Socks,P,2,20,0,0.47288850807322047
