team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,262,11.086452791586211,7561,6774,1744,259,953,933,148,0.2574549749040449,1279,81,54,1311,548.3293033333332,1571.330946,3.8584548318999206,1.2285621157154027,9,8,7,6,8,9,7,9,7,7,38,39,77,1,1
LOUISVILLE SLUGGERS,23,221,10.619826447615479,7385,6641,1730,248,942,900,157,0.2605029363047734,1025,63,102,1081,412.5213,1238.50418,3.6221382439024388,1.2082967609756097,5,6,4,8,9,4,10,5,10,9,32,38,70,2,1
HOOSIERS,23,254,10.1980561654489,7844,6929,1742,256,1005,957,218,0.25140712945590993,1128,74,25,1070,471.86640444444447,1405.6143499999998,3.7648915248226955,1.2461120124113474,7,10,10,10,3,7,4,3,9,5,40,28,68,3,1
NATIONAL PASTIME,23,256,10.387412663531618,7680,6892,1764,260,943,935,144,0.2559489262913523,1233,77,52,1180,546.2982477777778,1519.01953,3.9875784509326846,1.2319704217356042,10,7,8,4,6,8,6,7,4,6,35,31,66,4,1
BLUE SOCKS,21,265,10.084372456084594,7908,7119,1816,247,972,949,175,0.2550920073043967,878,57,56,897,376.8807233333334,1071.88793,3.863242038724374,1.2208290774487474,4,9,9,9,5,3,8,1,6,8,36,26,62,5,1
MELONHEADS,23,250,10.0603437868662,7409,6577,1659,241,925,899,154,0.25224266382849325,1254,77,27,1244,525.6717566666666,1497.4628,3.772763803827751,1.1941489633173843,3,4,3,7,4,8,5,8,8,10,21,39,60,6,1
BIG RED MACHINE,23,208,9.704361838824894,7405,6582,1653,253,927,908,143,0.2511394712853236,1189,74,59,1128,510.9698744444445,1510.26773,3.867728233809925,1.2701999411269975,6,5,5,3,2,7,9,6,5,3,21,30,51,7,1
FREE BIRDS,23,248,9.107901984153495,7263,6445,1655,213,874,861,147,0.25678820791311097,1346,82,0,1351,604.8160277777779,1688.84102,4.044089338781576,1.2547110104011887,1,2,1,5,7,10,1,10,3,4,16,28,44,8,1
ERIE LAKERS,23,204,8.305740493881665,7307,6504,1697,257,925,931,113,0.2609163591635916,1145,65,10,1007,548.0428022222222,1519.6450999999997,4.307760017467249,1.3272009606986896,8,4,6,2,10,5,2,2,1,1,30,11,41,9,1
FREE AT LAST,22,215,8.049259561727743,7291,6409,1575,235,903,866,147,0.24574816664066157,1189,67,16,1071,539.5397700000001,1555.3047599999998,4.083984802354921,1.3080780151387719,2,3,2,5,1,6,3,4,2,2,13,17,30,10,1
WESTSIDE MARAUDERS,23,270,11.007009210435932,7267,6462,1662,267,935,927,145,0.25719591457753016,1355,86,32,1371,579.07302,1664.9257760000003,3.8462414612546127,1.2287275099630999,10,5,6,6,8,10,7,10,8,8,35,43,78,1,2
LOUISVILLE SLUGGERS,23,208,10.850926750495042,7774,7000,1835,254,998,944,178,0.2621428571428571,1039,66,80,1028,449.78832777777774,1287.3652399999999,3.8961452839268524,1.2390425794032722,8,10,10,8,10,3,9,3,6,6,46,27,73,2,2
NATIONAL PASTIME,23,263,10.547622479795532,7626,6834,1742,263,938,936,134,0.2549019607843137,1146,72,84,1161,487.7012755555555,1414.0224500000002,3.830114729493891,1.2338764834205935,9,6,9,4,6,5,10,5,9,7,34,36,70,3,2
HOOSIERS,23,239,10.42273952868725,7735,6862,1730,247,977,934,233,0.25211308656368403,1244,78,17,1220,549.7640777777777,1582.9546599999996,3.9773928456591636,1.272471591639871,6,9,8,10,4,8,4,7,4,4,37,27,64,4,2
MELONHEADS,23,244,10.14477160915286,7510,6653,1661,249,943,912,196,0.24966180670374266,1276,75,27,1231,546.4240966666666,1544.83868,3.8540884561128523,1.2106886206896552,7,7,5,9,1,6,5,8,7,9,29,35,64,4,2
BIG RED MACHINE,23,205,9.777210035461037,7601,6734,1693,263,954,933,119,0.2514107514107514,1244,76,27,1172,543.9754255555556,1583.41182,3.9355135289389067,1.2728390836012862,9,8,7,3,2,7,5,6,5,3,29,26,55,5,2
FREE BIRDS,23,243,9.244322180432144,7438,6593,1667,234,899,889,115,0.2528439253753981,1271,79,27,1280,567.025158888889,1589.19552,4.015127010228167,1.2503505271439812,4,2,3,2,5,9,5,9,3,5,16,31,47,6,2
BLUE SOCKS,17,265,9.368219653813854,6926,6243,1595,222,858,846,156,0.2554861444818196,748,51,29,781,295.6308622222223,870.50353,3.557055828877006,1.1637747727272727,2,1,1,7,7,1,6,1,10,10,18,28,46,7,2
ERIE LAKERS,23,186,8.206676461038965,7286,6477,1691,239,908,898,111,0.26107765941022076,1174,67,10,1035,544.5684244444444,1548.61751,4.17471534923339,1.319094982964225,5,3,4,1,9,4,3,4,1,1,22,13,35,8,2
FREE AT LAST,22,236,8.192434070752213,7529,6671,1679,230,917,887,141,0.2516864038375056,978,55,68,874,441.55034888888895,1261.6581800000001,4.063346768916156,1.2900390388548058,3,4,2,5,3,2,8,2,2,2,17,16,33,9,2
WESTSIDE MARAUDERS,23,270,10.985543145128254,7344,6534,1682,267,948,934,153,0.2574227119681665,1355,84,32,1326,587.2122633333332,1660.159036,3.90030285608856,1.2252096206642067,9,7,7,6,8,10,4,9,6,7,37,36,73,1,3
HOOSIERS,23,238,10.439083366638677,7907,7034,1764,266,995,981,208,0.25078191640602787,1167,70,35,1098,494.22457333333335,1458.02431,3.8115005655526994,1.2493781576692373,8,9,10,10,2,7,5,5,7,6,39,30,69,2,3
LOUISVILLE SLUGGERS,23,221,10.82512773907482,7924,7134,1857,262,1020,971,193,0.2603027754415475,1050,63,67,1042,477.5951644444445,1333.15421,4.093672838095238,1.2696706761904761,7,10,9,9,9,5,10,4,2,3,44,24,68,3,3
MELONHEADS,23,244,10.052128014280113,7442,6610,1682,240,928,904,156,0.2544629349470499,1227,77,38,1204,511.5688,1487.8012400000002,3.7523383863080686,1.2125519478402609,4,6,6,7,5,8,6,7,9,9,28,39,67,4,3
NATIONAL PASTIME,23,268,10.409715234324036,7514,6738,1722,244,912,903,141,0.25556544968833483,1255,81,52,1278,524.4692055555556,1529.5305600000002,3.7611337450199205,1.2187494501992033,6,5,5,5,6,9,7,8,8,8,27,40,67,4,3
