team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,40,48,1.3,74.38,11.029745654046586,35.04,39.34,59,87
LOUISVILLE SLUGGERS,50,12,47,2.1,70.54,10.717184946398037,41.44,29.1,61,81
NATIONAL PASTIME,50,1,32,3.18,66.58,10.431893070932277,28.82,37.76,58,74
HOOSIERS,50,0,27,3.48,65.38,10.33056832047046,39.26,26.12,57,74
MELONHEADS,50,0,11,4.26,62.48,10.032331555248335,26.58,35.9,53,70
BIG RED MACHINE,50,0,0,5.62,56.84,9.760505924779183,27.56,29.28,48,62
BLUE SOCKS,50,0,4,5.86,53.68,9.773986682547308,24.5,29.18,42,68
FREE BIRDS,50,0,0,7.36,45.12,9.184849605101354,16.28,28.84,39,51
ERIE LAKERS,50,0,0,8.22,40.7,8.2330691612464,27.84,12.86,32,51
FREE AT LAST,50,0,0,9.1,33.18,8.096790193307783,17.14,16.04,25,48
