team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,50,0,3,5.08,59.62,10.095731880324967,29.54,30.08,50,66,50,6,39,2.74,68.32,10.401259223210612,31,37.32,58,78,8.699999999999996,-2.34,6,36,1.4600000000000009,7.240000000000002
WESTSIDE MARAUDERS,50,28,47,1.64,72.86,10.977110514745135,32.84,40.02,60,80,50,32,48,1.56,74.48,11.024354793068621,34.24,40.24,64,83,1.6200000000000045,-0.07999999999999985,4,1,1.3999999999999986,0.21999999999999886
ERIE LAKERS,50,0,0,8.58,37.1,8.013327332462826,23.86,13.24,29,46,50,0,0,8.16,38.52,8.121550420794636,26.64,11.88,31,50,1.4200000000000017,-0.41999999999999993,0,0,2.780000000000001,-1.3599999999999994
NATIONAL PASTIME,50,0,23,3.76,64.5,10.401029004269988,27.92,36.58,55,72,50,1,22,3.58,65.36,10.419741290265078,29.5,35.86,59,72,0.8599999999999994,-0.17999999999999972,1,-1,1.5799999999999983,-0.7199999999999989
BIG RED MACHINE,50,0,0,6.1,55.64,9.73983718303395,27.1,28.54,46,61,50,0,0,6.1,55.32,9.745541704311831,26.58,28.74,45,63,-0.3200000000000003,0,0,0,-0.5200000000000031,0.1999999999999993
FREE BIRDS,50,0,0,7.5,44.88,9.18924514337818,15.84,29.04,39,53,50,0,0,7.42,44.14,9.193969208425072,15,29.14,39,50,-0.740000000000002,-0.08000000000000007,0,0,-0.8399999999999999,0.10000000000000142
HOOSIERS,50,4,27,3.44,64.92,10.271197460719389,40.08,24.84,58,75,50,3,16,4.12,63.74,10.251960413955631,40.24,23.5,55,76,-1.1799999999999997,0.6800000000000002,-1,-11,0.1600000000000037,-1.3399999999999999
LOUISVILLE SLUGGERS,50,14,45,2.12,70.62,10.688457301544734,41.98,28.64,61,77,50,12,40,2.48,69.38,10.656213502347486,39.62,29.759999999999998,57,82,-1.240000000000009,0.3599999999999999,-2,-5,-2.3599999999999994,1.1199999999999974
FREE AT LAST,50,0,0,9.14,32.16,8.097773093787977,18.08,14.08,22,43,50,0,0,9.12,30.22,8.053940182796499,14.6,15.62,23,45,-1.9399999999999977,-0.02000000000000135,0,0,-3.4799999999999986,1.5399999999999991
MELONHEADS,50,7,21,3.92,63.74,10.628689433870678,24.96,38.78,49,76,50,0,4,4.98,59.86,9.943578638495023,25.22,34.64,52,68,-3.8800000000000026,1.0600000000000005,-7,-17,0.259999999999998,-4.140000000000001
