team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,261,11.048700153878412,7687,6875,1771,258,961,948,136,0.2576,1350,83,32,1347,578.8399155555554,1651.9267260000001,3.8589327703703695,1.2236494266666669,9,8,10,4,8,10,5,10,6,9,39,40,79,1,1
LOUISVILLE SLUGGERS,23,227,10.562312376996763,7798,7042,1858,241,999,928,196,0.26384549843794375,1014,62,69,1010,428.33582,1255.99062,3.8017972189349116,1.238649526627219,2,10,7,9,10,2,10,2,10,6,38,30,68,2,1
MELONHEADS,23,247,10.014135451253086,7415,6611,1683,243,924,913,174,0.2545757071547421,1232,78,14,1240,526.1731366666667,1491.87404,3.8437972646103895,1.2109367207792208,4,6,5,7,6,8,3,9,8,10,28,38,66,3,1
BLUE SOCKS,23,236,10.382985052011236,7864,7075,1809,242,961,936,179,0.25568904593639574,1173,76,51,1183,509.13024888888896,1451.80571,3.906370196078432,1.2376860272804775,3,8,8,8,7,6,6,6,5,7,34,30,64,4,1
NATIONAL PASTIME,23,258,10.32036333935051,7380,6579,1664,253,917,902,144,0.25292597659218724,1284,81,52,1227,549.0698866666667,1573.5678599999999,3.848620700934579,1.2255201401869158,8,4,2,5,5,9,7,8,7,8,24,39,63,5,1
BIG RED MACHINE,23,209,9.786841320177485,7535,6695,1668,266,930,926,122,0.2491411501120239,1195,72,59,1158,509.24649666666664,1509.1141300000002,3.835329263598326,1.2628570125523013,10,7,6,2,2,4,9,5,9,4,27,31,58,6,1
HOOSIERS,23,236,10.148522652194147,7799,6908,1744,247,987,942,222,0.25246091488129707,1247,77,8,1140,542.8589444444444,1584.9297699999997,3.9179875701684037,1.2709942020850038,6,9,9,10,3,7,2,4,4,3,37,20,57,7,1
FREE BIRDS,23,249,9.267164232778873,7341,6523,1647,244,891,904,100,0.2524911850375594,1217,75,57,1193,541.282317777778,1531.1279200000001,4.002909498767463,1.25811661462613,5,3,3,1,4,5,8,7,3,5,16,28,44,8,1
ERIE LAKERS,23,209,8.206837300497188,7244,6438,1671,251,919,910,124,0.2595526561043802,967,55,52,898,445.68762888888887,1256.21861,4.148075139607032,1.2990885315408478,7,5,4,3,9,1,7,1,1,1,28,11,39,9,1
FREE AT LAST,22,221,8.034530466650944,7088,6215,1539,225,890,838,150,0.24762670957361224,1173,69,19,1111,540.3208322222223,1518.9280199999998,4.145684134697358,1.294908797953964,1,2,1,6,1,3,4,3,2,2,11,14,25,10,1
WESTSIDE MARAUDERS,23,266,11.110628266293443,7603,6780,1730,276,961,962,141,0.2551622418879056,1346,84,32,1333,581.6678588888889,1655.265456,3.889309606240713,1.2297663120356612,10,9,9,5,7,10,5,9,8,8,40,40,80,1,2
BLUE SOCKS,23,251,10.443029634924692,7676,6902,1754,238,942,907,187,0.2541292379020574,1091,73,88,1120,452.1810866666667,1317.12493,3.730183116406966,1.2072639138405132,4,5,4,9,6,7,10,5,10,10,28,42,70,2,2
HOOSIERS,23,232,10.212734145321736,7977,7077,1766,268,1009,981,201,0.24954076586124063,1104,69,38,1046,478.0283033333334,1384.37834,3.896969864130435,1.2539658876811595,9,10,10,10,1,5,6,3,7,5,40,26,66,3,2
LOUISVILLE SLUGGERS,23,227,10.68315356593273,7202,6454,1675,236,923,875,174,0.2595289742795166,1192,75,66,1198,494.7459877777778,1447.41345,3.7354982298657724,1.21427302852349,3,4,1,7,9,8,8,7,9,9,24,41,65,4,2
MELONHEADS,23,241,9.985958111050945,7559,6706,1701,242,944,911,177,0.2536534446764092,1253,76,22,1227,547.8336144444445,1546.98288,3.9349581245011978,1.2346232083000799,5,6,5,8,5,9,3,8,5,7,29,32,61,5,2
NATIONAL PASTIME,23,252,10.46603656830748,7671,6904,1768,261,942,940,140,0.25608342989571264,1137,71,79,1117,501.2901311111111,1406.95518,3.9679957607739667,1.2374275989445909,7,5,8,4,8,6,9,4,4,6,32,29,61,5,2
BIG RED MACHINE,23,213,9.794254009896072,7615,6737,1699,267,958,939,120,0.25218940181089505,1202,71,46,1127,520.6459344444445,1516.89666,3.898347262895175,1.2619772545757073,8,7,7,2,2,6,7,6,6,4,26,29,55,6,2
FREE BIRDS,23,235,9.170678567834758,7229,6406,1623,229,889,881,135,0.25335622853574774,1402,84,0,1353,629.7320300000001,1775.2979500000001,4.042502332382312,1.2662610199714694,1,2,2,3,4,10,2,10,3,3,12,28,40,7,2
FREE AT LAST,22,237,8.157666629833404,7844,6932,1753,232,959,913,153,0.25288517022504325,1017,60,0,971,461.77715555555557,1315.0714699999999,4.0865235004916425,1.2930889577187805,2,8,6,6,3,3,2,2,2,2,25,11,36,8,2
ERIE LAKERS,23,202,8.01860225643898,7202,6426,1677,243,905,900,118,0.26097105508870216,1046,61,30,951,478.19476555555553,1380.80467,4.114486510516252,1.320080946462715,6,3,3,1,10,4,4,1,1,1,23,11,34,9,2
WESTSIDE MARAUDERS,23,270,10.964198231726638,7344,6534,1682,267,948,934,153,0.2574227119681665,1337,83,32,1332,576.5075111111111,1641.3046160000001,3.8807536275243075,1.227602554973822,10,6,7,6,8,9,6,10,7,8,37,40,77,1,3
LOUISVILLE SLUGGERS,23,223,10.580034084344366,7331,6608,1728,246,952,907,178,0.26150121065375304,948,66,88,1038,379.5297055555556,1137.04639,3.6031301160337557,1.199416023206751,5,7,4,8,10,3,10,3,10,10,34,36,70,2,3
