team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,32,48,1.56,74.48,11.024354793068621,34.24,40.24,64,83
LOUISVILLE SLUGGERS,50,12,40,2.48,69.38,10.656213502347486,39.62,29.759999999999998,57,82
BLUE SOCKS,50,6,39,2.74,68.32,10.401259223210612,31,37.32,58,78
NATIONAL PASTIME,50,1,22,3.58,65.36,10.419741290265078,29.5,35.86,59,72
HOOSIERS,50,3,16,4.12,63.74,10.251960413955631,40.24,23.5,55,76
MELONHEADS,50,0,4,4.98,59.86,9.943578638495023,25.22,34.64,52,68
BIG RED MACHINE,50,0,0,6.1,55.32,9.745541704311831,26.58,28.74,45,63
FREE BIRDS,50,0,0,7.42,44.14,9.193969208425072,15,29.14,39,50
ERIE LAKERS,50,0,0,8.16,38.52,8.121550420794636,26.64,11.88,31,50
FREE AT LAST,50,0,0,9.12,30.22,8.053940182796499,14.6,15.62,23,45
