team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BIG RED MACHINE,50,0,0,5.96,55.04,9.73511036076573,27.02,28.02,49,62,50,0,0,5.66,57.18,9.811055358107016,29.06,28.12,49,65,2.1400000000000006,-0.2999999999999998,0,0,2.039999999999999,0.10000000000000142
NATIONAL PASTIME,50,2,29,3.4,65.24,10.394144329901817,27.66,37.58,60,73,50,3,35,2.92,67.32,10.518366159996557,30.98,36.34,59,75,2.0799999999999983,-0.48,1,6,3.3200000000000003,-1.2399999999999949
FREE BIRDS,50,0,0,7.54,44.46,9.16027383496284,15.48,28.98,39,52,50,0,0,7.4,46.14,9.268984879590537,16.64,29.5,39,52,1.6799999999999997,-0.13999999999999968,0,0,1.1600000000000001,0.5199999999999996
WESTSIDE MARAUDERS,50,36,47,1.48,73.54,11.011058352237342,33.62,39.92,62,81,50,42,49,1.26,74.68,11.119716350258505,35.14,39.54,62,80,1.1400000000000006,-0.21999999999999997,6,2,1.5200000000000031,-0.38000000000000256
MELONHEADS,50,4,19,4.2,62.64,10.59009042884226,24.4,38.24,48,78,50,0,15,4,63.38,10.024830758649804,27.42,35.96,53,70,0.740000000000002,-0.20000000000000018,-4,-4,3.020000000000003,-2.280000000000001
HOOSIERS,50,2,25,3.42,64.64,10.271017326219091,40.16,24.48,55,74,50,3,20,3.68,64.86,10.324996837874854,39.94,24.92,57,77,0.21999999999999886,0.26000000000000023,1,-5,-0.21999999999999886,0.4400000000000013
FREE AT LAST,50,0,0,9.12,33.88,8.113002765053743,19.72,14.16,21,43,50,0,0,9.16,33.74,8.207609001198838,18.32,15.42,24,47,-0.14000000000000057,0.040000000000000924,0,0,-1.3999999999999986,1.2599999999999998
ERIE LAKERS,50,0,0,8.5,38.9,8.056035924360822,25.76,13.14,30,46,50,0,0,8.52,37.82,8.14933924566365,24.62,13.2,30,47,-1.0799999999999983,0.019999999999999574,0,0,-1.1400000000000006,0.05999999999999872
LOUISVILLE SLUGGERS,50,7,42,2.4,69.28,10.648441450762672,40.48,28.8,63,78,50,6,40,2.72,67.92,10.54452209506788,37.32,30.6,59,75,-1.3599999999999994,0.3200000000000003,-1,-2,-3.1599999999999966,1.8000000000000007
BLUE SOCKS,50,0,3,5.1,59.14,10.05459457133149,28.9,30.24,50,67,50,0,6,5.94,55.06,9.870323527991424,24.72,30.34,45,70,-4.079999999999998,0.8400000000000007,0,3,-4.18,0.10000000000000142
