team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BLUE SOCKS,23,256,10.371251941377812,7785,6999,1783,239,953,916,189,0.2547506786683812,1068,68,83,1127,452.3500911111112,1283.93581,3.8119389700374544,1.2021870880149812,5,7,6,9,5,4,10,5,9,10,32,38,70,1,1
LOUISVILLE SLUGGERS,23,207,10.669089869193916,7618,6807,1777,255,996,932,175,0.26105479653298075,1201,74,36,1175,525.1685966666666,1530.48493,3.935484904246461,1.2743421565362198,7,10,7,8,10,6,6,7,4,3,42,26,68,2,1
NATIONAL PASTIME,23,253,10.363321042323527,7591,6833,1747,256,936,933,151,0.25567100834187034,1132,71,71,1131,490.4712611111111,1400.9598,3.8995064929328622,1.237596996466431,8,6,8,5,7,5,9,6,6,7,34,33,67,3,1
WESTSIDE MARAUDERS,21,270,10.94856282337456,6749,6054,1562,235,860,845,149,0.25801123224314504,1261,79,59,1322,533.6918788888889,1528.6117760000002,3.8090617842981764,1.2122218683584458,3,1,1,4,8,8,8,10,10,9,17,45,62,4,1
BIG RED MACHINE,23,211,9.800027619087196,7811,6916,1730,276,971,962,116,0.2501445922498554,1194,71,38,1115,518.1907333333334,1506.3702100000003,3.9059603015075375,1.2616165912897825,10,9,10,3,2,5,7,4,5,5,34,26,60,5,1
MELONHEADS,23,217,9.65438991025375,7279,6483,1646,242,908,902,158,0.2538948017892951,1264,81,14,1215,543.903498888889,1560.3837899999999,3.8727306091772156,1.2344808465189872,6,3,4,6,4,9,1,8,8,8,23,34,57,6,1
HOOSIERS,23,227,10.147525484169872,7626,6763,1707,239,963,909,229,0.2524027798314358,1242,75,32,1127,552.0690622222222,1567.97924,4.000500450885668,1.2624631561996777,5,8,5,10,3,7,5,5,3,4,31,24,55,7,1
FREE BIRDS,23,258,9.240370954194614,7285,6450,1648,223,881,863,101,0.25550387596899227,1342,83,27,1314,578.9224877777779,1671.2180399999997,3.8824906035767515,1.2453189567809237,2,2,2,1,6,10,4,9,7,6,13,36,49,8,1
ERIE LAKERS,23,201,8.299180318541278,7402,6582,1712,260,932,942,115,0.2601033120632027,1002,59,24,914,455.6955311111111,1305.3348300000002,4.093073632734531,1.3027293712574852,9,5,9,2,9,2,3,2,2,1,34,10,44,9,1
FREE AT LAST,22,229,8.144572007849327,7564,6668,1647,238,927,895,160,0.24700059988002399,1066,62,17,991,487.4097855555556,1366.66238,4.115091998123828,1.2820472607879925,4,4,3,7,1,3,2,3,1,2,19,11,30,10,1
WESTSIDE MARAUDERS,23,270,11.170386486488239,7512,6675,1705,272,964,945,179,0.2554307116104869,1256,78,48,1279,532.89419,1546.4834660000001,3.8185093232484073,1.2312766449044588,10,9,9,9,7,10,5,10,8,8,44,41,85,1,2
LOUISVILLE SLUGGERS,23,225,10.598402610611677,7354,6620,1716,254,936,913,153,0.259214501510574,1163,75,47,1206,479.57565999999997,1406.30472,3.71124758383491,1.2092044024075668,7,6,5,6,9,7,4,9,10,10,33,40,73,2,2
BLUE SOCKS,23,252,10.373407201163037,7841,7071,1805,239,959,929,170,0.25526799604016404,1168,74,61,1167,489.06212888888894,1418.1729599999999,3.7684581849315073,1.2141891780821916,4,8,8,8,5,6,9,4,9,9,33,37,70,3,2
